"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Number!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Number!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Distribution!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Distribution!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Number!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Number!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Distribution!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Distribution!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME","","","","","","","","","","","",""
"    All households","1,147","±75","1,147","±75","44,280","±8,724","2,258","±120","2,258","±120","95,779","±11,610"
"        With earnings","625","±95","54.5%","±7.3","63,380","±14,729","1,776","±170","78.7%","±6.1","108,073","±13,384"
"            With wages or salary income","616","±94","53.7%","±7.2","64,296","±15,028","1,764","±172","78.1%","±6.2","104,967","±13,108"
"            With self-employment income","9","±16","0.8%","±1.3","N","N","177","±106","7.8%","±4.6","38,279","±21,265"
"        With interest, dividends, or net rental income","70","±46","6.1%","±4.0","6,204","±6,882","570","±139","25.2%","±6.3","7,736","±4,793"
"        With Social Security income","253","±70","22.1%","±6.1","12,660","±3,399","300","±93","13.3%","±4.1","11,246","±3,727"
"        With Supplemental Security Income (SSI)","266","±75","23.2%","±6.5","9,649","±1,578","78","±62","3.5%","±2.8","6,664","±2,332"
"        With cash public assistance income or Food Stamps/SNAP","596","±82","52.0%","±6.7","(X)","(X)","137","±77","6.1%","±3.4","(X)","(X)"
"            With cash public assistance","149","±64","13.0%","±5.6","4,606","±2,421","0","±12","0.0%","±1.5","-","**"
"        With retirement income","146","±54","12.7%","±4.7","25,175","±14,393","293","±113","13.0%","±5.0","51,556","±16,015"
"        With other types of income","96","±48","8.4%","±4.2","6,367","±4,830","126","±93","5.6%","±4.1","7,320","±4,007"
"FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","","","","","","","","","","","",""
"    All families","591","±94","591","±94","49,218","±16,061","655","±161","655","±161","130,572","±26,196"
"        No workers","274","±87","46.4%","±11.5","16,251","±4,867","76","±51","11.6%","±7.9","N","N"
"        1 worker","193","±62","32.7%","±10.6","32,617","±15,545","130","±92","19.8%","±12.3","N","N"
"        2 workers, husband and wife worked","58","±44","9.8%","±7.2","166,131","±65,712","413","±133","63.1%","±14.8","N","N"
"        2 workers, other","66","±50","11.2%","±8.0","131,880","±90,389","12","±20","1.8%","±3.1","N","N"
"        3 or more workers, husband and wife worked","0","±12","0.0%","±5.7","-","**","24","±38","3.7%","±5.6","N","N"
"        3 or more workers, other","0","±12","0.0%","±5.7","-","**","0","±12","0.0%","±5.2","N","N"
"PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","",""
"    Total population","2,488","±265","2,488","±265","21,862","±4,446","3,624","±298","3,624","±298","60,293","±7,721"
"        One race--","","","","","","","","","","","",""
"            White","338","±118","13.6%","±4.7","56,335","±13,367","1,594","±244","44.0%","±7.3","80,435","±10,826"
"            Black or African American","2,128","±272","85.5%","±4.9","16,491","±3,800","1,488","±340","41.1%","±8.1","42,731","±10,230"
"            American Indian and Alaska Native","9","±15","0.4%","±0.6","-","**","0","±12","0.0%","±1.0","-","**"
"            Asian","0","±12","0.0%","±1.4","-","**","198","±221","5.5%","±6.1","49,406","±38,336"
"            Native Hawaiian and Other Pacific Islander","0","±12","0.0%","±1.4","-","**","36","±40","1.0%","±1.1","N","N"
"            Some other race","13","±21","0.5%","±0.8","N","N","60","±84","1.7%","±2.3","N","N"
"        Two or more races","0","±12","0.0%","±1.4","-","**","248","±171","6.8%","±4.6","37,277","±18,279"
"        Hispanic or Latino origin (of any race)","121","±54","4.9%","±2.0","40,211","±15,227","269","±158","7.4%","±4.2","59,788","±17,521"
"        White alone, not Hispanic or Latino","290","±105","11.7%","±4.3","59,826","±13,656","1,515","±232","41.8%","±7.0","79,701","±11,290"
