"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Number!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Number!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Distribution!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Distribution!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Number!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Number!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Distribution!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Distribution!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Number!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Number!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Distribution!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Distribution!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Number!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Number!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Distribution!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Distribution!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Number!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Number!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Distribution!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Distribution!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Number!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Number!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Distribution!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Distribution!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All households","1,163","±120","1,163","±120","70,817","±16,186","1,556","±240","1,556","±240","112,417","±17,754","870","±244","870","±244","145,299","±51,100","2,153","±270","2,153","±270","111,009","±11,645","1,395","±193","1,395","±193","105,486","±15,902","1,205","±169","1,205","±169","128,760","±27,331"
"        With earnings","736","±132","63.3%","±8.0","96,626","±23,725","1,262","±181","81.1%","±10.9","122,834","±18,815","640","±192","73.6%","±14.2","137,160","±53,506","1,786","±262","83.0%","±5.1","125,183","±12,919","1,088","±249","78.0%","±10.1","115,568","±16,892","865","±180","71.8%","±10.9","115,270","±25,429"
"            With wages or salary income","721","±133","62.0%","±8.0","92,381","±22,441","1,163","±176","74.7%","±11.5","126,946","±19,630","640","±192","73.6%","±14.2","134,471","±53,046","1,786","±262","83.0%","±5.1","123,744","±13,031","1,074","±250","77.0%","±10.2","115,777","±16,696","782","±155","64.9%","±12.2","119,993","±21,636"
"            With self-employment income","71","±41","6.1%","±3.5","63,521","±29,991","217","±149","13.9%","±9.3","33,999","±29,850","62","±44","7.1%","±5.2","27,765","±16,834","166","±74","7.7%","±3.5","15,483","±12,150","130","±148","9.3%","±10.5","10,722","±12,572","234","±144","19.4%","±10.9","25,101","±19,851"
"        With interest, dividends, or net rental income","83","±47","7.1%","±4.2","26,220","±24,748","453","±216","29.1%","±11.0","4,882","±2,938","335","±161","38.5%","±15.0","62,275","±72,653","456","±174","21.2%","±7.1","7,644","±6,144","233","±133","16.7%","±9.2","11,825","±11,338","467","±148","38.8%","±12.1","51,418","±38,253"
"        With Social Security income","325","±104","27.9%","±8.3","11,456","±3,123","134","±90","8.6%","±5.8","14,308","±7,737","249","±150","28.6%","±14.3","17,580","±4,684","432","±164","20.1%","±6.7","11,679","±3,531","285","±107","20.4%","±8.1","17,620","±4,614","358","±144","29.7%","±11.5","22,730","±5,043"
"        With Supplemental Security Income (SSI)","257","±93","22.1%","±7.6","9,475","±2,194","17","±23","1.1%","±1.5","N","N","0","±13","0.0%","±4.5","-","**","75","±59","3.5%","±2.8","7,957","±1,444","28","±38","2.0%","±2.8","N","N","0","±13","0.0%","±3.3","-","**"
"        With cash public assistance income or Food Stamps/SNAP","561","±120","48.2%","±7.8","(X)","(X)","38","±38","2.4%","±2.5","(X)","(X)","111","±181","12.8%","±18.9","(X)","(X)","132","±67","6.1%","±3.1","(X)","(X)","45","±55","3.2%","±4.1","(X)","(X)","18","±30","1.5%","±2.4","(X)","(X)"
"            With cash public assistance","79","±52","6.8%","±4.5","1,128","±687","0","±13","0.0%","±2.5","-","**","111","±181","12.8%","±18.9","N","N","32","±42","1.5%","±1.9","N","N","0","±13","0.0%","±2.8","-","**","0","±13","0.0%","±3.3","-","**"
