"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Number!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Number!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Distribution!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Distribution!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Number!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Number!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Distribution!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Distribution!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME","","","","","","","","","","","",""
"    All households","1,298","±87","1,298","±87","66,551","±16,859","2,290","±155","2,290","±155","98,048","±11,055"
"        With earnings","792","±103","61.0%","±6.4","89,227","±22,665","1,821","±213","79.5%","±7.3","112,710","±12,587"
"            With wages or salary income","760","±105","58.6%","±6.4","84,469","±19,791","1,806","±211","78.9%","±7.3","112,050","±12,782"
"            With self-employment income","103","±53","7.9%","±4.0","62,823","±23,470","129","±72","5.6%","±3.1","22,350","±21,136"
"        With interest, dividends, or net rental income","108","±75","8.3%","±5.6","33,494","±31,197","465","±144","20.3%","±6.3","8,450","±5,809"
"        With Social Security income","297","±87","22.9%","±6.7","13,637","±3,592","359","±144","15.7%","±6.2","10,408","±3,835"
"        With Supplemental Security Income (SSI)","246","±88","19.0%","±6.7","9,351","±1,682","133","±88","5.8%","±3.9","6,838","±1,639"
"        With cash public assistance income or Food Stamps/SNAP","609","±109","46.9%","±7.7","(X)","(X)","278","±90","12.1%","±4.0","(X)","(X)"
"            With cash public assistance","133","±58","10.2%","±4.5","4,176","±2,824","0","±12","0.0%","±1.5","-","**"
"        With retirement income","162","±69","12.5%","±5.4","27,020","±12,392","259","±123","11.3%","±5.4","39,131","±13,926"
"        With other types of income","87","±52","6.7%","±4.0","9,377","±5,829","101","±74","4.4%","±3.3","5,685","±3,732"
"FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","","","","","","","","","","","",""
"    All families","578","±124","578","±124","60,780","±18,608","579","±152","579","±152","138,894","±30,607"
"        No workers","269","±97","46.5%","±11.7","19,620","±6,837","63","±55","10.9%","±9.1","N","N"
"        1 worker","163","±64","28.2%","±10.0","40,926","±21,570","122","±90","21.1%","±14.1","N","N"
"        2 workers, husband and wife worked","69","±45","11.9%","±7.2","197,301","±51,600","360","±122","62.2%","±15.6","N","N"
"        2 workers, other","77","±47","13.3%","±8.6","124,266","±87,176","20","±25","3.5%","±4.4","N","N"
"        3 or more workers, husband and wife worked","0","±12","0.0%","±5.9","-","**","14","±23","2.4%","±4.1","N","N"
"        3 or more workers, other","0","±12","0.0%","±5.9","-","**","0","±12","0.0%","±5.9","N","N"
"PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","",""
"    Total population","2,569","±306","2,569","±306","36,971","±10,460","3,730","±335","3,730","±335","60,935","±7,219"
"        One race--","","","","","","","","","","","",""
"            White","548","±168","21.3%","±5.9","76,441","±25,861","1,505","±270","40.3%","±5.9","88,252","±11,470"
"            Black or African American","1,950","±294","75.9%","±6.5","20,823","±5,974","1,782","±288","47.8%","±7.0","39,626","±11,379"
"            American Indian and Alaska Native","0","±12","0.0%","±1.4","-","**","0","±12","0.0%","±0.9","-","**"
"            Asian","30","±44","1.2%","±1.8","N","N","189","±180","5.1%","±4.8","54,681","±40,889"
"            Native Hawaiian and Other Pacific Islander","0","±12","0.0%","±1.4","-","**","37","±32","1.0%","±0.8","N","N"
"            Some other race","23","±26","0.9%","±1.1","15,683","±10,014","49","±63","1.3%","±1.7","79,569","±45,990"
"        Two or more races","18","±30","0.7%","±1.2","N","N","168","±125","4.5%","±3.3","39,682","±34,653"
"        Hispanic or Latino origin (of any race)","109","±52","4.2%","±2.1","37,453","±18,001","235","±115","6.3%","±2.9","70,283","±17,659"
"        White alone, not Hispanic or Latino","502","±159","19.5%","±5.6","80,320","±26,734","1,409","±258","37.8%","±5.8","87,238","±12,254"
