"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME","","","","","","","",""
"All households","920","±83","34,597","±7,770","2,399","±170","81,546","±11,796"
"With earnings","67.7%","±10.6","41,944","±11,570","82.4%","±6.5","91,663","±13,373"
"With interest, dividends, or net rental income","6.0%","±4.5","−1,122","±2,510","18.0%","±5.2","5,234","±4,016"
"With Social Security income","22.2%","±8.3","10,613","±3,456","11.0%","±3.9","12,128","±3,291"
"With Supplemental Security Income (SSI)","18.2%","±6.5","10,005","±1,931","7.1%","±4.6","8,616","±2,237"
"With cash public assistance income","16.1%","±9.1","4,752","±1,337","1.7%","±1.6","3,661","±2,200"
"With retirement income","5.3%","±3.7","19,461","±10,308","11.4%","±3.7","21,875","±11,197"
"FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","","","","","","","",""
"    All families","425","±82","33,864","±9,328","594","±193","108,576","±20,034"
"    No workers","22.4%","±16.2","11,099","±6,663","8.9%","±6.5","N","N"
"    1 worker","56.2%","±19.3","31,840","±12,059","32.8%","±14.0","N","N"
"    2 workers, husband and wife worked","10.1%","±9.6","89,214","±45,260","45.3%","±14.4","N","N"
"    2 workers, other","11.3%","±10.1","39,410","±21,829","3.5%","±5.3","N","N"
"    3 or more workers, husband and wife worked","0.0%","±8.4","-","**","0.0%","±6.1","N","N"
"    3 or more workers, other","0.0%","±8.4","-","**","9.4%","±8.5","N","N"
"PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    Total population","1,710","±235","18,912","±4,914","4,003","±428","50,540","±6,314"
"    One race--","","","","","","","",""
"        White","2.3%","±2.7","68,308","±8,240","39.1%","±6.4","78,338","±12,633"
"        Black or African American","89.9%","±11.7","18,058","±5,298","49.6%","±7.7","26,723","±5,540"
"        American Indian and Alaska Native","0.0%","±2.2","-","**","0.0%","±0.9","-","**"
"        Asian","7.8%","±11.3","14,322","±2,464","7.5%","±4.0","70,398","±17,129"
"        Native Hawaiian and Other Pacific Islander","0.0%","±2.2","-","**","0.0%","±0.9","-","**"
"        Some other race","0.0%","±2.2","-","**","1.4%","±1.7","35,193","±17,671"
"    Two or more races","0.0%","±2.2","-","**","2.4%","±2.6","36,271","±36,355"
"Hispanic or Latino origin (of any race)","0.0%","±2.2","-","**","7.0%","±3.8","64,273","±24,669"
"White alone, not Hispanic or Latino","2.3%","±2.7","68,308","±8,240","34.4%","±6.7","80,585","±13,903"
"PERCENT IMPUTED","","","","","","","",""
"    Household income in the past 12 months","40.3%","(X)","(X)","(X)","17.8%","(X)","(X)","(X)"
"    Family income in the past 12 months","47.3%","(X)","(X)","(X)","32.5%","(X)","(X)","(X)"
"    Individual income in the past 12 months","32.4%","(X)","(X)","(X)","17.7%","(X)","(X)","(X)"
