"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME","","","","","","","",""
"All households","902","±89","34,488","±5,271","2,413","±121","84,809","±10,027"
"With earnings","63.7%","±9.9","43,900","±8,318","81.0%","±6.3","95,391","±9,124"
"With interest, dividends, or net rental income","6.9%","±4.5","−758","±2,049","21.3%","±6.5","6,495","±4,218"
"With Social Security income","20.6%","±6.9","11,510","±3,576","13.2%","±4.6","12,612","±3,162"
"With Supplemental Security Income (SSI)","20.1%","±7.1","9,525","±1,895","7.3%","±4.7","7,267","±1,107"
"With cash public assistance income","17.5%","±8.8","4,360","±1,150","2.7%","±2.3","8,130","±6,727"
"With retirement income","5.9%","±3.8","20,668","±9,793","13.3%","±4.5","23,775","±10,878"
"FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","","","","","","","",""
"    All families","430","±86","35,908","±9,148","679","±170","109,101","±17,061"
"    No workers","27.9%","±14.6","11,010","±5,144","10.2%","±6.7","N","N"
"    1 worker","44.0%","±16.7","36,082","±11,970","32.4%","±14.8","N","N"
"    2 workers, husband and wife worked","9.3%","±8.1","107,435","±41,650","44.8%","±14.0","N","N"
"    2 workers, other","18.8%","±13.0","37,068","±12,635","2.4%","±3.6","N","N"
"    3 or more workers, husband and wife worked","0.0%","±8.3","-","**","0.0%","±5.4","N","N"
"    3 or more workers, other","0.0%","±8.3","-","**","10.3%","±8.3","N","N"
"PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    Total population","1,821","±234","17,425","±3,398","4,178","±419","50,829","±5,778"
"    One race--","","","","","","","",""
"        White","3.3%","±3.1","75,135","±12,519","42.8%","±6.6","66,199","±9,890"
"        Black or African American","86.8%","±9.8","15,669","±3,346","44.9%","±7.1","29,333","±7,383"
"        American Indian and Alaska Native","0.0%","±2.0","-","**","1.0%","±1.0","N","N"
"        Asian","9.9%","±9.6","13,612","±9,029","8.3%","±3.8","86,025","±27,424"
"        Native Hawaiian and Other Pacific Islander","0.0%","±2.0","-","**","0.0%","±0.9","-","**"
"        Some other race","0.0%","±2.0","-","**","1.1%","±1.4","38,128","±19,298"
"    Two or more races","0.0%","±2.0","-","**","2.0%","±2.1","49,773","±31,874"
"Hispanic or Latino origin (of any race)","0.0%","±2.0","-","**","8.1%","±4.1","59,905","±22,554"
"White alone, not Hispanic or Latino","3.3%","±3.1","75,135","±12,519","37.2%","±7.0","68,007","±10,427"
"PERCENT IMPUTED","","","","","","","",""
"    Household income in the past 12 months","43.2%","(X)","(X)","(X)","20.8%","(X)","(X)","(X)"
"    Family income in the past 12 months","42.3%","(X)","(X)","(X)","33.9%","(X)","(X)","(X)"
"    Individual income in the past 12 months","33.7%","(X)","(X)","(X)","19.9%","(X)","(X)","(X)"
