"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME","","","","","","","",""
"All households","953","±88","29,321","±5,484","2,255","±94","89,551","±9,978"
"    With earnings","58.8%","±7.9","36,463","±8,046","81.2%","±6.5","100,420","±10,809"
"    With interest, dividends, or net rental income","5.4%","±4.4","382","±772","24.2%","±6.3","4,095","±2,345"
"    With Social Security income","22.7%","±7.2","10,364","±3,148","11.6%","±5.1","11,388","±3,153"
"    With Supplemental Security Income (SSI)","22.9%","±7.6","10,720","±1,781","7.3%","±3.6","6,845","±1,525"
"    With cash public assistance income","14.3%","±6.8","4,244","±1,413","1.4%","±1.5","13,674","±11,557"
"    With retirement income","11.0%","±4.8","19,490","±13,691","9.9%","±3.9","45,632","±15,688"
"FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","","","","","","","",""
"    All families","476","±93","32,070","±9,449","568","±163","136,790","±16,676"
"        No workers","30.9%","±9.4","16,318","±6,439","6.9%","±6.3","N","N"
"        1 worker","42.2%","±13.1","20,772","±4,868","23.1%","±9.4","N","N"
"        2 workers, husband and wife worked","7.4%","±7.9","98,149","±43,612","65.8%","±10.9","N","N"
"        2 workers, other","19.5%","±13.3","56,519","±32,518","0.0%","±6.0","N","N"
"        3 or more workers, husband and wife worked","0.0%","±7.1","-","**","0.7%","±3.2","N","N"
"        3 or more workers, other","0.0%","±7.1","-","**","3.5%","±5.9","N","N"
"PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    Total population","1,986","±255","14,504","±2,727","3,427","±301","60,020","±6,400"
"        One race--","","","","","","","",""
"            White","5.2%","±4.0","61,620","±21,601","47.6%","±8.6","66,555","±7,279"
"            Black or African American","90.8%","±4.9","11,824","±2,099","41.3%","±7.9","45,819","±11,101"
"            American Indian and Alaska Native","0.5%","±0.8","-","**","1.0%","±1.1","N","N"
"            Asian","2.7%","±3.1","16,843","±18,904","6.5%","±4.2","92,212","±45,563"
"            Native Hawaiian and Other Pacific Islander","0.0%","±1.7","-","**","0.0%","±1.0","-","**"
"            Some other race","0.8%","±1.2","N","N","1.4%","±1.7","39,622","±19,850"
"        Two or more races","0.0%","±1.7","-","**","2.1%","±2.2","90,563","±84,685"
"Hispanic or Latino origin (of any race)","3.0%","±2.4","22,936","±5,848","5.6%","±3.0","73,476","±42,292"
"White alone, not Hispanic or Latino","4.1%","±2.9","72,363","±15,065","45.8%","±8.4","66,808","±7,353"
"PERCENT IMPUTED","","","","","","","",""
"    Household income in the past 12 months","47.4%","(X)","(X)","(X)","24.7%","(X)","(X)","(X)"
"    Family income in the past 12 months","48.3%","(X)","(X)","(X)","24.5%","(X)","(X)","(X)"
"    Individual income in the past 12 months","39.2%","(X)","(X)","(X)","19.7%","(X)","(X)","(X)"
