"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Number!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Number!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Distribution!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Distribution!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Number!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Number!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Distribution!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Distribution!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME","","","","","","","","","","","",""
"    All households","1,317","±89","1,317","±89","65,938","±10,229","2,242","±156","2,242","±156","100,920","±12,312"
"        With earnings","780","±106","59.2%","±7.1","91,792","±14,771","1,775","±182","79.2%","±5.8","114,153","±13,634"
"            With wages or salary income","760","±107","57.7%","±7.1","87,537","±13,777","1,760","±185","78.5%","±5.9","112,502","±13,717"
"            With self-employment income","80","±50","6.1%","±3.7","63,366","±26,905","211","±80","9.4%","±3.5","21,887","±17,972"
"        With interest, dividends, or net rental income","99","±51","7.5%","±3.9","14,872","±16,022","510","±150","22.7%","±6.5","12,347","±6,787"
"        With Social Security income","332","±92","25.2%","±7.0","13,484","±3,234","426","±133","19.0%","±5.8","11,721","±3,149"
"        With Supplemental Security Income (SSI)","287","±96","21.8%","±7.3","10,509","±2,236","77","±61","3.4%","±2.7","7,952","±1,419"
"        With cash public assistance income or Food Stamps/SNAP","630","±105","47.8%","±7.4","(X)","(X)","149","±64","6.6%","±2.7","(X)","(X)"
"            With cash public assistance","127","±64","9.6%","±4.9","4,136","±2,518","30","±42","1.3%","±1.9","N","N"
"        With retirement income","125","±67","9.5%","±5.2","35,576","±10,899","321","±134","14.3%","±6.2","33,866","±14,040"
"        With other types of income","119","±63","9.0%","±4.8","10,971","±5,017","154","±95","6.9%","±4.2","5,158","±2,564"
"FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","","","","","","","","","","","",""
"    All families","637","±93","637","±93","58,801","±18,268","591","±163","591","±163","128,631","±28,290"
"        No workers","341","±105","53.5%","±12.7","21,271","±9,229","75","±58","12.7%","±8.9","N","N"
"        1 worker","168","±65","26.4%","±10.1","47,175","±23,676","162","±98","27.4%","±14.3","N","N"
"        2 workers, both spouses worked","53","±35","8.3%","±5.4","239,568","±22,349","294","±132","49.7%","±17.8","N","N"
"        2 workers, other","75","±56","11.8%","±8.9","127,735","±117,694","46","±48","7.8%","±8.0","N","N"
"        3 or more workers, both spouses worked","0","±12","0.0%","±5.3","-","**","14","±23","2.4%","±3.9","N","N"
"        3 or more workers, other","0","±12","0.0%","±5.3","-","**","0","±12","0.0%","±5.7","N","N"
"PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","",""
"    Total population","2,834","±294","2,834","±294","34,434","±5,869","3,921","±487","3,921","±487","58,713","±8,872"
"        One race--","","","","","","","","","","","",""
"            White","582","±145","20.5%","±4.6","72,273","±16,920","1,872","±308","47.7%","±8.3","79,739","±9,738"
"            Black or African American","2,173","±266","76.7%","±4.4","21,857","±4,946","1,547","±496","39.5%","±9.6","33,496","±12,764"
"            American Indian and Alaska Native","0","±12","0.0%","±1.2","-","**","0","±12","0.0%","±0.9","-","**"
"            Asian","22","±25","0.8%","±0.9","90,582","±192,489","174","±128","4.4%","±3.3","82,557","±82,872"
"            Native Hawaiian and Other Pacific Islander","0","±12","0.0%","±1.2","-","**","28","±33","0.7%","±0.8","N","N"
"            Some other race","10","±15","0.4%","±0.5","N","N","90","±98","2.3%","±2.5","75,666","±28,070"
"        Two or more races","47","±41","1.7%","±1.5","127,243","±44,719","210","±138","5.4%","±3.6","28,125","±17,423"
"        Hispanic or Latino origin (of any race)","55","±38","1.9%","±1.4","39,329","±31,451","289","±143","7.4%","±3.7","70,828","±18,747"
"        White alone, not Hispanic or Latino","550","±145","19.4%","±4.6","74,559","±17,449","1,753","±296","44.7%","±8.0","78,162","±10,068"
