"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate"
"Total population","2,130","1,300","642","64","3,418","681","2,111","129"
"AGE","","","","","","","",""
"    Under 5 years","2.4%","4.0%","0.0%","0.0%","1.6%","4.6%","1.1%","0.0%"
"    5 to 17 years","14.8%","18.0%","11.4%","0.0%","2.5%","11.6%","0.3%","0.0%"
"    18 to 24 years","13.8%","17.5%","7.9%","0.0%","10.6%","20.3%","10.0%","0.0%"
"    25 to 44 years","29.7%","26.5%","34.0%","34.4%","54.4%","35.7%","54.5%","100.0%"
"    45 to 54 years","14.5%","12.0%","18.1%","0.0%","10.6%","8.1%","10.4%","0.0%"
"    55 to 64 years","12.4%","14.7%","6.1%","43.8%","9.8%","4.1%","14.0%","0.0%"
"    65 to 74 years","6.3%","3.9%","11.2%","0.0%","5.6%","3.2%","5.5%","0.0%"
"    75 years and over","6.1%","3.3%","11.4%","21.9%","5.1%","12.5%","4.2%","0.0%"
"Median age (years)","33.4","31.3","35.6","62.7","35.9","36.5","35.8","30.6"
"SEX","","","","","","","",""
"    Male","38.8%","36.4%","42.7%","0.0%","48.2%","52.9%","48.1%","34.1%"
"    Female","61.2%","63.6%","57.3%","100.0%","51.8%","47.1%","51.9%","65.9%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    One race","100.0%","100.0%","100.0%","100.0%","97.5%","99.6%","97.1%","89.1%"
"        White","9.8%","2.6%","24.5%","0.0%","43.8%","12.2%","59.2%","27.9%"
"        Black or African American","86.8%","96.8%","74.8%","100.0%","45.4%","86.6%","30.5%","55.0%"
"        American Indian and Alaska Native","0.3%","0.5%","0.0%","0.0%","0.6%","0.0%","1.0%","0.0%"
"        Asian","2.5%","0.0%","0.0%","0.0%","5.5%","0.0%","6.3%","0.0%"
"        Native Hawaiian and Other Pacific Islander","0.0%","0.0%","0.0%","0.0%","0.7%","0.0%","0.0%","0.0%"
"        Some other race","0.6%","0.0%","0.8%","0.0%","1.5%","0.7%","0.0%","6.2%"
"    Two or more races","0.0%","0.0%","0.0%","0.0%","2.5%","0.4%","2.9%","10.9%"
"Hispanic or Latino origin (of any race)","4.0%","0.4%","5.1%","43.8%","4.9%","1.2%","1.6%","35.7%"
"White alone, not Hispanic or Latino","8.4%","2.6%","21.7%","0.0%","42.6%","12.2%","58.5%","9.3%"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"    Population 5 years and over","2,078","1,248","642","64","3,364","650","2,088","129"
"        Speak language other than English","7.4%","0.0%","4.2%","21.9%","16.5%","0.5%","8.6%","18.6%"
"            Speak English ""very well""","4.8%","0.0%","4.2%","21.9%","14.7%","0.5%","8.6%","0.0%"
"            Speak English less than ""very well""","2.6%","0.0%","0.0%","0.0%","1.8%","0.0%","0.0%","18.6%"
"MARITAL STATUS","","","","","","","",""
"    Population 15 years and over","1,852","1,095","569","64","3,308","594","2,088","129"
"        Never married","66.1%","76.0%","49.0%","78.1%","63.9%","77.9%","66.7%","56.6%"
"        Now married, except separated","17.4%","9.4%","29.0%","0.0%","27.6%","6.2%","27.1%","26.4%"
"        Divorced or separated","9.4%","8.2%","13.7%","0.0%","7.5%","15.8%","5.8%","0.0%"
"        Widowed","7.1%","6.4%","8.3%","21.9%","0.9%","0.0%","0.4%","17.1%"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","1,469","786","518","64","2,918","433","1,870","129"
"        Less than high school graduate","25.0%","31.0%","19.3%","0.0%","7.2%","22.2%","3.2%","17.1%"
"        High school graduate (includes equivalency)","28.9%","37.4%","20.1%","21.9%","10.0%","30.9%","5.2%","38.0%"
"        Some college or associate's degree","25.1%","25.8%","20.8%","78.1%","12.5%","18.9%","12.2%","0.0%"
"        Bachelor's degree","14.2%","3.4%","29.2%","0.0%","36.1%","19.4%","40.7%","15.5%"
"        Graduate or professional degree","6.7%","2.3%","10.6%","0.0%","34.2%","8.5%","38.7%","29.5%"
"INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)","","","","","","","",""
"    Population 15 years and over","1,852","1,095","569","64","3,308","594","2,088","129"
"        $1 to $9,999 or loss","31.7%","38.9%","22.1%","56.3%","9.5%","20.4%","5.6%","7.0%"
"        $10,000 to $14,999","8.1%","8.8%","6.5%","0.0%","1.5%","0.0%","2.3%","0.0%"
"        $15,000 to $24,999","8.4%","7.5%","8.6%","21.9%","6.3%","23.2%","1.0%","0.0%"
"        $25,000 to $34,999","10.4%","8.5%","13.9%","0.0%","5.2%","3.5%","4.6%","0.0%"
"        $35,000 to $49,999","6.7%","6.9%","8.4%","0.0%","13.9%","11.6%","14.4%","35.7%"
"        $50,000 to $64,999","4.3%","2.7%","6.7%","0.0%","9.6%","3.5%","13.8%","0.0%"
"        $65,000 to $74,999","1.0%","0.0%","3.2%","0.0%","5.8%","0.0%","6.9%","0.0%"
"        $75,000 or more","8.5%","0.8%","17.9%","21.9%","36.8%","11.6%","43.9%","19.4%"
"Median income (dollars)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Population for whom poverty status is determined","2,130","1,300","642","64","3,418","681","2,111","129"
"        Below 100 percent of the poverty level","44.3%","49.5%","36.1%","56.3%","12.2%","26.0%","6.6%","38.0%"
"        100 to 149 percent of the poverty level","19.7%","26.0%","9.2%","0.0%","4.5%","15.6%","2.3%","0.0%"
"        At or above 150 percent of the poverty level","36.1%","24.5%","54.7%","43.8%","83.3%","58.4%","91.0%","62.0%"
"PERCENT IMPUTED","","","","","","","",""
"    Citizenship status","6.9%","(X)","(X)","(X)","3.7%","(X)","(X)","(X)"
"    Place of birth","10.8%","(X)","(X)","(X)","7.1%","(X)","(X)","(X)"
