"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate"
"Total population","2,488","1,530","740","92","3,624","959","1,800","157"
"    AGE","","","","","","","",""
"        Under 5 years","6.6%","8.7%","4.2%","0.0%","4.2%","15.8%","0.0%","0.0%"
"        5 to 17 years","13.1%","18.4%","6.2%","0.0%","5.4%","17.6%","1.4%","0.0%"
"        18 to 24 years","12.8%","17.8%","5.9%","0.0%","6.0%","15.1%","3.4%","0.0%"
"        25 to 44 years","33.6%","30.7%","41.6%","20.7%","54.2%","26.2%","58.0%","100.0%"
"        45 to 54 years","10.4%","5.0%","19.3%","0.0%","12.1%","6.0%","15.6%","0.0%"
"        55 to 64 years","11.9%","11.6%","5.7%","62.0%","9.2%","6.7%","13.9%","0.0%"
"        65 to 74 years","6.1%","6.1%","7.4%","0.0%","4.6%","3.5%","3.5%","0.0%"
"        75 years and over","5.4%","1.8%","9.6%","17.4%","4.4%","9.0%","4.2%","0.0%"
"        Median age (years)","31.7","27.3","34.0","62.4","35.5","25.7","36.0","28.6"
"    SEX","","","","","","","",""
"        Male","41.7%","43.0%","38.8%","20.7%","51.3%","46.9%","56.0%","75.8%"
"        Female","58.3%","57.0%","61.2%","79.3%","48.7%","53.1%","44.0%","24.2%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"        One race","100.0%","100.0%","100.0%","100.0%","93.2%","94.5%","95.6%","55.4%"
"            White","13.6%","2.4%","36.1%","20.7%","44.0%","17.3%","62.4%","10.2%"
"            Black or African American","85.5%","97.0%","63.4%","79.3%","41.1%","72.8%","28.1%","37.6%"
"            American Indian and Alaska Native","0.4%","0.6%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"            Asian","0.0%","0.0%","0.0%","0.0%","5.5%","4.4%","2.9%","0.0%"
"            Native Hawaiian and Other Pacific Islander","0.0%","0.0%","0.0%","0.0%","1.0%","0.0%","0.8%","0.0%"
"            Some other race","0.5%","0.0%","0.5%","0.0%","1.7%","0.0%","1.4%","7.6%"
"        Two or more races","0.0%","0.0%","0.0%","0.0%","6.8%","5.5%","4.4%","44.6%"
"        Hispanic or Latino origin (of any race)","4.9%","0.5%","7.3%","41.3%","7.4%","6.6%","3.4%","13.4%"
"        White alone, not Hispanic or Latino","11.7%","2.4%","31.2%","20.7%","41.8%","16.3%","60.4%","10.2%"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"    Population 5 years and over","2,324","1,397","709","92","3,472","807","1,800","157"
"        Speak language other than English","6.7%","0.0%","4.7%","17.4%","25.3%","7.1%","14.3%","0.0%"
"            Speak English  ""very well""","3.9%","0.0%","4.7%","17.4%","23.3%","7.1%","13.4%","0.0%"
"            Speak English less than ""very well""","2.8%","0.0%","0.0%","0.0%","2.0%","0.0%","0.9%","0.0%"
"MARITAL STATUS","","","","","","","",""
"    Population 15 years and over","2,058","1,177","663","92","3,344","704","1,775","157"
"        Never married","67.1%","74.0%","57.5%","62.0%","56.3%","84.8%","57.0%","70.1%"
"        Now married, except separated","16.0%","13.9%","22.6%","0.0%","33.2%","3.0%","33.3%","16.6%"
"        Divorced or separated","10.6%","7.7%","13.6%","20.7%","9.3%","12.2%","9.7%","0.0%"
"        Widowed","6.3%","4.3%","6.3%","17.4%","1.1%","0.0%","0.0%","13.4%"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","1,678","844","619","92","3,062","493","1,714","157"
"        Less than high school graduate","26.4%","37.4%","15.3%","0.0%","8.3%","25.4%","2.6%","13.4%"
"        High school graduate (includes equivalency)","27.9%","39.6%","16.5%","17.4%","6.5%","24.1%","1.4%","24.2%"
"        Some college or associate's degree","19.0%","17.5%","17.0%","62.0%","12.3%","30.6%","9.8%","0.0%"
"        Bachelor's degree","21.3%","3.6%","41.5%","20.7%","35.3%","12.2%","42.8%","53.5%"
"        Graduate or professional degree","5.4%","1.9%","9.7%","0.0%","37.7%","7.7%","43.4%","8.9%"
"INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)","","","","","","","",""
"    Population 15 years and over","2,058","1,177","663","92","3,344","704","1,775","157"
"        $1 to $9,999 or loss","33.6%","42.7%","20.4%","38.0%","9.5%","17.0%","7.6%","0.0%"
"        $10,000 to $14,999","7.6%","6.5%","7.4%","20.7%","3.1%","0.0%","1.9%","35.7%"
"        $15,000 to $24,999","10.5%","7.5%","11.0%","17.4%","4.9%","10.5%","0.0%","0.0%"
"        $25,000 to $34,999","9.0%","10.6%","6.0%","0.0%","4.2%","16.6%","0.5%","0.0%"
"        $35,000 to $49,999","6.1%","3.7%","12.4%","0.0%","8.3%","6.7%","8.8%","13.4%"
