"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate"
"Total population","2,569","1,325","976","91","3,730","1,274","1,882","132"
"    AGE","","","","","","","",""
"        Under 5 years","7.4%","10.6%","5.1%","0.0%","3.9%","11.5%","0.0%","0.0%"
"        5 to 17 years","10.0%","16.6%","3.9%","0.0%","6.5%","18.1%","0.6%","0.0%"
"        18 to 24 years","9.0%","12.2%","6.9%","0.0%","6.5%","13.6%","2.6%","3.8%"
"        25 to 44 years","38.2%","30.3%","51.3%","20.9%","55.1%","33.8%","64.1%","96.2%"
"        45 to 54 years","12.0%","6.6%","15.1%","0.0%","11.5%","7.1%","14.5%","0.0%"
"        55 to 64 years","10.5%","11.9%","3.6%","71.4%","8.3%","4.8%","12.3%","0.0%"
"        65 to 74 years","7.2%","9.6%","5.8%","0.0%","4.3%","4.6%","2.7%","0.0%"
"        75 years and over","5.7%","2.2%","8.3%","7.7%","3.9%","6.6%","3.3%","0.0%"
"        Median age (years)","34.8","30.5","34.7","62.4","35.7","33.2","36.1","32.1"
"    SEX","","","","","","","",""
"        Male","45.2%","42.9%","47.2%","18.7%","49.0%","38.2%","55.8%","100.0%"
"        Female","54.8%","57.1%","52.8%","81.3%","51.0%","61.8%","44.2%","0.0%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"        One race","99.3%","100.0%","98.2%","100.0%","95.5%","98.1%","96.3%","43.9%"
"            White","21.3%","4.6%","46.6%","18.7%","40.3%","10.0%","60.4%","15.9%"
"            Black or African American","75.9%","94.7%","51.2%","81.3%","47.8%","85.3%","30.1%","16.7%"
"            American Indian and Alaska Native","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"            Asian","1.2%","0.0%","0.0%","0.0%","5.1%","2.8%","3.7%","0.0%"
"            Native Hawaiian and Other Pacific Islander","0.0%","0.0%","0.0%","0.0%","1.0%","0.0%","0.8%","0.0%"
"            Some other race","0.9%","0.7%","0.3%","0.0%","1.3%","0.0%","1.3%","11.4%"
"        Two or more races","0.7%","0.0%","1.8%","0.0%","4.5%","1.9%","3.7%","56.1%"
"        Hispanic or Latino origin (of any race)","4.2%","0.7%","4.9%","33.0%","6.3%","3.8%","5.4%","16.7%"
"        White alone, not Hispanic or Latino","19.5%","4.6%","43.0%","18.7%","37.8%","9.2%","57.5%","15.9%"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"    Population 5 years and over","2,379","1,185","926","91","3,584","1,128","1,882","132"
"        Speak language other than English","9.1%","1.5%","5.9%","7.7%","15.7%","3.6%","13.4%","0.0%"
"            Speak English  ""very well""","4.9%","1.5%","5.9%","7.7%","14.7%","3.6%","12.5%","0.0%"
"            Speak English less than ""very well""","4.2%","0.0%","0.0%","0.0%","0.9%","0.0%","0.9%","0.0%"
"MARITAL STATUS","","","","","","","",""
"    Population 15 years and over","2,152","996","888","91","3,451","1,006","1,871","132"
"        Never married","66.6%","67.5%","64.1%","73.6%","61.9%","87.6%","54.8%","60.6%"
"        Now married, except separated","15.4%","14.8%","19.6%","0.0%","26.3%","1.9%","35.0%","22.7%"
"        Divorced or separated","10.4%","8.5%","12.5%","18.7%","10.6%","10.5%","10.3%","0.0%"
"        Widowed","7.5%","9.2%","3.8%","7.7%","1.1%","0.0%","0.0%","16.7%"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","1,889","804","821","91","3,101","724","1,823","127"
"        Less than high school graduate","23.7%","37.9%","12.5%","0.0%","7.9%","22.4%","1.0%","17.3%"
"        High school graduate (includes equivalency)","24.8%","38.7%","11.2%","27.5%","8.4%","29.3%","1.7%","0.0%"
"        Some college or associate's degree","15.7%","16.2%","12.9%","53.8%","14.3%","31.9%","9.0%","0.0%"
"        Bachelor's degree","28.4%","6.5%","48.5%","18.7%","34.0%","11.6%","42.2%","70.9%"
"        Graduate or professional degree","7.4%","0.7%","14.9%","0.0%","35.5%","4.8%","46.1%","11.8%"
