"Label (Grouping)","Block Group 1, Census Tract 64, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 64, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 102, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 102, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 110, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 110, District of Columbia, District of Columbia!!Estimate","Block Group 3, Census Tract 110, District of Columbia, District of Columbia!!Estimate","Block Group 4, Census Tract 110, District of Columbia, District of Columbia!!Estimate"
"Total:","1,198","649","820","2,025","1,498","1,645","488","523","625","1,221"
"    Income in the past 12 months below poverty level:","303","251","83","107","559","199","83","0","22","80"
"        With a disability:","80","94","0","16","70","77","0","0","22","80"
"            In labor force:","17","25","0","0","0","0","0","0","22","0"
"                In Armed Forces","0","0","0","0","0","0","0","0","0","0"
"                Civilian:","17","25","0","0","0","0","0","0","22","0"
"                    Employed","17","15","0","0","0","0","0","0","22","0"
"                    Unemployed","0","10","0","0","0","0","0","0","0","0"
"            Not in labor force","63","69","0","16","70","77","0","0","0","80"
"        No disability:","223","157","83","91","489","122","83","0","0","0"
"            In labor force:","145","56","32","38","155","109","30","0","0","0"
"                In Armed Forces","0","0","0","0","0","0","0","0","0","0"
"                Civilian:","145","56","32","38","155","109","30","0","0","0"
"                    Employed","74","31","32","38","139","109","30","0","0","0"
"                    Unemployed","71","25","0","0","16","0","0","0","0","0"
"            Not in labor force","78","101","51","53","334","13","53","0","0","0"
"    Income in the past 12 months at or above poverty level:","895","398","737","1,918","939","1,446","405","523","603","1,141"
"        With a disability:","142","48","9","144","133","120","30","23","0","29"
"            In labor force:","20","11","9","144","88","120","0","11","0","29"
"                In Armed Forces","0","0","0","0","0","0","0","0","0","0"
"                Civilian:","20","11","9","144","88","120","0","11","0","29"
"                    Employed","20","11","9","144","88","120","0","11","0","29"
"                    Unemployed","0","0","0","0","0","0","0","0","0","0"
"            Not in labor force","122","37","0","0","45","0","30","12","0","0"
"        No disability:","753","350","728","1,774","806","1,326","375","500","603","1,112"
"            In labor force:","697","311","728","1,697","766","1,303","375","405","603","1,021"
"                In Armed Forces","8","0","36","21","0","30","0","0","0","0"
"                Civilian:","689","311","692","1,676","766","1,273","375","405","603","1,021"
"                    Employed","631","297","682","1,612","766","1,184","375","405","546","993"
"                    Unemployed","58","14","10","64","0","89","0","0","57","28"
"            Not in labor force","56","39","0","77","40","23","0","95","0","91"
