"Label (Grouping)","Block Group 1, Census Tract 64, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 64, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 102, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 102, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 110, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 110, District of Columbia, District of Columbia!!Estimate","Block Group 3, Census Tract 110, District of Columbia, District of Columbia!!Estimate","Block Group 4, Census Tract 110, District of Columbia, District of Columbia!!Estimate"
"Total:","888","491","685","1,225","1,267","1,589","476","454","560","899"
"    Income in the past 12 months below poverty level:","402","201","42","59","238","119","23","43","0","42"
"        With a disability:","223","74","1","0","34","29","0","0","0","0"
"            In labor force:","0","9","1","0","3","0","0","0","0","0"
"                In Armed Forces","0","0","0","0","0","0","0","0","0","0"
"                Civilian:","0","9","1","0","3","0","0","0","0","0"
"                    Employed","0","0","1","0","0","0","0","0","0","0"
"                    Unemployed","0","9","0","0","3","0","0","0","0","0"
"            Not in labor force","223","65","0","0","31","29","0","0","0","0"
"        No disability:","179","127","41","59","204","90","23","43","0","42"
"            In labor force:","114","101","19","35","42","73","19","43","0","42"
"                In Armed Forces","0","0","0","0","0","0","0","0","0","0"
"                Civilian:","114","101","19","35","42","73","19","43","0","42"
"                    Employed","25","50","18","9","25","18","19","30","0","19"
"                    Unemployed","89","51","1","26","17","55","0","13","0","23"
"            Not in labor force","65","26","22","24","162","17","4","0","0","0"
"    Income in the past 12 months at or above poverty level:","486","290","643","1,166","1,029","1,470","453","411","560","857"
"        With a disability:","86","31","16","59","134","89","0","0","0","97"
"            In labor force:","22","17","7","41","35","75","0","0","0","76"
"                In Armed Forces","0","0","0","0","0","0","0","0","0","0"
"                Civilian:","22","17","7","41","35","75","0","0","0","76"
"                    Employed","14","17","7","41","0","75","0","0","0","76"
"                    Unemployed","8","0","0","0","35","0","0","0","0","0"
"            Not in labor force","64","14","9","18","99","14","0","0","0","21"
"        No disability:","400","259","627","1,107","895","1,381","453","411","560","760"
"            In labor force:","308","234","506","1,029","863","1,333","453","379","450","725"
"                In Armed Forces","0","16","12","18","0","25","0","0","0","0"
"                Civilian:","308","218","494","1,011","863","1,308","453","379","450","725"
"                    Employed","308","218","467","987","798","1,257","453","379","427","698"
"                    Unemployed","0","0","27","24","65","51","0","0","23","27"
"            Not in labor force","92","25","121","78","32","48","0","32","110","35"
