"Label (Grouping)","Block Group 1, Census Tract 64, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 64, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 102, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 102, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 110, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 110, District of Columbia, District of Columbia!!Estimate","Block Group 3, Census Tract 110, District of Columbia, District of Columbia!!Estimate","Block Group 4, Census Tract 110, District of Columbia, District of Columbia!!Estimate"
"Total:","730","715","685","1,214","1,470","1,644","392","386","469","1,024"
"    Income in the past 12 months below poverty level:","391","231","43","40","232","47","0","82","0","36"
"        With a disability:","200","147","4","0","70","0","0","0","0","0"
"            In labor force:","0","10","2","0","22","0","0","0","0","0"
"                In Armed Forces","0","0","0","0","0","0","0","0","0","0"
"                Civilian:","0","10","2","0","22","0","0","0","0","0"
"                    Employed","0","0","2","0","18","0","0","0","0","0"
"                    Unemployed","0","10","0","0","4","0","0","0","0","0"
"            Not in labor force","200","137","2","0","48","0","0","0","0","0"
"        No disability:","191","84","39","40","162","47","0","82","0","36"
"            In labor force:","119","64","14","40","16","28","0","82","0","36"
"                In Armed Forces","0","0","0","0","0","0","0","0","0","0"
"                Civilian:","119","64","14","40","16","28","0","82","0","36"
"                    Employed","70","42","12","16","0","0","0","41","0","18"
"                    Unemployed","49","22","2","24","16","28","0","41","0","18"
"            Not in labor force","72","20","25","0","146","19","0","0","0","0"
"    Income in the past 12 months at or above poverty level:","339","484","642","1,174","1,238","1,597","392","304","469","988"
"        With a disability:","87","79","7","61","132","70","15","10","0","90"
"            In labor force:","43","52","7","29","49","58","15","10","0","70"
"                In Armed Forces","0","0","0","0","0","0","0","0","0","0"
"                Civilian:","43","52","7","29","49","58","15","10","0","70"
"                    Employed","34","34","7","29","35","40","15","10","0","70"
"                    Unemployed","9","18","0","0","14","18","0","0","0","0"
"            Not in labor force","44","27","0","32","83","12","0","0","0","20"
"        No disability:","252","405","635","1,113","1,106","1,527","377","294","469","898"
"            In labor force:","140","355","515","1,025","1,042","1,459","377","294","359","876"
"                In Armed Forces","0","0","0","12","0","0","0","0","0","0"
"                Civilian:","140","355","515","1,013","1,042","1,459","377","294","359","876"
"                    Employed","140","307","500","963","1,021","1,383","364","294","340","825"
"                    Unemployed","0","48","15","50","21","76","13","0","19","51"
"            Not in labor force","112","50","120","88","64","68","0","0","110","22"
