"Label (Grouping)","Block Group 1, Census Tract 64, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 64, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 102, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 102, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 110, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 110, District of Columbia, District of Columbia!!Estimate","Block Group 3, Census Tract 110, District of Columbia, District of Columbia!!Estimate","Block Group 4, Census Tract 110, District of Columbia, District of Columbia!!Estimate"
"Total:","682","591","666","1,224","1,230","1,646","466","353","473","1,021"
"    Income in the past 12 months below poverty level:","354","232","39","54","200","95","0","44","0","54"
"        With a disability:","192","108","5","0","56","21","0","0","0","0"
"            In labor force:","0","11","1","0","2","0","0","0","0","0"
"                In Armed Forces","0","0","0","0","0","0","0","0","0","0"
"                Civilian:","0","11","1","0","2","0","0","0","0","0"
"                    Employed","0","0","1","0","0","0","0","0","0","0"
"                    Unemployed","0","11","0","0","2","0","0","0","0","0"
"            Not in labor force","192","97","4","0","54","21","0","0","0","0"
"        No disability:","162","124","34","54","144","74","0","44","0","54"
"            In labor force:","93","93","14","27","39","55","0","44","0","54"
"                In Armed Forces","0","0","0","0","0","0","0","0","0","0"
"                Civilian:","93","93","14","27","39","55","0","44","0","54"
"                    Employed","46","57","12","0","21","0","0","31","0","18"
"                    Unemployed","47","36","2","27","18","55","0","13","0","36"
"            Not in labor force","69","31","20","27","105","19","0","0","0","0"
"    Income in the past 12 months at or above poverty level:","328","359","627","1,170","1,030","1,551","466","309","473","967"
"        With a disability:","98","23","13","41","63","31","0","0","0","85"
"            In labor force:","15","23","5","21","18","18","0","0","0","68"
"                In Armed Forces","0","0","0","0","0","0","0","0","0","0"
"                Civilian:","15","23","5","21","18","18","0","0","0","68"
"                    Employed","8","23","5","21","0","18","0","0","0","68"
"                    Unemployed","7","0","0","0","18","0","0","0","0","0"
"            Not in labor force","83","0","8","20","45","13","0","0","0","17"
"        No disability:","230","336","614","1,129","967","1,520","466","309","473","882"
"            In labor force:","180","295","500","1,052","904","1,477","466","293","371","856"
"                In Armed Forces","0","18","13","0","0","0","0","0","0","0"
"                Civilian:","180","277","487","1,052","904","1,477","466","293","371","856"
"                    Employed","180","244","467","1,025","851","1,418","436","293","338","795"
"                    Unemployed","0","33","20","27","53","59","30","0","33","61"
"            Not in labor force","50","41","114","77","63","43","0","16","102","26"
