"Label (Grouping)","Block Group 1, Census Tract 64, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 64, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 102, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 102, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 110, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 110, District of Columbia, District of Columbia!!Estimate","Block Group 3, Census Tract 110, District of Columbia, District of Columbia!!Estimate","Block Group 4, Census Tract 110, District of Columbia, District of Columbia!!Estimate"
"Total:","943","607","655","1,229","1,163","1,688","560","393","591","934"
"    Income in the past 12 months below poverty level:","441","196","36","63","234","165","75","22","18","93"
"        With a disability:","218","69","1","0","52","47","0","0","18","56"
"            In labor force:","0","10","1","0","0","0","0","0","18","0"
"                In Armed Forces","0","0","0","0","0","0","0","0","0","0"
"                Civilian:","0","10","1","0","0","0","0","0","18","0"
"                    Employed","0","0","1","0","0","0","0","0","18","0"
"                    Unemployed","0","10","0","0","0","0","0","0","0","0"
"            Not in labor force","218","59","0","0","52","47","0","0","0","56"
"        No disability:","223","127","35","63","182","118","75","22","0","37"
"            In labor force:","138","94","11","37","74","77","42","22","0","37"
"                In Armed Forces","0","0","0","0","0","0","0","0","0","0"
"                Civilian:","138","94","11","37","74","77","42","22","0","37"
"                    Employed","47","50","10","9","41","28","42","10","0","16"
"                    Unemployed","91","44","1","28","33","49","0","12","0","21"
"            Not in labor force","85","33","24","26","108","41","33","0","0","0"
"    Income in the past 12 months at or above poverty level:","502","411","619","1,166","929","1,523","485","371","573","841"
"        With a disability:","70","31","16","81","81","87","0","14","0","147"
"            In labor force:","0","12","6","56","28","87","0","0","0","126"
"                In Armed Forces","0","0","0","0","0","0","0","0","0","0"
"                Civilian:","0","12","6","56","28","87","0","0","0","126"
"                    Employed","0","12","6","56","28","87","0","0","0","126"
"                    Unemployed","0","0","0","0","0","0","0","0","0","0"
"            Not in labor force","70","19","10","25","53","0","0","14","0","21"
"        No disability:","432","380","603","1,085","848","1,436","485","357","573","694"
"            In labor force:","344","357","514","1,014","826","1,368","485","329","535","638"
"                In Armed Forces","0","18","20","18","0","23","0","0","0","0"
"                Civilian:","344","339","494","996","826","1,345","485","329","535","638"
"                    Employed","344","332","467","963","778","1,258","485","329","495","638"
"                    Unemployed","0","7","27","33","48","87","0","0","40","0"
"            Not in labor force","88","23","89","71","22","68","0","28","38","56"
