"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent","Census Tract 102.01, District of Columbia, District of Columbia!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent","Census Tract 102.02, District of Columbia, District of Columbia!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent","Census Tract 105, District of Columbia, District of Columbia!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent","Census Tract 110.01, District of Columbia, District of Columbia!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent","Census Tract 110.02, District of Columbia, District of Columbia!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent"
"EMPLOYMENT STATUS","","","","","","","","","","","",""
"    Population 16 years and over","2,003","2,003","2,311","2,311","1,747","1,747","3,700","3,700","2,320","2,320","1,479","1,479"
"        In labor force","1,158","57.8%","1,974","85.4%","1,360","77.8%","3,020","81.6%","1,952","84.1%","1,108","74.9%"
"            Civilian labor force","1,135","56.7%","1,974","85.4%","1,360","77.8%","3,020","81.6%","1,877","80.9%","1,070","72.3%"
"                Employed","983","49.1%","1,884","81.5%","1,339","76.6%","2,913","78.7%","1,868","80.5%","991","67.0%"
"                Unemployed","152","7.6%","90","3.9%","21","1.2%","107","2.9%","9","0.4%","79","5.3%"
"            Armed Forces","23","1.1%","0","0.0%","0","0.0%","0","0.0%","75","3.2%","38","2.6%"
"        Not in labor force","845","42.2%","337","14.6%","387","22.2%","680","18.4%","368","15.9%","371","25.1%"
"    Civilian labor force","1,135","1,135","1,974","1,974","1,360","1,360","3,020","3,020","1,877","1,877","1,070","1,070"
"        Unemployment Rate","(X)","13.4%","(X)","4.6%","(X)","1.5%","(X)","3.5%","(X)","0.5%","(X)","7.4%"
"    Females 16 years and over","1,075","1,075","1,009","1,009","961","961","1,901","1,901","1,251","1,251","822","822"
"        In labor force","526","48.9%","839","83.2%","750","78.0%","1,579","83.1%","984","78.7%","590","71.8%"
"            Civilian labor force","526","48.9%","839","83.2%","750","78.0%","1,579","83.1%","984","78.7%","590","71.8%"
"                Employed","446","41.5%","819","81.2%","750","78.0%","1,562","82.2%","975","77.9%","533","64.8%"
"    Own children of the householder under 6 years","73","73","0","0","169","169","227","227","54","54","40","40"
"        All parents in family in labor force","10","13.7%","0","-","169","100.0%","178","78.4%","54","100.0%","40","100.0%"
"    Own children of the householder 6 to 17 years","297","297","211","211","24","24","146","146","11","11","0","0"
"        All parents in family in labor force","154","51.9%","211","100.0%","24","100.0%","38","26.0%","11","100.0%","0","-"
"COMMUTING TO WORK","","","","","","","","","","","",""
"    Workers 16 years and over","1,006","1,006","1,884","1,884","1,324","1,324","2,871","2,871","1,943","1,943","992","992"
"        Car, truck, or van -- drove alone","273","27.1%","488","25.9%","374","28.2%","440","15.3%","666","34.3%","229","23.1%"
"        Car, truck, or van -- carpooled","11","1.1%","52","2.8%","27","2.0%","198","6.9%","50","2.6%","8","0.8%"
"        Public transportation (excluding taxicab)","244","24.3%","680","36.1%","271","20.5%","873","30.4%","422","21.7%","233","23.5%"
"        Walked","179","17.8%","237","12.6%","251","19.0%","377","13.1%","172","8.9%","140","14.1%"
"        Other means","125","12.4%","117","6.2%","148","11.2%","415","14.5%","57","2.9%","65","6.6%"
"        Worked from home","174","17.3%","310","16.5%","253","19.1%","568","19.8%","576","29.6%","317","32.0%"
"        Mean travel time to work (minutes)","25.4","(X)","25.7","(X)","24.0","(X)","27.7","(X)","25.4","(X)","23.4","(X)"
"OCCUPATION","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","983","983","1,884","1,884","1,339","1,339","2,913","2,913","1,868","1,868","991","991"
"        Management, business, science, and arts occupations","497","50.6%","1,514","80.4%","926","69.2%","2,319","79.6%","1,506","80.6%","813","82.0%"
"        Service occupations","241","24.5%","55","2.9%","101","7.5%","182","6.2%","128","6.9%","53","5.3%"
"        Sales and office occupations","146","14.9%","238","12.6%","283","21.1%","336","11.5%","148","7.9%","113","11.4%"
"        Natural resources, construction, and maintenance occupations","0","0.0%","0","0.0%","29","2.2%","35","1.2%","0","0.0%","0","0.0%"
"        Production, transportation, and material moving occupations","99","10.1%","77","4.1%","0","0.0%","41","1.4%","86","4.6%","12","1.2%"
"INDUSTRY","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","983","983","1,884","1,884","1,339","1,339","2,913","2,913","1,868","1,868","991","991"
"        Agriculture, forestry, fishing and hunting, and mining","0","0.0%","0","0.0%","29","2.2%","0","0.0%","0","0.0%","0","0.0%"
"        Construction","20","2.0%","28","1.5%","40","3.0%","23","0.8%","0","0.0%","0","0.0%"
"        Manufacturing","20","2.0%","13","0.7%","0","0.0%","0","0.0%","0","0.0%","21","2.1%"
"        Wholesale trade","0","0.0%","38","2.0%","1","0.1%","0","0.0%","0","0.0%","0","0.0%"
"        Retail trade","90","9.2%","57","3.0%","170","12.7%","168","5.8%","45","2.4%","44","4.4%"
"        Transportation and warehousing, and utilities","33","3.4%","131","7.0%","0","0.0%","15","0.5%","17","0.9%","0","0.0%"
"        Information","0","0.0%","20","1.1%","68","5.1%","204","7.0%","95","5.1%","78","7.9%"
"        Finance and insurance, and real estate and rental and leasing","96","9.8%","48","2.5%","173","12.9%","167","5.7%","432","23.1%","89","9.0%"
"        Professional, scientific, and management, and administrative and waste management services","212","21.6%","795","42.2%","267","19.9%","737","25.3%","455","24.4%","272","27.4%"
"        Educational services, and health care and social assistance","166","16.9%","144","7.6%","144","10.8%","396","13.6%","274","14.7%","96","9.7%"
"        Arts, entertainment, and recreation, and accommodation and food services","136","13.8%","70","3.7%","157","11.7%","224","7.7%","62","3.3%","60","6.1%"
"        Other services, except public administration","86","8.7%","148","7.9%","87","6.5%","160","5.5%","260","13.9%","76","7.7%"
"        Public administration","124","12.6%","392","20.8%","203","15.2%","819","28.1%","228","12.2%","255","25.7%"
"CLASS OF WORKER","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","983","983","1,884","1,884","1,339","1,339","2,913","2,913","1,868","1,868","991","991"
"        Private wage and salary workers","691","70.3%","1,250","66.3%","1,033","77.1%","1,835","63.0%","1,505","80.6%","575","58.0%"
"        Government workers","215","21.9%","521","27.7%","276","20.6%","1,017","34.9%","325","17.4%","353","35.6%"
"        Self-employed in own not incorporated business workers","77","7.8%","113","6.0%","30","2.2%","61","2.1%","38","2.0%","63","6.4%"
"        Unpaid family workers","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Total households","1,319","1,319","1,728","1,728","1,158","1,158","2,402","2,402","1,459","1,459","1,077","1,077"
"        Less than $10,000","307","23.3%","67","3.9%","19","1.6%","146","6.1%","42","2.9%","90","8.4%"
"        $10,000 to $14,999","210","15.9%","90","5.2%","2","0.2%","130","5.4%","22","1.5%","14","1.3%"
"        $15,000 to $24,999","113","8.6%","39","2.3%","226","19.5%","91","3.8%","0","0.0%","26","2.4%"
"        $25,000 to $34,999","68","5.2%","57","3.3%","32","2.8%","38","1.6%","94","6.4%","25","2.3%"
"        $35,000 to $49,999","68","5.2%","126","7.3%","3","0.3%","208","8.7%","75","5.1%","30","2.8%"
"        $50,000 to $74,999","118","8.9%","315","18.2%","167","14.4%","316","13.2%","235","16.1%","185","17.2%"
"        $75,000 to $99,999","143","10.8%","276","16.0%","74","6.4%","328","13.7%","93","6.4%","137","12.7%"
"        $100,000 to $149,999","113","8.6%","210","12.2%","237","20.5%","441","18.4%","476","32.6%","185","17.2%"
"        $150,000 to $199,999","81","6.1%","180","10.4%","136","11.7%","322","13.4%","237","16.2%","113","10.5%"
"        $200,000 or more","98","7.4%","368","21.3%","262","22.6%","382","15.9%","185","12.7%","272","25.3%"
"        Median household income (dollars)","29,375","(X)","86,591","(X)","110,081","(X)","96,399","(X)","126,121","(X)","110,594","(X)"
"        Mean household income (dollars)","70,911","(X)","116,525","(X)","147,473","(X)","112,286","(X)","121,110","(X)","147,267","(X)"
"        With earnings","868","65.8%","1,502","86.9%","918","79.3%","2,069","86.1%","1,268","86.9%","811","75.3%"
"            Mean earnings (dollars)","92,854","(X)","124,868","(X)","142,744","(X)","123,128","(X)","122,911","(X)","144,575","(X)"
"        With Social Security","352","26.7%","130","7.5%","199","17.2%","331","13.8%","292","20.0%","302","28.0%"
"            Mean Social Security income (dollars)","13,395","(X)","13,669","(X)","17,856","(X)","12,982","(X)","18,817","(X)","16,864","(X)"
"        With retirement income","117","8.9%","142","8.2%","231","19.9%","196","8.2%","279","19.1%","250","23.2%"
"            Mean retirement income (dollars)","26,716","(X)","51,622","(X)","52,549","(X)","23,601","(X)","33,686","(X)","60,821","(X)"
"        With Supplemental Security Income","238","18.0%","20","1.2%","0","0.0%","116","4.8%","40","2.7%","0","0.0%"
"            Mean Supplemental Security Income (dollars)","9,197","(X)","N","(X)","-","(X)","12,536","(X)","N","(X)","-","(X)"
"        With cash public assistance income","87","6.6%","0","0.0%","155","13.4%","21","0.9%","0","0.0%","0","0.0%"
"            Mean cash public assistance income (dollars)","434","(X)","-","(X)","N","(X)","N","(X)","-","(X)","-","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","613","46.5%","69","4.0%","165","14.2%","251","10.4%","60","4.1%","14","1.3%"
"    Families","565","565","303","303","387","387","673","673","557","557","239","239"
"        Less than $10,000","104","18.4%","10","3.3%","10","2.6%","50","7.4%","0","0.0%","0","0.0%"
"        $10,000 to $14,999","98","17.3%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"        $15,000 to $24,999","126","22.3%","0","0.0%","177","45.7%","38","5.6%","0","0.0%","0","0.0%"
"        $25,000 to $34,999","68","12.0%","0","0.0%","0","0.0%","21","3.1%","40","7.2%","0","0.0%"
"        $35,000 to $49,999","17","3.0%","21","6.9%","0","0.0%","18","2.7%","0","0.0%","10","4.2%"
"        $50,000 to $74,999","43","7.6%","39","12.9%","0","0.0%","30","4.5%","15","2.7%","0","0.0%"
"        $75,000 to $99,999","23","4.1%","50","16.5%","9","2.3%","33","4.9%","0","0.0%","0","0.0%"
"        $100,000 to $149,999","23","4.1%","0","0.0%","22","5.7%","151","22.4%","254","45.6%","39","16.3%"
"        $150,000 to $199,999","20","3.5%","47","15.5%","62","16.0%","59","8.8%","79","14.2%","33","13.8%"
"        $200,000 or more","43","7.6%","136","44.9%","107","27.6%","273","40.6%","169","30.3%","157","65.7%"
"        Median family income (dollars)","21,563","(X)","176,164","(X)","-","(X)","149,914","(X)","131,655","(X)","250,000+","(X)"
"        Mean family income (dollars)","52,243","(X)","154,897","(X)","128,651","(X)","158,825","(X)","164,589","(X)","280,746","(X)"
"    Per capita income (dollars)","38,973","(X)","78,558","(X)","88,697","(X)","67,460","(X)","73,420","(X)","106,678","(X)"
"    Nonfamily households","754","754","1,425","1,425","771","771","1,729","1,729","902","902","838","838"
"        Median nonfamily income (dollars)","46,500","(X)","85,013","(X)","108,036","(X)","80,721","(X)","84,327","(X)","90,563","(X)"
"        Mean nonfamily income (dollars)","80,324","(X)","108,366","(X)","154,922","(X)","93,678","(X)","94,262","(X)","102,411","(X)"
"    Median earnings for workers (dollars)","47,750","(X)","85,333","(X)","74,543","(X)","81,594","(X)","74,577","(X)","88,508","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","75,227","(X)","105,321","(X)","128,532","(X)","83,750","(X)","90,830","(X)","109,118","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","87,981","(X)","78,190","(X)","64,652","(X)","95,794","(X)","74,085","(X)","104,946","(X)"
"HEALTH INSURANCE COVERAGE","","","","","","","","","","","",""
"    Civilian noninstitutionalized population","2,469","2,469","2,522","2,522","1,960","1,960","4,027","4,027","2,310","2,310","1,469","1,469"
"        With health insurance coverage","2,277","92.2%","2,522","100.0%","1,889","96.4%","3,802","94.4%","2,285","98.9%","1,469","100.0%"
"            With private health insurance","1,057","42.8%","2,433","96.5%","1,455","74.2%","2,933","72.8%","2,124","91.9%","1,399","95.2%"
"            With public coverage","1,582","64.1%","361","14.3%","604","30.8%","1,138","28.3%","444","19.2%","463","31.5%"
"        No health insurance coverage","192","7.8%","0","0.0%","71","3.6%","225","5.6%","25","1.1%","0","0.0%"
"    Civilian noninstitutionalized population under 19 years","592","592","211","211","247","247","373","373","65","65","40","40"
"        No health insurance coverage","96","16.2%","0","0.0%","44","17.8%","0","0.0%","0","0.0%","0","0.0%"
"    Civilian noninstitutionalized population 19 to 64 years","1,520","1,520","2,076","2,076","1,369","1,369","3,367","3,367","1,984","1,984","998","998"
"        In labor force:","1,075","1,075","1,945","1,945","1,239","1,239","2,925","2,925","1,838","1,838","939","939"
"            Employed:","946","946","1,855","1,855","1,218","1,218","2,818","2,818","1,829","1,829","876","876"
"                With health insurance coverage","873","92.3%","1,855","100.0%","1,218","100.0%","2,715","96.3%","1,804","98.6%","876","100.0%"
"                    With private health insurance","679","71.8%","1,809","97.5%","1,046","85.9%","2,478","87.9%","1,705","93.2%","876","100.0%"
"                    With public coverage","254","26.8%","122","6.6%","172","14.1%","314","11.1%","99","5.4%","43","4.9%"
"                No health insurance coverage","73","7.7%","0","0.0%","0","0.0%","103","3.7%","25","1.4%","0","0.0%"
"            Unemployed:","129","129","90","90","21","21","107","107","9","9","63","63"
"                With health insurance coverage","106","82.2%","90","100.0%","21","100.0%","17","15.9%","9","100.0%","63","100.0%"
"                    With private health insurance","6","4.7%","90","100.0%","0","0.0%","17","15.9%","9","100.0%","63","100.0%"
"                    With public coverage","100","77.5%","0","0.0%","21","100.0%","0","0.0%","0","0.0%","0","0.0%"
"                No health insurance coverage","23","17.8%","0","0.0%","0","0.0%","90","84.1%","0","0.0%","0","0.0%"
"        Not in labor force:","445","445","131","131","130","130","442","442","146","146","59","59"
"            With health insurance coverage","445","100.0%","131","100.0%","103","79.2%","410","92.8%","146","100.0%","59","100.0%"
"                With private health insurance","51","11.5%","112","85.5%","88","67.7%","49","11.1%","106","72.6%","59","100.0%"
"                With public coverage","425","95.5%","19","14.5%","15","11.5%","380","86.0%","62","42.5%","0","0.0%"
"            No health insurance coverage","0","0.0%","0","0.0%","27","20.8%","32","7.2%","0","0.0%","0","0.0%"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","","","","","","","",""
"    All families","(X)","50.1%","(X)","3.3%","(X)","2.6%","(X)","13.8%","(X)","0.0%","(X)","0.0%"
"        With related children of the householder under 18 years","(X)","71.7%","(X)","0.0%","(X)","0.0%","(X)","17.8%","(X)","0.0%","(X)","0.0%"
"            With related children of the householder under 5 years only","(X)","49.4%","(X)","-","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%"
"        Married couple families","(X)","14.0%","(X)","3.5%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%"
"            With related children of the householder under 18 years","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","-"
"                With related children of the householder under 5 years only","(X)","0.0%","(X)","-","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","-"
"        Families with female householder, no spouse present","(X)","59.6%","(X)","0.0%","(X)","6.1%","(X)","53.4%","(X)","0.0%","(X)","0.0%"
"            With related children of the householder under 18 years","(X)","80.0%","(X)","0.0%","(X)","0.0%","(X)","42.7%","(X)","0.0%","(X)","0.0%"
"                With related children of the householder under 5 years only","(X)","-","(X)","-","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%"
"    All people","(X)","43.3%","(X)","6.1%","(X)","7.2%","(X)","20.9%","(X)","2.7%","(X)","6.1%"
"        Under 18 years","(X)","68.0%","(X)","0.0%","(X)","6.8%","(X)","42.1%","(X)","0.0%","(X)","0.0%"
"            Related children of the householder under 18 years","(X)","68.0%","(X)","0.0%","(X)","0.0%","(X)","42.1%","(X)","0.0%","(X)","0.0%"
"                Related children of the householder under 5 years","(X)","58.5%","(X)","-","(X)","0.0%","(X)","23.3%","(X)","0.0%","(X)","0.0%"
"                Related children of the householder 5 to 17 years","(X)","73.2%","(X)","0.0%","(X)","0.0%","(X)","66.3%","(X)","0.0%","(X)","-"
"        18 years and over","(X)","37.3%","(X)","6.6%","(X)","7.2%","(X)","18.7%","(X)","2.8%","(X)","6.3%"
"            18 to 64 years","(X)","37.1%","(X)","6.0%","(X)","8.1%","(X)","18.5%","(X)","2.0%","(X)","4.1%"
"            65 years and over","(X)","38.7%","(X)","11.9%","(X)","3.5%","(X)","21.3%","(X)","8.4%","(X)","11.4%"
"        People in families","(X)","49.2%","(X)","1.9%","(X)","2.7%","(X)","25.0%","(X)","0.0%","(X)","0.0%"
