"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","254","±123","(X)","(X)","117","±62","(X)","(X)","137","±99","(X)","(X)","253","±125","(X)","(X)","87","±64","(X)","(X)","166","±96","(X)","(X)"
"        Less than high school graduate","92","±75","36.2%","±23.4","38","±43","32.5%","±32.7","54","±67","39.4%","±38.1","58","±54","22.9%","±18.7","0","±12","0.0%","±31.9","58","±54","34.9%","±25.5"
"        High school graduate (includes equivalency)","86","±70","33.9%","±21.8","43","±41","36.8%","±30.6","43","±55","31.4%","±34.0","102","±77","40.3%","±21.4","23","±38","26.4%","±35.7","79","±69","47.6%","±26.7"
"        Some college or associate's degree","28","±42","11.0%","±15.5","0","±12","0.0%","±25.4","28","±42","20.4%","±29.8","37","±44","14.6%","±14.6","30","±44","34.5%","±37.3","7","±12","4.2%","±7.8"
"        Bachelor's degree or higher","48","±40","18.9%","±16.7","36","±36","30.8%","±25.1","12","±19","8.8%","±16.7","56","±47","22.1%","±18.9","34","±31","39.1%","±31.8","22","±24","13.3%","±16.1"
"    Population 25 years and over","2,048","±252","(X)","(X)","881","±214","(X)","(X)","1,167","±179","(X)","(X)","3,269","±357","(X)","(X)","1,808","±253","(X)","(X)","1,461","±236","(X)","(X)"
"        Less than 9th grade","145","±86","7.1%","±3.9","42","±43","4.8%","±4.7","103","±67","8.8%","±5.3","49","±49","1.5%","±1.4","0","±12","0.0%","±1.9","49","±49","3.4%","±3.2"
"        9th to 12th grade, no diploma","337","±106","16.5%","±5.2","93","±65","10.6%","±7.4","244","±82","20.9%","±7.0","292","±208","8.9%","±5.8","142","±122","7.9%","±6.4","150","±106","10.3%","±6.8"
"        High school graduate (includes equivalency)","478","±134","23.3%","±5.8","202","±114","22.9%","±10.9","276","±97","23.7%","±8.4","260","±116","8.0%","±3.4","140","±113","7.7%","±5.9","120","±76","8.2%","±5.4"
