"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Males!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Males!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Males!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Males!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Females!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Females!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Females!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Females!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Males!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Males!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Percent Males!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Percent Males!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Females!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Females!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Percent Females!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Percent Females!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Males!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Males!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Males!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Males!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Females!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Females!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Females!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Females!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Males!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Males!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Percent Males!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Percent Males!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Females!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Females!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Percent Females!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Percent Females!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Population 18 to 24 years","294","±134","(X)","(X)","166","±83","(X)","(X)","128","±87","(X)","(X)","146","±68","(X)","(X)","54","±46","(X)","(X)","92","±57","(X)","(X)","361","±187","(X)","(X)","186","±137","(X)","(X)","175","±107","(X)","(X)","251","±117","(X)","(X)","138","±64","(X)","(X)","113","±82","(X)","(X)"
"    Less than high school graduate","107","±72","36.4%","±15.5","95","±70","57.2%","±21.5","12","±14","9.4%","±14.0","0","±12","0.0%","±19.8","0","±12","0.0%","±40.4","0","±12","0.0%","±29.0","31","±38","8.6%","±9.7","0","±12","0.0%","±16.0","31","±38","17.7%","±19.6","0","±12","0.0%","±12.1","0","±12","0.0%","±20.8","0","±12","0.0%","±24.6"
"    High school graduate (includes equivalency)","83","±80","28.2%","±18.8","25","±21","15.1%","±12.9","58","±78","45.3%","±42.4","0","±12","0.0%","±19.8","0","±12","0.0%","±40.4","0","±12","0.0%","±29.0","104","±96","28.8%","±22.9","53","±57","28.5%","±30.0","51","±55","29.1%","±27.0","74","±45","29.5%","±17.9","74","±45","53.6%","±24.4","0","±12","0.0%","±24.6"
"    Some college or associate's degree","86","±47","29.3%","±19.9","28","±28","16.9%","±14.2","58","±48","45.3%","±39.7","24","±26","16.4%","±17.5","24","±26","44.4%","±48.2","0","±12","0.0%","±29.0","14","±34","3.9%","±9.3","14","±34","7.5%","±19.0","0","±12","0.0%","±16.9","11","±19","4.4%","±7.8","11","±19","8.0%","±13.2","0","±12","0.0%","±24.6"
"    Bachelor's degree or higher","18","±23","6.1%","±8.6","18","±23","10.8%","±16.2","0","±12","0.0%","±22.2","122","±67","83.6%","±17.5","30","±40","55.6%","±48.2","92","±57","100.0%","±29.0","212","±144","58.7%","±24.3","119","±121","64.0%","±34.0","93","±79","53.1%","±28.5","166","±103","66.1%","±18.9","53","±42","38.4%","±23.7","113","±82","100.0%","±24.6"
"Population 25 years and over","1,469","±161","(X)","(X)","545","±103","(X)","(X)","924","±103","(X)","(X)","2,186","±242","(X)","(X)","981","±176","(X)","(X)","1,205","±158","(X)","(X)","2,918","±268","(X)","(X)","1,394","±202","(X)","(X)","1,524","±180","(X)","(X)","3,090","±374","(X)","(X)","1,460","±356","(X)","(X)","1,630","±224","(X)","(X)"
"    Less than 9th grade","102","±64","6.9%","±4.5","69","±48","12.7%","±8.5","33","±31","3.6%","±3.5","69","±64","3.2%","±2.9","0","±12","0.0%","±3.3","69","±64","5.7%","±5.2","74","±55","2.5%","±1.9","3","±8","0.2%","±0.5","71","±55","4.7%","±3.7","21","±32","0.7%","±1.0","0","±12","0.0%","±2.2","21","±32","1.3%","±2.0"
"    9th to 12th grade, no diploma","265","±76","18.0%","±5.0","88","±49","16.1%","±9.1","177","±55","19.2%","±5.5","46","±44","2.1%","±2.0","20","±16","2.0%","±1.7","26","±41","2.2%","±3.4","137","±98","4.7%","±3.3","38","±44","2.7%","±3.1","99","±81","6.5%","±5.4","0","±12","0.0%","±1.0","0","±12","0.0%","±2.2","0","±12","0.0%","±2.0"
"    High school graduate (includes equivalency)","425","±111","28.9%","±6.2","159","±80","29.2%","±12.2","266","±77","28.8%","±7.6","147","±74","6.7%","±3.4","106","±66","10.8%","±6.3","41","±30","3.4%","±2.5","291","±108","10.0%","±3.7","164","±103","11.8%","±7.3","127","±70","8.3%","±4.6","77","±61","2.5%","±2.0","4","±12","0.3%","±0.8","73","±61","4.5%","±3.7"
