"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Female!!Margin of Error"
"Population 18 to 24 years","116","±70","79","±60","37","±40","249","±93","18","±30","231","±90","478","±172","212","±119","266","±100","277","±181","148","±99","129","±136"
"Less than high school graduate","13.8%","±22.0","20.3%","±33.6","0.0%","±52.4","0.0%","±13.9","0.0%","±75.1","0.0%","±14.9","8.2%","±8.0","2.4%","±5.5","12.8%","±13.5","13.0%","±13.0","10.1%","±16.9","16.3%","±31.2"
"High school graduate (includes equivalency)","86.2%","±22.0","79.7%","±33.6","100.0%","±52.4","6.0%","±8.8","0.0%","±75.1","6.5%","±9.6","25.9%","±21.1","28.8%","±26.4","23.7%","±22.3","30.0%","±24.7","56.1%","±33.5","0.0%","±24.8"
"Some college or associate's degree","0.0%","±27.0","0.0%","±35.6","0.0%","±52.4","0.0%","±13.9","0.0%","±75.1","0.0%","±14.9","7.7%","±11.9","17.5%","±25.5","0.0%","±13.1","29.6%","±36.5","2.7%","±7.0","60.5%","±57.9"
"Bachelor's degree or higher","0.0%","±27.0","0.0%","±35.6","0.0%","±52.4","94.0%","±8.8","100.0%","±75.1","93.5%","±9.6","58.2%","±20.3","51.4%","±30.0","63.5%","±21.6","27.4%","±22.6","31.1%","±30.5","23.3%","±46.6"
"Population 25 years and over","1,221","±175","402","±130","819","±141","2,150","±266","895","±165","1,255","±192","3,265","±296","1,756","±295","1,509","±227","3,130","±361","1,281","±237","1,849","±302"
"Less than 9th grade","6.3%","±4.2","7.5%","±8.6","5.7%","±5.3","0.5%","±0.7","0.1%","±0.3","0.7%","±1.2","3.0%","±2.0","1.5%","±1.9","4.8%","±4.0","1.0%","±1.2","0.0%","±2.9","1.7%","±2.1"
"9th to 12th grade, no diploma","21.3%","±8.9","13.7%","±13.0","25.0%","±11.1","0.1%","±0.1","0.2%","±0.3","0.0%","±2.9","4.3%","±2.5","5.4%","±3.3","3.0%","±2.8","2.3%","±1.5","1.4%","±2.0","3.0%","±2.0"
"High school graduate (includes equivalency)","36.7%","±8.6","23.1%","±13.8","43.3%","±10.6","8.8%","±3.9","7.9%","±5.3","9.5%","±5.2","19.4%","±6.9","23.3%","±10.7","14.8%","±6.0","11.1%","±8.0","7.4%","±6.7","13.6%","±11.6"
"Some college, no degree","13.5%","±6.7","12.9%","±8.9","13.8%","±8.8","13.8%","±4.8","6.6%","±4.6","18.9%","±7.0","10.7%","±4.8","9.3%","±6.4","12.3%","±6.8","17.9%","±5.8","20.5%","±9.6","16.0%","±7.3"
"Associate's degree","4.3%","±4.2","10.4%","±13.2","1.3%","±2.2","3.7%","±2.5","2.9%","±3.2","4.3%","±3.4","2.9%","±2.1","2.3%","±2.2","3.5%","±2.8","1.7%","±1.3","2.3%","±2.6","1.3%","±1.4"
"Bachelor's degree","8.1%","±6.8","20.6%","±17.8","2.0%","±2.3","25.5%","±7.2","22.8%","±8.4","27.5%","±10.0","36.4%","±7.5","38.3%","±10.8","34.3%","±10.2","24.8%","±6.4","26.2%","±11.1","23.7%","±7.5"
"Graduate or professional degree","9.7%","±6.2","11.7%","±11.0","8.8%","±6.3","47.6%","±7.7","59.4%","±9.5","39.1%","±10.4","23.3%","±5.4","19.9%","±7.0","27.3%","±8.6","41.2%","±6.2","42.1%","±9.5","40.6%","±7.7"
"Percent high school graduate or higher","72.4%","±9.8","78.9%","±15.1","69.2%","±12.0","99.4%","±0.7","99.7%","±0.4","99.3%","±1.2","92.7%","±2.6","93.2%","±3.8","92.2%","±3.9","96.6%","±2.0","98.6%","±2.0","95.3%","±3.2"
"Percent bachelor's degree or higher","17.9%","±7.9","32.3%","±17.0","10.7%","±6.4","73.1%","±6.9","82.2%","±6.9","66.6%","±9.9","59.8%","±7.7","58.2%","±11.4","61.6%","±8.5","66.0%","±8.2","68.3%","±10.3","64.4%","±10.8"
"Population 25 to 34 years","210","±123","101","±79","109","±71","516","±165","167","±83","349","±121","1,208","±265","612","±237","596","±165","449","±187","139","±84","310","±157"
