"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","109","±64","(X)","(X)","54","±37","(X)","(X)","55","±48","(X)","(X)","182","±111","(X)","(X)","32","±24","(X)","(X)","150","±108","(X)","(X)","107","±45","(X)","(X)","42","±23","(X)","(X)","65","±46","(X)","(X)","202","±133","(X)","(X)","73","±65","(X)","(X)","129","±101","(X)","(X)","29","±45","(X)","(X)","0","±13","(X)","(X)","29","±45","(X)","(X)","61","±45","(X)","(X)","37","±24","(X)","(X)","24","±39","(X)","(X)"
"        Less than high school graduate","43","±47","39.4%","±32.3","10","±16","18.5%","±26.6","33","±42","60.0%","±46.8","2","±7","1.1%","±4.3","2","±7","6.3%","±20.7","0","±13","0.0%","±23.1","0","±13","0.0%","±30.2","0","±13","0.0%","±50.8","0","±13","0.0%","±40.8","28","±55","13.9%","±23.9","0","±13","0.0%","±38.5","28","±55","21.7%","±35.9","0","±13","0.0%","±61.1","0","±13","-","**","0","±13","0.0%","±61.1","0","±13","0.0%","±42.1","0","±13","0.0%","±54.1","0","±13","0.0%","±67.2"
"        High school graduate (includes equivalency)","47","±36","43.1%","±28.0","33","±30","61.1%","±32.6","14","±22","25.5%","±41.0","0","±13","0.0%","±19.6","0","±13","0.0%","±58.2","0","±13","0.0%","±23.1","7","±10","6.5%","±9.9","7","±10","16.7%","±24.8","0","±13","0.0%","±40.8","91","±70","45.0%","±24.6","25","±46","34.2%","±45.8","66","±62","51.2%","±31.1","15","±31","51.7%","±51.7","0","±13","-","**","15","±31","51.7%","±51.7","34","±25","55.7%","±43.3","34","±25","91.9%","±20.4","0","±13","0.0%","±67.2"
"        Some college or associate's degree","0","±13","0.0%","±29.8","0","±13","0.0%","±44.8","0","±13","0.0%","±44.4","0","±13","0.0%","±19.6","0","±13","0.0%","±58.2","0","±13","0.0%","±23.1","30","±38","28.0%","±35.9","14","±18","33.3%","±45.1","16","±20","24.6%","±35.1","27","±41","13.4%","±16.0","21","±40","28.8%","±43.2","6","±10","4.7%","±9.3","0","±13","0.0%","±61.1","0","±13","-","**","0","±13","0.0%","±61.1","3","±7","4.9%","±12.9","3","±7","8.1%","±20.4","0","±13","0.0%","±67.2"
"        Bachelor's degree or higher","19","±19","17.4%","±17.8","11","±16","20.4%","±27.6","8","±12","14.5%","±25.2","180","±112","98.9%","±4.3","30","±23","93.8%","±20.7","150","±108","100.0%","±23.1","70","±49","65.4%","±35.3","21","±23","50.0%","±45.4","49","±48","75.4%","±35.1","56","±51","27.7%","±24.9","27","±30","37.0%","±38.4","29","±31","22.5%","±28.6","14","±26","48.3%","±51.7","0","±13","-","**","14","±26","48.3%","±51.7","24","±39","39.3%","±44.3","0","±13","0.0%","±54.1","24","±39","100.0%","±67.2"
"    Population 25 years and over","1,790","±253","(X)","(X)","781","±185","(X)","(X)","1,009","±195","(X)","(X)","1,976","±299","(X)","(X)","1,134","±276","(X)","(X)","842","±151","(X)","(X)","1,330","±270","(X)","(X)","506","±144","(X)","(X)","824","±244","(X)","(X)","3,351","±586","(X)","(X)","1,765","±331","(X)","(X)","1,586","±350","(X)","(X)","2,281","±472","(X)","(X)","1,023","±302","(X)","(X)","1,258","±329","(X)","(X)","1,699","±251","(X)","(X)","678","±197","(X)","(X)","1,021","±174","(X)","(X)"
"        Less than 9th grade","97","±65","5.4%","±3.6","28","±34","3.6%","±4.2","69","±59","6.8%","±5.9","0","±13","0.0%","±2.0","0","±13","0.0%","±3.5","0","±13","0.0%","±4.6","35","±43","2.6%","±3.1","10","±17","2.0%","±3.3","25","±40","3.0%","±4.8","53","±53","1.6%","±1.5","0","±13","0.0%","±2.2","53","±53","3.3%","±3.2","16","±27","0.7%","±1.2","0","±13","0.0%","±3.8","16","±27","1.3%","±2.1","0","±13","0.0%","±2.3","0","±13","0.0%","±5.7","0","±13","0.0%","±3.8"
"        9th to 12th grade, no diploma","367","±126","20.5%","±5.9","159","±104","20.4%","±11.8","208","±89","20.6%","±8.1","17","±23","0.9%","±1.2","0","±13","0.0%","±3.5","17","±23","2.0%","±2.8","0","±13","0.0%","±3.0","0","±13","0.0%","±7.6","0","±13","0.0%","±4.7","245","±176","7.3%","±4.8","117","±102","6.6%","±5.4","128","±95","8.1%","±5.8","116","±84","5.1%","±4.0","21","±33","2.1%","±3.3","95","±83","7.6%","±6.9","19","±30","1.1%","±1.8","0","±13","0.0%","±5.7","19","±30","1.9%","±3.0"
"        High school graduate (includes equivalency)","419","±137","23.4%","±7.6","154","±90","19.7%","±10.9","265","±108","26.3%","±10.8","10","±16","0.5%","±0.8","10","±16","0.9%","±1.4","0","±13","0.0%","±4.6","41","±33","3.1%","±2.5","13","±15","2.6%","±2.9","28","±25","3.4%","±3.1","198","±96","5.9%","±2.7","99","±95","5.6%","±5.0","99","±68","6.2%","±4.8","264","±258","11.6%","±10.3","170","±171","16.6%","±15.9","94","±103","7.5%","±7.5","146","±107","8.6%","±5.8","58","±70","8.6%","±9.5","88","±77","8.6%","±7.1"
