"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Female!!Margin of Error"
"Population 18 to 24 years","138","±75","103","±70","35","±36","240","±97","24","±30","216","±94","495","±172","211","±115","284","±106","188","±104","152","±91","36","±56"
"Less than high school graduate","35.5%","±34.6","36.9%","±38.8","31.4%","±43.9","0.0%","±14.4","0.0%","±65.0","0.0%","±15.9","9.5%","±8.4","1.9%","±4.2","15.1%","±13.9","8.0%","±12.8","9.9%","±15.3","0.0%","±53.1"
"High school graduate (includes equivalency)","64.5%","±34.6","63.1%","±38.8","68.6%","±43.9","4.2%","±6.6","0.0%","±65.0","4.6%","±7.5","22.6%","±22.3","31.8%","±28.5","15.8%","±21.3","45.7%","±28.8","56.6%","±30.2","0.0%","±53.1"
"Some college or associate's degree","0.0%","±23.5","0.0%","±29.6","0.0%","±53.8","0.0%","±14.4","0.0%","±65.0","0.0%","±15.9","5.3%","±8.4","12.3%","±19.4","0.0%","±12.4","5.3%","±9.4","6.6%","±11.6","0.0%","±53.1"
"Bachelor's degree or higher","0.0%","±23.5","0.0%","±29.6","0.0%","±53.8","95.8%","±6.6","100.0%","±65.0","95.4%","±7.5","62.6%","±22.9","54.0%","±30.8","69.0%","±22.9","41.0%","±29.0","27.0%","±26.3","100.0%","±53.1"
"Population 25 years and over","1,192","±141","417","±106","775","±112","2,018","±233","855","±142","1,163","±163","3,410","±306","1,790","±268","1,620","±239","3,009","±331","1,237","±233","1,772","±223"
"Less than 9th grade","8.6%","±5.1","14.1%","±11.9","5.7%","±4.1","1.3%","±2.5","0.2%","±0.5","2.1%","±4.4","1.8%","±1.6","1.6%","±2.2","2.0%","±2.3","1.3%","±1.3","0.0%","±3.0","2.1%","±2.3"
"9th to 12th grade, no diploma","17.8%","±7.3","10.1%","±8.1","21.9%","±10.1","1.7%","±2.4","0.4%","±0.7","2.7%","±4.1","4.3%","±2.6","5.0%","±3.7","3.5%","±2.8","1.1%","±1.3","0.0%","±3.0","1.8%","±2.2"
"High school graduate (includes equivalency)","32.1%","±9.2","18.9%","±12.7","39.2%","±11.0","8.5%","±5.8","10.6%","±9.6","7.0%","±5.8","20.8%","±7.5","25.5%","±11.1","15.5%","±6.2","4.9%","±2.9","1.8%","±2.4","7.1%","±4.8"
"Some college, no degree","17.2%","±7.1","12.5%","±7.6","19.7%","±9.7","12.2%","±4.5","3.9%","±3.8","18.4%","±7.0","13.7%","±5.2","12.1%","±7.4","15.4%","±6.8","13.3%","±5.8","14.1%","±7.6","12.7%","±6.6"
"Associate's degree","6.0%","±4.7","13.4%","±12.7","2.1%","±3.1","3.0%","±2.4","1.1%","±1.7","4.4%","±3.8","1.8%","±1.3","2.1%","±2.2","1.4%","±1.5","1.7%","±1.4","2.0%","±2.4","1.5%","±1.8"
"Bachelor's degree","8.4%","±5.1","18.2%","±12.5","3.1%","±2.8","27.1%","±6.4","24.2%","±10.0","29.2%","±8.5","33.1%","±6.2","28.9%","±8.0","37.8%","±9.8","27.7%","±6.0","36.5%","±10.1","21.5%","±6.9"
"Graduate or professional degree","9.8%","±5.9","12.7%","±10.1","8.3%","±6.2","46.2%","±7.6","59.6%","±9.6","36.3%","±9.7","24.6%","±5.5","24.7%","±8.6","24.4%","±8.9","50.1%","±6.9","45.5%","±9.8","53.3%","±8.2"
"Percent high school graduate or higher","73.6%","±9.5","75.8%","±13.1","72.4%","±10.8","97.0%","±3.7","99.4%","±0.9","95.3%","±6.4","93.9%","±3.0","93.4%","±4.2","94.5%","±3.4","97.7%","±2.1","100.0%","±3.0","96.0%","±3.4"
"Percent bachelor's degree or higher","18.2%","±7.5","30.9%","±15.7","11.4%","±6.7","73.3%","±9.4","83.9%","±8.8","65.5%","±12.0","57.7%","±7.3","53.6%","±11.3","62.2%","±6.9","77.8%","±5.8","82.1%","±8.5","74.8%","±7.9"
"Population 25 to 34 years","273","±114","117","±84","156","±69","529","±172","208","±101","321","±121","1,197","±236","599","±178","598","±164","481","±187","208","±148","273","±98"
"High school graduate or higher","92.3%","±8.2","82.1%","±21.4","100.0%","±21.2","100.0%","±6.8","100.0%","±16.4","100.0%","±11.0","96.7%","±3.4","93.5%","±6.4","100.0%","±6.1","100.0%","±7.5","100.0%","±16.4","100.0%","±12.8"
"Bachelor's degree or higher","33.3%","±17.8","46.2%","±21.8","23.7%","±21.5","87.1%","±14.5","67.3%","±29.8","100.0%","±11.0","80.2%","±10.7","67.9%","±19.7","92.5%","±8.0","90.9%","±9.5","88.5%","±17.0","92.7%","±11.5"
"Population 35 to 44 years","288","±85","85","±65","203","±95","385","±114","187","±87","198","±55","738","±229","399","±163","339","±133","452","±108","177","±72","275","±83"
"High school graduate or higher","79.2%","±20.3","70.6%","±38.7","82.8%","±22.3","91.9%","±13.1","100.0%","±18.1","84.3%","±23.5","90.1%","±9.1","85.5%","±15.5","95.6%","±5.4","100.0%","±8.0","100.0%","±19.0","100.0%","±12.7"
"Bachelor's degree or higher","19.1%","±17.9","36.5%","±39.8","11.8%","±20.1","66.0%","±15.3","95.2%","±8.0","38.4%","±25.5","54.2%","±17.0","46.9%","±20.9","62.8%","±24.8","86.5%","±10.2","85.9%","±15.9","86.9%","±15.2"
"Population 45 to 64 years","486","±124","171","±69","315","±107","622","±89","280","±84","342","±74","1,097","±225","639","±189","458","±83","1,231","±222","583","±152","648","±149"
"High school graduate or higher","67.9%","±13.1","82.5%","±16.4","60.0%","±16.3","95.7%","±8.4","98.9%","±2.1","93.0%","±15.1","94.3%","±4.6","96.6%","±4.5","91.0%","±8.7","98.6%","±2.1","100.0%","±6.2","97.4%","±3.8"
