"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","232","±125","(X)","(X)","69","±53","(X)","(X)","163","±99","(X)","(X)","241","±154","(X)","(X)","85","±75","(X)","(X)","156","±94","(X)","(X)"
"        Less than high school graduate","57","±56","24.6%","±18.9","21","±33","30.4%","±40.2","36","±45","22.1%","±25.6","71","±35","29.5%","±15.4","0","±12","0.0%","±32.4","71","±35","45.5%","±20.4"
"        High school graduate (includes equivalency)","79","±76","34.1%","±22.5","27","±31","39.1%","±38.6","52","±66","31.9%","±31.5","58","±68","24.1%","±17.4","0","±12","0.0%","±32.4","58","±68","37.2%","±26.9"
"        Some college or associate's degree","65","±60","28.0%","±25.0","0","±12","0.0%","±37.0","65","±60","39.9%","±30.9","59","±66","24.5%","±15.9","49","±65","57.6%","±41.2","10","±16","6.4%","±10.4"
"        Bachelor's degree or higher","31","±29","13.4%","±13.9","21","±26","30.4%","±35.0","10","±15","6.1%","±10.2","53","±43","22.0%","±19.9","36","±35","42.4%","±41.2","17","±19","10.9%","±13.7"
"    Population 25 years and over","1,889","±226","(X)","(X)","808","±180","(X)","(X)","1,081","±141","(X)","(X)","3,101","±311","(X)","(X)","1,609","±283","(X)","(X)","1,492","±195","(X)","(X)"
"        Less than 9th grade","124","±81","6.6%","±4.1","37","±31","4.6%","±3.9","87","±61","8.0%","±5.4","39","±50","1.3%","±1.6","0","±12","0.0%","±2.1","39","±50","2.6%","±3.4"
"        9th to 12th grade, no diploma","324","±98","17.2%","±5.4","93","±63","11.5%","±7.2","231","±84","21.4%","±7.4","207","±110","6.7%","±3.8","73","±60","4.5%","±3.7","134","±102","9.0%","±6.9"
"        High school graduate (includes equivalency)","469","±110","24.8%","±5.2","246","±85","30.4%","±9.3","223","±84","20.6%","±7.6","260","±163","8.4%","±5.0","151","±144","9.4%","±8.6","109","±71","7.3%","±4.6"
"        Some college, no degree","237","±91","12.5%","±5.0","20","±29","2.5%","±3.7","217","±87","20.1%","±8.4","264","±112","8.5%","±3.8","174","±114","10.8%","±7.0","90","±62","6.0%","±4.2"
"        Associate's degree","59","±47","3.1%","±2.6","18","±30","2.2%","±3.6","41","±37","3.8%","±3.4","178","±172","5.7%","±5.3","25","±50","1.6%","±3.1","153","±146","10.3%","±9.5"
"        Bachelor's degree","537","±178","28.4%","±7.6","311","±117","38.5%","±11.8","226","±114","20.9%","±9.1","1,053","±233","34.0%","±7.5","677","±209","42.1%","±12.0","376","±117","25.2%","±7.5"
"        Graduate or professional degree","139","±84","7.4%","±4.3","83","±82","10.3%","±9.2","56","±42","5.2%","±3.9","1,100","±241","35.5%","±6.8","509","±176","31.6%","±9.5","591","±169","39.6%","±9.7"
"        High school graduate or higher","1,441","±219","76.3%","±5.5","(X)","(X)","83.9%","±8.0","(X)","(X)","70.6%","±6.8","2,855","±365","92.1%","±4.0","(X)","(X)","95.5%","±3.7","(X)","(X)","88.4%","±7.3"
"        Bachelor's degree or higher","676","±197","35.8%","±7.9","(X)","(X)","48.8%","±12.5","(X)","(X)","26.1%","±8.6","2,153","±265","69.4%","±6.7","(X)","(X)","73.7%","±10.7","(X)","(X)","64.8%","±7.5"
"    Population 25 to 34 years","616","±166","(X)","(X)","271","±96","(X)","(X)","345","±125","(X)","(X)","1,042","±204","(X)","(X)","541","±186","(X)","(X)","501","±127","(X)","(X)"
"        High school graduate or higher","534","±154","86.7%","±10.8","249","±94","91.9%","±12.5","285","±109","82.6%","±15.3","1,042","±204","100.0%","±3.3","541","±186","100.0%","±6.3","501","±127","100.0%","±6.7"
"        Bachelor's degree or higher","328","±142","53.2%","±15.3","150","±72","55.4%","±19.5","178","±97","51.6%","±19.6","1,021","±203","98.0%","±3.1","520","±184","96.1%","±6.3","501","±127","100.0%","±6.7"
"    Population 35 to 44 years","365","±178","(X)","(X)","270","±161","(X)","(X)","95","±63","(X)","(X)","1,013","±335","(X)","(X)","480","±230","(X)","(X)","533","±177","(X)","(X)"
"        High school graduate or higher","288","±164","78.9%","±16.3","249","±159","92.2%","±12.8","39","±36","41.1%","±31.6","897","±335","88.5%","±8.0","426","±202","88.8%","±11.6","471","±193","88.4%","±11.4"
"        Bachelor's degree or higher","203","±147","55.6%","±22.8","181","±147","67.0%","±26.9","22","±24","23.2%","±26.5","581","±211","57.4%","±19.5","263","±144","54.8%","±26.7","318","±129","59.7%","±18.1"
"    Population 45 to 64 years","578","±108","(X)","(X)","180","±79","(X)","(X)","398","±78","(X)","(X)","738","±174","(X)","(X)","392","±152","(X)","(X)","346","±120","(X)","(X)"
"        High school graduate or higher","455","±104","78.7%","±9.2","134","±70","74.4%","±20.6","321","±83","80.7%","±11.3","628","±171","85.1%","±10.8","373","±153","95.2%","±8.6","255","±98","73.7%","±17.8"
"        Bachelor's degree or higher","122","±80","21.1%","±12.6","40","±37","22.2%","±19.9","82","±64","20.6%","±14.7","468","±166","63.4%","±14.6","320","±147","81.6%","±14.1","148","±84","42.8%","±20.1"
"    Population 65 years and over","330","±69","(X)","(X)","87","±50","(X)","(X)","243","±67","(X)","(X)","308","±148","(X)","(X)","196","±138","(X)","(X)","112","±73","(X)","(X)"
"        High school graduate or higher","164","±62","49.7%","±16.7","46","±36","52.9%","±30.7","118","±60","48.6%","±21.0","288","±150","93.5%","±12.4","196","±138","100.0%","±16.3","92","±67","82.1%","±29.4"
"        Bachelor's degree or higher","23","±29","7.0%","±8.5","23","±29","26.4%","±28.4","0","±12","0.0%","±13.4","83","±57","26.9%","±19.2","83","±57","42.3%","±34.7","0","±12","0.0%","±26.3"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","460","±146","(X)","(X)","262","±115","(X)","(X)","198","±79","(X)","(X)","1,415","±239","(X)","(X)","745","±186","(X)","(X)","670","±163","(X)","(X)"
"        High school graduate or higher","460","±146","100.0%","±7.3","262","±115","100.0%","±12.5","198","±79","100.0%","±16.1","1,395","±240","98.6%","±2.3","745","±186","100.0%","±4.6","650","±163","97.0%","±4.9"
"        Bachelor's degree or higher","443","±149","96.3%","±4.7","258","±116","98.5%","±3.1","185","±79","93.4%","±8.1","1,330","±232","94.0%","±4.1","713","±181","95.7%","±4.5","617","±158","92.1%","±7.0"
"    White alone, not Hispanic or Latino","414","±137","(X)","(X)","262","±115","(X)","(X)","152","±66","(X)","(X)","1,329","±233","(X)","(X)","707","±177","(X)","(X)","622","±155","(X)","(X)"
"        High school graduate or higher","414","±137","100.0%","±8.1","262","±115","100.0%","±12.5","152","±66","100.0%","±20.4","1,309","±235","98.5%","±2.4","707","±177","100.0%","±4.8","602","±155","96.8%","±5.3"
"        Bachelor's degree or higher","397","±140","95.9%","±5.3","258","±116","98.5%","±3.1","139","±67","91.4%","±10.6","1,244","±228","93.6%","±4.4","675","±173","95.5%","±4.7","569","±150","91.5%","±7.6"
"    Black alone","1,361","±212","(X)","(X)","498","±156","(X)","(X)","863","±124","(X)","(X)","1,314","±236","(X)","(X)","645","±239","(X)","(X)","669","±145","(X)","(X)"
"        High school graduate or higher","913","±184","67.1%","±7.1","368","±135","73.9%","±12.7","545","±102","63.2%","±8.0","1,088","±268","82.8%","±9.0","572","±226","88.7%","±9.3","516","±161","77.1%","±14.9"
"        Bachelor's degree or higher","233","±127","17.1%","±7.9","136","±102","27.3%","±17.4","97","±83","11.2%","±8.9","498","±171","37.9%","±11.2","301","±162","46.7%","±18.8","197","±95","29.4%","±12.4"
"    American Indian or Alaska Native alone","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)"
"        High school graduate or higher","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**"
"        Bachelor's degree or higher","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**","0","±12","-","**"
"    Asian alone","30","±44","(X)","(X)","30","±44","(X)","(X)","0","±12","(X)","(X)","153","±120","(X)","(X)","25","±50","(X)","(X)","128","±88","(X)","(X)"
"        High school graduate or higher","30","±44","100.0%","±56.2","30","±44","100.0%","±56.2","0","±12","-","**","153","±120","100.0%","±20.3","25","±50","100.0%","±61.6","128","±88","100.0%","±23.6"
"        Bachelor's degree or higher","0","±12","0.0%","±56.2","0","±12","0.0%","±56.2","0","±12","-","**","128","±88","83.7%","±24.4","0","±12","0.0%","±61.6","128","±88","100.0%","±23.6"
"    Native Hawaiian and Other Pacific Islander alone","0","±12","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)","37","±32","(X)","(X)","22","±34","(X)","(X)","15","±25","(X)","(X)"
"        High school graduate or higher","0","±12","-","**","0","±12","-","**","0","±12","-","**","37","±32","100.0%","±50.6","22","±34","100.0%","±65.6","15","±25","100.0%","±79.5"
"        Bachelor's degree or higher","0","±12","-","**","0","±12","-","**","0","±12","-","**","15","±25","40.5%","±59.5","0","±12","0.0%","±65.6","15","±25","100.0%","±79.5"
"    Some other race alone","20","±22","(X)","(X)","0","±12","(X)","(X)","20","±22","(X)","(X)","38","±41","(X)","(X)","28","±32","(X)","(X)","10","±24","(X)","(X)"
"        High school graduate or higher","20","±22","100.0%","±68.8","0","±12","-","**","20","±22","100.0%","±68.8","38","±41","100.0%","±49.9","28","±32","100.0%","±58.2","10","±24","100.0%","±97.3"
"        Bachelor's degree or higher","0","±12","0.0%","±68.8","0","±12","-","**","0","±12","0.0%","±68.8","38","±41","100.0%","±49.9","28","±32","100.0%","±58.2","10","±24","100.0%","±97.3"
"    Two or more races","18","±30","(X)","(X)","18","±30","(X)","(X)","0","±12","(X)","(X)","144","±121","(X)","(X)","144","±121","(X)","(X)","0","±12","(X)","(X)"
"        High school graduate or higher","18","±30","100.0%","±72.5","18","±30","100.0%","±72.5","0","±12","-","**","144","±121","100.0%","±21.4","144","±121","100.0%","±21.4","0","±12","-","**"
"        Bachelor's degree or higher","0","±12","0.0%","±72.5","0","±12","0.0%","±72.5","0","±12","-","**","144","±121","100.0%","±21.4","144","±121","100.0%","±21.4","0","±12","-","**"
"    Hispanic or Latino Origin","106","±51","(X)","(X)","0","±12","(X)","(X)","106","±51","(X)","(X)","190","±87","(X)","(X)","132","±77","(X)","(X)","58","±48","(X)","(X)"
"        High school graduate or higher","106","±51","100.0%","±27.5","0","±12","-","**","106","±51","100.0%","±27.5","168","±78","88.4%","±17.0","110","±60","83.3%","±22.3","58","±48","100.0%","±40.4"
"        Bachelor's degree or higher","46","±40","43.4%","±26.8","0","±12","-","**","46","±40","43.4%","±26.8","146","±74","76.8%","±23.5","88","±57","66.7%","±30.6","58","±48","100.0%","±40.4"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","64.7%","±13.6","(X)","(X)","79.2%","±21.6","(X)","(X)","58.8%","±17.6","(X)","(X)","62.2%","±26.2","(X)","(X)","0.0%","±35.8","(X)","(X)","88.4%","±17.3"
"    High school graduate (includes equivalency)","(X)","(X)","35.4%","±17.9","(X)","(X)","33.3%","±24.3","(X)","(X)","37.7%","±21.6","(X)","(X)","15.4%","±20.6","(X)","(X)","0.0%","±20.5","(X)","(X)","36.7%","±33.2"
"    Some college or associate's degree","(X)","(X)","26.0%","±15.5","(X)","(X)","0.0%","±49.9","(X)","(X)","29.8%","±17.5","(X)","(X)","23.8%","±24.9","(X)","(X)","42.2%","±37.7","(X)","(X)","8.6%","±16.6"
"    Bachelor's degree or higher","(X)","(X)","5.5%","±5.6","(X)","(X)","6.3%","±7.8","(X)","(X)","4.3%","±7.8","(X)","(X)","9.1%","±6.0","(X)","(X)","10.3%","±9.6","(X)","(X)","7.7%","±6.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","52,853","±12,654","(X)","(X)","49,200","±31,803","(X)","(X)","53,633","±12,170","(X)","(X)","72,117","±20,274","(X)","(X)","83,789","±25,728","(X)","(X)","68,045","±13,664","(X)","(X)"
"        Less than high school graduate","-","**","(X)","(X)","-","**","(X)","(X)","33,750","±31,810","(X)","(X)","23,839","±1,668","(X)","(X)","-","**","(X)","(X)","22,619","±14,579","(X)","(X)"
"        High school graduate (includes equivalency)","26,358","±2,994","(X)","(X)","27,209","±9,041","(X)","(X)","21,761","±8,886","(X)","(X)","26,584","±4,223","(X)","(X)","-","**","(X)","(X)","34,485","±24,963","(X)","(X)"
"        Some college or associate's degree","-","**","(X)","(X)","-","**","(X)","(X)","53,036","±50,313","(X)","(X)","48,882","±23,427","(X)","(X)","51,941","±21,804","(X)","(X)","-","**","(X)","(X)"
"        Bachelor's degree","59,659","±29,266","(X)","(X)","72,083","±36,781","(X)","(X)","57,955","±25,887","(X)","(X)","69,700","±23,554","(X)","(X)","70,598","±26,749","(X)","(X)","69,243","±29,546","(X)","(X)"
"        Graduate or professional degree","-","**","(X)","(X)","203,087","±177,757","(X)","(X)","95,217","±56,067","(X)","(X)","104,160","±15,057","(X)","(X)","117,181","±18,214","(X)","(X)","89,545","±21,282","(X)","(X)"
