"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Female!!Margin of Error"
"Population 18 to 24 years","243","±106","166","±106","77","±48","166","±69","52","±46","114","±57","372","±209","224","±175","148","±100","217","±129","160","±109","57","±56"
"Less than high school graduate","37.4%","±19.2","48.2%","±21.6","14.3%","±21.0","0.0%","±18.9","0.0%","±42.7","0.0%","±26.0","4.3%","±5.8","0.0%","±14.4","10.8%","±13.3","0.0%","±14.9","0.0%","±19.5","0.0%","±40.8"
"High school graduate (includes equivalency)","25.1%","±17.9","32.5%","±26.7","9.1%","±16.7","0.0%","±18.9","0.0%","±42.7","0.0%","±26.0","25.8%","±25.9","30.8%","±35.1","18.2%","±26.5","37.8%","±30.7","51.3%","±32.7","0.0%","±40.8"
"Some college or associate's degree","37.4%","±19.9","19.3%","±15.4","76.6%","±27.2","16.3%","±18.3","51.9%","±48.9","0.0%","±26.0","1.3%","±5.5","2.2%","±9.4","0.0%","±20.9","1.8%","±3.9","2.5%","±5.4","0.0%","±40.8"
"Bachelor's degree or higher","0.0%","±13.4","0.0%","±18.9","0.0%","±34.6","83.7%","±18.3","48.1%","±48.9","100.0%","±26.0","68.5%","±26.8","67.0%","±35.9","70.9%","±30.0","60.4%","±30.4","46.3%","±31.9","100.0%","±40.8"
"Population 25 years and over","1,282","±140","465","±94","817","±115","2,130","±247","896","±160","1,234","±169","2,909","±254","1,318","±202","1,591","±184","2,966","±394","1,398","±368","1,568","±246"
"    Less than 9th grade","5.4%","±4.1","12.7%","±10.5","1.2%","±1.5","3.0%","±2.9","0.0%","±3.8","5.2%","±4.9","2.8%","±2.1","0.2%","±0.4","5.0%","±4.0","1.0%","±1.2","0.0%","±2.5","2.0%","±2.3"
"    9th to 12th grade, no diploma","20.4%","±5.7","21.5%","±12.4","19.7%","±8.1","1.8%","±2.3","1.3%","±1.7","2.2%","±3.6","3.2%","±2.5","1.0%","±2.0","5.1%","±4.0","0.0%","±1.2","0.0%","±2.5","0.0%","±2.2"
"    High school graduate (includes equivalency)","30.4%","±6.2","24.5%","±10.3","33.8%","±8.2","6.4%","±3.7","11.6%","±6.6","2.6%","±2.4","12.2%","±4.6","14.1%","±8.7","10.6%","±5.0","3.9%","±2.4","0.2%","±0.6","7.2%","±4.2"
"    Some college, no degree","20.5%","±6.7","4.9%","±4.6","29.4%","±9.9","10.2%","±4.6","4.6%","±3.2","14.3%","±7.2","8.9%","±4.3","5.3%","±4.2","11.9%","±6.6","12.5%","±5.2","14.1%","±8.5","11.2%","±5.7"
"    Associate's degree","3.9%","±3.4","3.9%","±6.5","3.9%","±4.0","4.7%","±3.9","8.4%","±8.0","2.1%","±2.2","2.0%","±1.8","2.4%","±2.8","1.7%","±2.9","1.6%","±1.5","1.1%","±1.7","2.0%","±2.4"
"    Bachelor's degree","10.1%","±5.5","12.0%","±8.4","9.1%","±5.5","34.0%","±6.2","24.8%","±8.8","40.8%","±9.2","37.0%","±7.5","42.0%","±12.5","32.8%","±9.7","27.0%","±7.7","37.1%","±11.8","18.0%","±7.3"
"    Graduate or professional degree","9.3%","±5.7","20.4%","±12.0","2.9%","±3.3","39.8%","±5.7","49.3%","±9.5","32.8%","±9.1","33.8%","±6.6","35.0%","±9.7","32.9%","±8.2","53.9%","±7.8","47.5%","±10.8","59.6%","±9.8"
