"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Female!!Margin of Error"
"Population 18 to 24 years","230","±111","181","±106","49","±40","195","±83","62","±48","133","±70","458","±200","292","±172","166","±107","228","±116","170","±86","58","±54"
"Less than high school graduate","34.8%","±17.3","35.4%","±21.1","32.7%","±38.5","0.0%","±16.4","0.0%","±39.1","0.0%","±22.9","3.7%","±5.7","0.0%","±11.3","10.2%","±14.9","0.0%","±14.2","0.0%","±18.5","0.0%","±40.4"
"High school graduate (includes equivalency)","47.0%","±25.6","45.9%","±30.6","51.0%","±43.1","0.0%","±16.4","0.0%","±39.1","0.0%","±22.9","19.9%","±18.4","21.2%","±21.3","17.5%","±23.7","35.1%","±27.2","47.1%","±29.4","0.0%","±40.4"
"Some college or associate's degree","18.3%","±14.3","18.8%","±15.9","16.3%","±27.1","20.5%","±20.8","64.5%","±42.8","0.0%","±22.9","5.5%","±7.0","8.6%","±11.5","0.0%","±18.9","5.3%","±9.6","7.1%","±12.5","0.0%","±40.4"
"Bachelor's degree or higher","0.0%","±14.1","0.0%","±17.5","0.0%","±44.0","79.5%","±20.8","35.5%","±42.8","100.0%","±22.9","71.0%","±20.5","70.2%","±24.7","72.3%","±28.7","59.6%","±27.3","45.9%","±27.4","100.0%","±40.4"
"Population 25 years and over","1,364","±184","504","±139","860","±125","2,169","±203","910","±153","1,259","±136","3,091","±316","1,458","±251","1,633","±199","2,981","±393","1,364","±334","1,617","±211"
"    Less than 9th grade","4.6%","±3.3","10.5%","±8.8","1.2%","±1.3","2.7%","±2.7","0.0%","±3.8","4.7%","±4.6","1.5%","±1.6","0.3%","±0.5","2.5%","±3.0","1.1%","±1.3","0.0%","±2.5","2.0%","±2.5"
"    9th to 12th grade, no diploma","22.1%","±7.3","15.5%","±10.5","26.0%","±9.0","1.6%","±2.0","1.2%","±1.8","1.9%","±3.1","3.1%","±2.3","1.9%","±2.3","4.2%","±3.8","0.0%","±1.2","0.0%","±2.5","0.0%","±2.1"
"    High school graduate (includes equivalency)","32.3%","±7.0","18.7%","±9.0","40.3%","±9.0","7.8%","±4.2","12.4%","±6.8","4.5%","±3.0","15.4%","±5.8","18.4%","±9.9","12.8%","±4.6","4.8%","±2.8","1.5%","±2.0","7.5%","±4.9"
"    Some college, no degree","16.8%","±6.4","11.3%","±6.3","20.0%","±9.1","9.9%","±4.0","3.1%","±2.6","14.9%","±7.1","11.2%","±4.1","6.3%","±4.4","15.6%","±6.6","14.4%","±5.2","15.0%","±7.6","13.9%","±5.9"
"    Associate's degree","5.3%","±4.3","11.3%","±9.9","1.7%","±2.8","3.2%","±2.4","3.5%","±3.9","3.0%","±2.6","1.7%","±1.6","2.9%","±3.1","0.7%","±1.1","1.1%","±1.1","0.8%","±1.3","1.4%","±1.6"
"    Bachelor's degree","8.5%","±5.0","17.7%","±12.1","3.1%","±2.6","29.7%","±6.2","22.4%","±8.3","34.9%","±9.0","37.7%","±7.3","41.2%","±11.9","34.5%","±9.0","28.2%","±7.2","36.7%","±12.0","21.0%","±6.7"
"    Graduate or professional degree","10.3%","±5.6","15.1%","±10.3","7.6%","±5.8","45.0%","±8.1","57.4%","±10.2","36.1%","±10.5","29.4%","±6.3","29.1%","±9.2","29.8%","±9.0","50.5%","±7.3","46.0%","±10.2","54.2%","±8.2"
"Percent high school graduate or higher","73.2%","±7.6","74.0%","±12.6","72.8%","±9.3","95.7%","±3.0","98.8%","±1.8","93.4%","±5.5","95.4%","±2.8","97.9%","±2.4","93.3%","±4.7","98.9%","±1.3","100.0%","±2.5","98.0%","±2.5"
"Percent bachelor's degree or higher","18.8%","±6.9","32.7%","±12.0","10.7%","±6.2","74.7%","±6.4","79.8%","±7.8","71.0%","±8.0","67.1%","±6.9","70.3%","±10.5","64.2%","±7.9","78.6%","±5.9","82.7%","±8.1","75.2%","±7.5"
"Population 25 to 34 years","336","±123","156","±83","180","±72","593","±136","204","±93","389","±117","1,190","±282","456","±189","734","±210","504","±249","271","±233","233","±94"
"    High school graduate or higher","81.8%","±11.8","66.7%","±28.1","95.0%","±7.5","98.5%","±2.8","95.6%","±8.5","100.0%","±8.6","97.6%","±3.0","98.0%","±4.2","97.4%","±4.3","100.0%","±6.7","100.0%","±12.1","100.0%","±13.9"
"    Bachelor's degree or higher","31.5%","±17.9","41.7%","±23.4","22.8%","±20.3","84.3%","±10.2","59.3%","±23.0","97.4%","±4.7","86.1%","±7.5","87.5%","±15.8","85.3%","±8.0","99.0%","±2.4","98.2%","±5.0","100.0%","±13.9"
"Population 35 to 44 years","296","±101","98","±79","198","±82","409","±116","196","±72","213","±73","557","±165","357","±130","200","±103","392","±126","154","±94","238","±79"
