"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent Female!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Male!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Male!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Female!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","168","±78","(X)","(X)","88","±57","(X)","(X)","80","±62","(X)","(X)","151","±112","(X)","(X)","40","±31","(X)","(X)","111","±104","(X)","(X)","104","±39","(X)","(X)","51","±28","(X)","(X)","53","±34","(X)","(X)","277","±136","(X)","(X)","155","±86","(X)","(X)","122","±91","(X)","(X)","35","±50","(X)","(X)","0","±14","(X)","(X)","35","±50","(X)","(X)","52","±38","(X)","(X)","33","±24","(X)","(X)","19","±31","(X)","(X)"
"        Less than high school graduate","16","±26","9.5%","±14.5","16","±26","18.2%","±28.6","0","±14","0.0%","±39.0","1","±3","0.7%","±2.3","1","±3","2.5%","±8.2","0","±14","0.0%","±32.0","0","±14","0.0%","±33.5","0","±14","0.0%","±48.9","0","±14","0.0%","±47.9","74","±60","26.7%","±19.6","55","±53","35.5%","±28.7","19","±32","15.6%","±24.6","0","±14","0.0%","±59.0","0","±14","-","**","0","±14","0.0%","±59.0","0","±14","0.0%","±48.4","0","±14","0.0%","±60.7","0","±14","0.0%","±80.1"
"        High school graduate (includes equivalency)","106","±65","63.1%","±26.3","55","±50","62.5%","±35.1","51","±46","63.8%","±30.6","0","±14","0.0%","±25.3","0","±14","0.0%","±55.2","0","±14","0.0%","±32.0","10","±18","9.6%","±15.6","10","±18","19.6%","±30.2","0","±14","0.0%","±47.9","91","±68","32.9%","±19.0","46","±51","29.7%","±29.5","45","±51","36.9%","±33.6","18","±37","51.4%","±51.4","0","±14","-","**","18","±37","51.4%","±51.4","27","±24","51.9%","±44.1","27","±24","81.8%","±33.7","0","±14","0.0%","±80.1"
"        Some college or associate's degree","17","±26","10.1%","±14.8","0","±14","0.0%","±37.1","17","±26","21.3%","±30.3","0","±14","0.0%","±25.3","0","±14","0.0%","±55.2","0","±14","0.0%","±32.0","32","±42","30.8%","±38.3","15","±20","29.4%","±40.5","17","±22","32.1%","±46.3","27","±39","9.7%","±11.8","20","±35","12.9%","±20.2","7","±13","5.7%","±12.5","0","±14","0.0%","±59.0","0","±14","-","**","0","±14","0.0%","±59.0","6","±11","11.5%","±25.6","6","±11","18.2%","±33.7","0","±14","0.0%","±80.1"
"        Bachelor's degree or higher","29","±30","17.3%","±17.5","17","±21","19.3%","±24.0","12","±20","15.0%","±22.4","150","±112","99.3%","±2.3","39","±31","97.5%","±8.2","111","±104","100.0%","±32.0","62","±40","59.6%","±37.8","26","±24","51.0%","±42.3","36","±35","67.9%","±46.3","85","±77","30.7%","±22.5","34","±36","21.9%","±21.5","51","±65","41.8%","±36.3","17","±31","48.6%","±51.4","0","±14","-","**","17","±31","48.6%","±51.4","19","±31","36.5%","±44.3","0","±14","0.0%","±60.7","19","±31","100.0%","±80.1"
"    Population 25 years and over","1,784","±255","(X)","(X)","816","±181","(X)","(X)","968","±210","(X)","(X)","2,160","±257","(X)","(X)","1,262","±256","(X)","(X)","898","±199","(X)","(X)","1,619","±284","(X)","(X)","735","±142","(X)","(X)","884","±259","(X)","(X)","3,377","±491","(X)","(X)","1,598","±297","(X)","(X)","1,779","±295","(X)","(X)","2,285","±494","(X)","(X)","1,069","±309","(X)","(X)","1,216","±321","(X)","(X)","1,427","±179","(X)","(X)","624","±145","(X)","(X)","803","±120","(X)","(X)"
"        Less than 9th grade","157","±89","8.8%","±5.0","29","±32","3.6%","±3.9","128","±82","13.2%","±8.2","1","±3","0.0%","±0.2","0","±14","0.0%","±3.5","1","±3","0.1%","±0.4","78","±70","4.8%","±4.4","25","±25","3.4%","±3.5","53","±51","6.0%","±5.8","123","±113","3.6%","±3.3","35","±50","2.2%","±3.1","88","±70","4.9%","±3.8","0","±14","0.0%","±1.9","0","±14","0.0%","±4.1","0","±14","0.0%","±3.6","0","±14","0.0%","±3.1","0","±14","0.0%","±7.0","0","±14","0.0%","±5.4"
"        9th to 12th grade, no diploma","363","±126","20.3%","±6.5","147","±103","18.0%","±12.0","216","±94","22.3%","±9.0","20","±30","0.9%","±1.4","0","±14","0.0%","±3.5","20","±30","2.2%","±3.3","0","±14","0.0%","±2.7","0","±14","0.0%","±5.9","0","±14","0.0%","±5.0","174","±106","5.2%","±3.3","76","±63","4.8%","±4.1","98","±63","5.5%","±3.8","141","±103","6.2%","±5.0","25","±37","2.3%","±3.7","116","±102","9.5%","±8.8","18","±27","1.3%","±1.9","0","±14","0.0%","±7.0","18","±27","2.2%","±3.4"
"        High school graduate (includes equivalency)","316","±111","17.7%","±5.7","125","±80","15.3%","±9.0","191","±90","19.7%","±8.1","9","±15","0.4%","±0.7","9","±15","0.7%","±1.2","0","±14","0.0%","±4.9","45","±44","2.8%","±2.7","34","±41","4.6%","±5.3","11","±15","1.2%","±1.8","257","±98","7.6%","±3.3","73","±63","4.6%","±3.9","184","±89","10.3%","±5.7","317","±338","13.9%","±13.2","194","±217","18.1%","±18.7","123","±136","10.1%","±10.1","104","±77","7.3%","±5.3","25","±30","4.0%","±4.6","79","±70","9.8%","±8.3"
