"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate"
"Total population","2,602","1,439","1,026","29","2,297","423","1,510","72","1,707","105","1,304","47","3,927","1,156","2,172","93","2,345","329","1,819","73","1,760","312","1,193","15"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","13.1%","10.5%","18.6%","0.0%","0.0%","0.0%","0.0%","0.0%","11.7%","0.0%","14.4%","0.0%","7.2%","22.1%","0.1%","28.0%","0.7%","4.9%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"        5 to 17 years","13.9%","25.1%","0.0%","0.0%","6.1%","32.9%","0.0%","0.0%","4.2%","14.3%","3.1%","0.0%","2.3%","5.4%","1.3%","0.0%","0.8%","0.0%","1.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"        18 to 24 years","4.2%","5.5%","2.9%","0.0%","7.9%","0.0%","9.1%","11.1%","6.3%","6.7%","7.7%","0.0%","5.1%","12.6%","2.5%","2.2%","1.2%","4.3%","0.8%","0.0%","3.5%","7.7%","3.1%","0.0%"
"        25 to 44 years","38.7%","24.6%","58.3%","0.0%","59.4%","46.8%","60.7%","88.9%","39.1%","35.2%","40.3%","80.9%","56.9%","27.9%","68.5%","65.6%","47.8%","28.9%","54.5%","23.3%","34.5%","17.3%","33.1%","0.0%"
"        45 to 54 years","9.2%","9.0%","8.5%","0.0%","4.6%","0.0%","5.0%","0.0%","5.7%","21.0%","4.1%","14.9%","13.4%","11.6%","14.5%","4.3%","13.6%","3.0%","15.7%","32.9%","15.5%","34.3%","10.2%","100.0%"
"        55 to 64 years","9.0%","11.4%","3.8%","55.2%","9.0%","4.3%","10.9%","0.0%","8.6%","0.0%","8.4%","0.0%","7.6%","13.3%","6.0%","0.0%","20.9%","29.8%","18.9%","0.0%","14.8%","18.6%","15.7%","0.0%"
"        65 to 74 years","7.8%","10.8%","3.2%","44.8%","4.2%","4.0%","4.2%","0.0%","12.9%","14.3%","15.0%","4.3%","4.6%","5.3%","2.9%","0.0%","7.5%","8.8%","5.8%","43.8%","18.4%","10.3%","24.5%","0.0%"
"        75 years and over","4.2%","3.1%","4.7%","0.0%","8.8%","12.1%","10.1%","0.0%","11.5%","8.6%","6.9%","0.0%","2.9%","1.8%","4.2%","0.0%","7.5%","20.4%","3.3%","0.0%","13.4%","11.9%","13.4%","0.0%"
"        Median age (years)","31.7","31.5","31.4","-","34.5","29.4","35.3","37.8","35.9","43.6","31.4","28.8","35.2","30.3","35.4","27.4","44.4","57.7","37.8","51.8","51.5","50.4","56.8","-"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","51.7%","41.8%","61.0%","100.0%","54.9%","70.7%","54.4%","76.4%","37.4%","41.0%","39.9%","36.2%","51.3%","44.2%","56.8%","95.7%","44.1%","54.1%","41.1%","100.0%","40.6%","29.2%","38.1%","0.0%"
"        Female","48.3%","58.2%","39.0%","0.0%","45.1%","29.3%","45.6%","23.6%","62.6%","59.0%","60.1%","63.8%","48.7%","55.8%","43.2%","4.3%","55.9%","45.9%","58.9%","0.0%","59.4%","70.8%","61.9%","100.0%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race","98.1%","98.5%","97.2%","100.0%","89.4%","73.0%","94.3%","66.7%","97.8%","79.0%","98.8%","100.0%","93.1%","91.4%","94.3%","47.3%","95.4%","86.0%","96.6%","100.0%","94.3%","82.1%","96.3%","100.0%"
"            White","19.0%","3.9%","41.1%","55.2%","58.9%","18.4%","78.5%","12.5%","60.0%","41.9%","60.0%","95.7%","58.1%","21.7%","77.2%","47.3%","61.6%","8.2%","71.8%","56.2%","70.9%","52.6%","78.5%","100.0%"
"            Black or African American","77.0%","92.5%","56.0%","44.8%","20.2%","52.0%","12.7%","0.0%","30.6%","37.1%","34.4%","4.3%","29.6%","68.1%","13.5%","0.0%","32.6%","77.8%","24.2%","43.8%","19.4%","29.5%","16.6%","0.0%"
"            American Indian and Alaska Native","0.0%","0.0%","0.0%","0.0%","0.9%","2.6%","0.7%","0.0%","2.5%","0.0%","3.2%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"            Asian","1.7%","1.5%","0.0%","0.0%","7.8%","0.0%","2.4%","54.2%","4.0%","0.0%","1.2%","0.0%","3.5%","1.6%","1.3%","0.0%","1.2%","0.0%","0.7%","0.0%","2.3%","0.0%","0.0%","0.0%"
"            Native Hawaiian and Other Pacific Islander","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.2%","0.0%","0.4%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"            Some other race","0.4%","0.7%","0.0%","0.0%","1.7%","0.0%","0.0%","0.0%","0.8%","0.0%","0.0%","0.0%","1.6%","0.0%","2.0%","0.0%","0.0%","0.0%","0.0%","0.0%","1.8%","0.0%","1.2%","0.0%"
"        Two or more races","1.9%","1.5%","2.8%","0.0%","10.6%","27.0%","5.7%","33.3%","2.2%","21.0%","1.2%","0.0%","6.9%","8.6%","5.7%","52.7%","4.6%","14.0%","3.4%","0.0%","5.7%","17.9%","3.7%","0.0%"
"        Hispanic or Latino origin (of any race)","1.4%","0.7%","2.6%","0.0%","13.9%","43.7%","5.0%","0.0%","5.9%","0.0%","3.9%","21.3%","8.7%","7.3%","8.5%","4.3%","14.8%","0.0%","17.8%","32.9%","4.8%","0.0%","1.7%","0.0%"
"        White alone, not Hispanic or Latino","17.9%","3.9%","38.5%","55.2%","53.7%","4.3%","74.6%","12.5%","54.8%","41.9%","56.1%","74.5%","54.6%","21.2%","73.6%","43.0%","46.8%","8.2%","54.0%","23.3%","68.0%","52.6%","78.3%","100.0%"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 5 years and over","2,260","1,288","835","29","2,297","423","1,510","72","1,508","105","1,116","47","3,643","900","2,170","67","2,329","313","1,819","73","1,760","312","1,193","15"
"        Speak language other than English","6.5%","3.0%","5.7%","0.0%","12.1%","0.0%","5.6%","33.3%","14.1%","0.0%","3.1%","21.3%","18.1%","10.6%","10.8%","0.0%","17.8%","0.0%","17.9%","32.9%","6.4%","0.0%","1.4%","0.0%"
"            Speak English  ""very well""","3.3%","2.0%","5.7%","0.0%","8.5%","0.0%","4.3%","33.3%","12.9%","0.0%","2.2%","21.3%","16.1%","10.6%","9.1%","0.0%","10.8%","0.0%","9.0%","32.9%","6.4%","0.0%","1.4%","0.0%"
"            Speak English less than ""very well""","3.3%","1.0%","0.0%","0.0%","3.6%","0.0%","1.3%","0.0%","1.2%","0.0%","0.9%","0.0%","2.0%","0.0%","1.7%","0.0%","7.0%","0.0%","8.9%","0.0%","0.0%","0.0%","0.0%","0.0%"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","1,943","971","835","29","2,158","284","1,510","72","1,460","98","1,075","47","3,582","867","2,142","67","2,329","313","1,819","73","1,760","312","1,193","15"
"        Never married","67.8%","68.8%","69.8%","0.0%","65.0%","67.6%","67.5%","87.5%","65.1%","72.4%","62.2%","85.1%","60.8%","87.9%","54.2%","94.0%","54.5%","62.9%","57.7%","0.0%","46.6%","48.7%","45.4%","0.0%"
"        Now married, except separated","13.5%","11.8%","16.2%","44.8%","26.1%","14.4%","24.6%","12.5%","21.6%","27.6%","24.7%","14.9%","31.9%","0.0%","41.4%","6.0%","32.2%","23.3%","30.8%","100.0%","34.2%","28.8%","36.6%","100.0%"
"        Divorced or separated","12.2%","10.3%","11.7%","55.2%","6.6%","0.0%","7.8%","0.0%","11.1%","0.0%","10.2%","0.0%","7.0%","12.1%","4.4%","0.0%","10.3%","13.7%","7.8%","0.0%","15.9%","16.3%","16.3%","0.0%"
"        Widowed","6.4%","9.1%","2.3%","0.0%","2.4%","18.0%","0.0%","0.0%","2.2%","0.0%","2.8%","0.0%","0.4%","0.0%","0.0%","0.0%","3.0%","0.0%","3.8%","0.0%","3.3%","6.1%","1.7%","0.0%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","1,790","848","805","29","1,976","284","1,372","64","1,330","83","975","47","3,351","692","2,088","65","2,281","299","1,785","73","1,699","288","1,156","15"
"        Less than high school graduate","25.9%","37.5%","13.0%","0.0%","0.9%","6.0%","0.0%","0.0%","2.6%","30.1%","0.0%","21.3%","8.9%","40.3%","0.0%","0.0%","5.8%","29.4%","2.5%","0.0%","1.1%","0.0%","0.0%","0.0%"
"        High school graduate (includes equivalency)","23.4%","36.9%","11.6%","0.0%","0.5%","0.0%","0.0%","0.0%","3.1%","0.0%","3.2%","4.3%","5.9%","21.5%","1.7%","0.0%","11.6%","28.1%","10.1%","0.0%","8.6%","20.8%","6.0%","0.0%"
"        Some college or associate's degree","12.3%","17.0%","9.6%","0.0%","14.0%","34.5%","9.5%","48.4%","18.1%","0.0%","20.9%","59.6%","11.3%","27.0%","6.8%","0.0%","8.4%","20.4%","6.8%","0.0%","13.5%","24.0%","12.2%","0.0%"
"        Bachelor's degree","27.4%","6.4%","45.6%","55.2%","40.3%","51.8%","38.9%","51.6%","33.5%","28.9%","28.0%","14.9%","32.7%","9.4%","39.6%","93.8%","33.8%","6.7%","38.0%","43.8%","25.6%","19.8%","30.4%","0.0%"
