"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate"
"Total population","1,986","1,366","495","22","3,427","579","2,198","128"
"AGE","","","","","","","",""
"    Under 5 years","4.1%","6.0%","0.0%","0.0%","1.9%","7.4%","1.0%","0.0%"
"    5 to 17 years","19.1%","24.1%","8.5%","0.0%","2.4%","12.1%","0.5%","0.0%"
"    18 to 24 years","12.2%","13.1%","10.7%","0.0%","10.9%","20.2%","11.1%","0.0%"
"    25 to 44 years","27.6%","22.3%","39.4%","0.0%","50.5%","32.1%","49.4%","100.0%"
"    45 to 54 years","13.9%","14.4%","13.7%","0.0%","10.6%","12.1%","10.1%","0.0%"
"    55 to 64 years","13.2%","15.3%","8.1%","36.4%","13.3%","11.6%","15.7%","0.0%"
"    65 to 74 years","4.5%","1.2%","11.5%","0.0%","7.1%","3.3%","7.1%","0.0%"
"    75 years and over","5.2%","3.7%","8.1%","63.6%","3.5%","1.2%","5.1%","0.0%"
"Median age (years)","33.1","31.4","33.5","-","36.0","36.9","35.8","30.5"
"SEX","","","","","","","",""
"    Male","44.0%","41.4%","46.9%","0.0%","47.3%","52.8%","48.4%","10.9%"
"    Female","56.0%","58.6%","53.1%","100.0%","52.7%","47.2%","51.6%","89.1%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    One race","100.0%","100.0%","100.0%","100.0%","97.9%","99.1%","98.0%","89.1%"
"        White","5.2%","0.0%","20.8%","0.0%","47.6%","11.9%","61.0%","49.2%"
"        Black or African American","90.8%","99.3%","77.6%","100.0%","41.3%","86.2%","29.5%","39.8%"
"        American Indian and Alaska Native","0.5%","0.7%","0.0%","0.0%","1.0%","0.0%","1.6%","0.0%"
"        Asian","2.7%","0.0%","0.0%","0.0%","6.5%","0.0%","5.9%","0.0%"
"        Native Hawaiian and Other Pacific Islander","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"        Some other race","0.8%","0.0%","1.6%","0.0%","1.4%","1.0%","0.0%","0.0%"
"    Two or more races","0.0%","0.0%","0.0%","0.0%","2.1%","0.9%","2.0%","10.9%"
"Hispanic or Latino origin (of any race)","3.0%","0.2%","7.1%","63.6%","5.6%","1.9%","4.2%","21.1%"
"White alone, not Hispanic or Latino","4.1%","0.0%","16.4%","0.0%","45.8%","11.9%","59.4%","28.1%"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"    Population 5 years and over","1,904","1,284","495","22","3,362","536","2,176","128"
"        Speak language other than English","5.9%","0.0%","1.6%","63.6%","19.8%","0.9%","10.4%","34.4%"
"            Speak English ""very well""","3.1%","0.0%","1.6%","63.6%","18.0%","0.9%","10.4%","13.3%"
"            Speak English less than ""very well""","2.8%","0.0%","0.0%","0.0%","1.8%","0.0%","0.0%","21.1%"
"MARITAL STATUS","","","","","","","",""
"    Population 15 years and over","1,611","1,033","453","22","3,312","486","2,176","128"
"        Never married","64.3%","76.4%","41.1%","36.4%","62.1%","77.6%","67.6%","60.9%"
"        Now married, except separated","16.6%","6.4%","34.7%","0.0%","28.1%","14.6%","22.4%","39.1%"
"        Divorced or separated","12.2%","10.5%","18.3%","0.0%","8.0%","5.1%","8.0%","0.0%"
