"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born in state of residence!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born in other state in the U.S.!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Native; born outside U.S.!!Estimate"
"Total population","2,455","1,532","749","60","3,520","716","2,118","126"
"AGE","","","","","","","",""
"    Under 5 years","6.4%","8.7%","3.2%","0.0%","4.2%","18.6%","0.8%","0.0%"
"    5 to 17 years","15.9%","20.3%","9.7%","0.0%","5.2%","20.7%","1.6%","0.0%"
"    18 to 24 years","12.9%","16.1%","7.7%","0.0%","8.1%","11.9%","8.9%","0.0%"
"    25 to 44 years","30.1%","25.8%","37.9%","36.7%","50.7%","23.5%","51.5%","100.0%"
"    45 to 54 years","12.0%","6.9%","20.4%","0.0%","11.7%","3.9%","13.3%","0.0%"
"    55 to 64 years","12.2%","14.1%","4.4%","55.0%","10.5%","6.3%","15.3%","0.0%"
"    65 to 74 years","6.6%","5.6%","9.3%","0.0%","4.4%","6.6%","2.9%","0.0%"
"    75 years and over","4.0%","2.6%","7.2%","8.3%","5.2%","8.7%","5.7%","0.0%"
"Median age (years)","31.1","27.6","34.0","62.4","35.7","22.8","36.3","32.6"
"SEX","","","","","","","",""
"    Male","41.5%","41.6%","41.3%","0.0%","50.7%","45.8%","54.6%","48.4%"
"    Female","58.5%","58.4%","58.7%","100.0%","49.3%","54.2%","45.4%","51.6%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    One race","99.4%","100.0%","98.0%","100.0%","96.3%","96.8%","97.4%","90.5%"
"        White","11.1%","2.0%","30.0%","0.0%","45.1%","18.0%","60.0%","40.5%"
"        Black or African American","85.6%","97.4%","67.3%","100.0%","39.4%","71.4%","29.4%","41.3%"
"        American Indian and Alaska Native","0.4%","0.6%","0.0%","0.0%","0.6%","0.0%","1.0%","0.0%"
"        Asian","1.8%","0.0%","0.0%","0.0%","8.9%","7.4%","5.9%","0.0%"
"        Native Hawaiian and Other Pacific Islander","0.0%","0.0%","0.0%","0.0%","0.6%","0.0%","0.0%","0.0%"
"        Some other race","0.6%","0.0%","0.7%","0.0%","1.6%","0.0%","1.0%","8.7%"
"    Two or more races","0.6%","0.0%","2.0%","0.0%","3.8%","3.2%","2.6%","9.5%"
"Hispanic or Latino origin (of any race)","4.2%","0.5%","6.9%","40.0%","6.4%","3.2%","3.4%","36.5%"
"White alone, not Hispanic or Latino","9.2%","2.0%","25.2%","0.0%","43.5%","18.0%","58.4%","21.4%"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"    Population 5 years and over","2,298","1,399","725","60","3,371","583","2,102","126"
"        Speak language other than English","6.0%","0.0%","5.8%","8.3%","22.7%","7.0%","11.5%","19.0%"
"            Speak English ""very well""","4.0%","0.0%","5.8%","8.3%","20.2%","7.0%","10.7%","0.0%"
"            Speak English less than ""very well""","2.0%","0.0%","0.0%","0.0%","2.4%","0.0%","0.8%","19.0%"
"MARITAL STATUS","","","","","","","",""
"    Population 15 years and over","1,988","1,162","652","60","3,263","497","2,080","126"
"        Never married","66.4%","72.0%","57.2%","91.7%","57.9%","81.9%","61.1%","55.6%"
"        Now married, except separated","16.5%","10.8%","24.7%","0.0%","32.4%","4.2%","29.5%","27.0%"
