"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","1,986","±255","933","±248","47.0%","±10.3","3,427","±301","326","±106","9.5%","±3.1"
"AGE","","","","","","","","","","","",""
"    Under 18 years","461","±178","257","±167","55.7%","±24.2","146","±98","11","±19","7.5%","±12.4"
"        Related children under 18 years","461","±178","257","±167","55.7%","±24.2","146","±98","11","±19","7.5%","±12.4"
"    18 to 64 years","1,331","±204","614","±171","46.1%","±9.7","2,919","±301","308","±97","10.6%","±3.5"
"    65 years and over","194","±76","62","±39","32.0%","±20.5","362","±137","7","±13","1.9%","±3.8"
"SEX","","","","","","","","","","","",""
"    Male","873","±158","444","±141","50.9%","±13.1","1,621","±247","72","±56","4.4%","±3.3"
"    Female","1,113","±184","489","±155","43.9%","±10.9","1,806","±216","254","±99","14.1%","±5.5"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","",""
"    One race","1,986","±255","933","±248","47.0%","±10.3","3,355","±289","326","±106","9.7%","±3.2"
"        White","103","±79","0","±12","0.0%","±28.1","1,632","±283","40","±38","2.5%","±2.2"
"        Black or African American","1,804","±252","898","±245","49.8%","±11.2","1,415","±331","286","±99","20.2%","±7.9"
"        American Indian and Alaska Native","10","±16","10","±16","100.0%","±97.3","35","±37","0","±12","0.0%","±52.0"
"        Asian","54","±62","25","±44","46.3%","±34.6","224","±145","0","±12","0.0%","±14.4"
"        Native Hawaiian and Other Pacific Islander","0","±12","0","±12","-","**","0","±12","0","±12","-","**"
"        Some other race","15","±24","0","±12","0.0%","±79.5","49","±57","0","±12","0.0%","±44.0"
"    Two or more races","0","±12","0","±12","-","**","72","±77","0","±12","0.0%","±36.1"
"Hispanic or Latino origin (of any race)","59","±47","0","±12","0.0%","±40.1","193","±103","14","±22","7.3%","±11.8"
"White alone, not Hispanic or Latino","81","±57","0","±12","0.0%","±33.5","1,571","±276","40","±38","2.5%","±2.3"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 25 years and over","1,282","±140","557","±130","43.4%","±9.0","2,909","±254","259","±91","8.9%","±3.2"
"        Less than high school graduate","330","±88","150","±71","45.5%","±18.2","176","±94","134","±78","76.1%","±23.2"
"        High school graduate (includes equivalency)","390","±87","218","±72","55.9%","±12.6","355","±143","90","±80","25.4%","±23.2"
"        Some college, associate's degree","313","±90","122","±54","39.0%","±16.2","318","±125","0","±12","0.0%","±10.4"
"        Bachelor's degree or higher","249","±107","67","±49","26.9%","±19.7","2,060","±240","35","±40","1.7%","±1.9"
"EMPLOYMENT STATUS","","","","","","","","","","","",""
"    Civilian labor force 16 years and over","715","±130","197","±74","27.6%","±9.4","2,657","±291","96","±65","3.6%","±2.5"
"        Employed","581","±132","103","±52","17.7%","±9.0","2,449","±285","21","±30","0.9%","±1.2"
"            Male","219","±76","12","±16","5.5%","±7.0","1,238","±229","0","±12","0.0%","±2.8"
"            Female","362","±94","91","±52","25.1%","±13.4","1,211","±210","21","±30","1.7%","±2.4"
"        Unemployed","134","±67","94","±57","70.1%","±30.1","208","±94","75","±57","36.1%","±24.6"
"            Male","61","±46","61","±46","100.0%","±39.4","81","±67","30","±34","37.0%","±39.2"
"            Female","73","±51","33","±30","45.2%","±41.0","127","±72","45","±43","35.4%","±29.7"
"WORK EXPERIENCE","","","","","","","","","","","",""
"    Population 16 years and over","1,558","±200","709","±187","45.5%","±9.7","3,300","±270","323","±103","9.8%","±3.2"
"        Worked full-time, year-round in the past 12 months","481","±110","6","±12","1.2%","±2.5","2,039","±214","0","±12","0.0%","±1.7"
"        Worked part-time or part-year in the past 12 months","278","±90","161","±68","57.9%","±18.5","535","±200","43","±40","8.0%","±7.8"
"        Did not work","799","±148","542","±167","67.8%","±13.1","726","±178","280","±108","38.6%","±13.8"
"All Individuals below:","","","","","","","","","","","",""
"    50 percent of poverty level","269","±122","(X)","(X)","(X)","(X)","231","±84","(X)","(X)","(X)","(X)"
"    125 percent of poverty level","977","±256","(X)","(X)","(X)","(X)","392","±114","(X)","(X)","(X)","(X)"
