"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","1,821","±234","617","±213","33.9%","±10.8","4,178","±419","493","±241","11.8%","±5.5"
"AGE","","","","","","","","","","","",""
"    Under 18 years","491","±138","231","±131","47.0%","±23.3","273","±192","65","±56","23.8%","±26.7"
"        Related children under 18 years","491","±138","231","±131","47.0%","±23.3","273","±192","65","±56","23.8%","±26.7"
"    18 to 64 years","1,185","±166","341","±118","28.8%","±9.5","3,527","±364","393","±211","11.1%","±5.7"
"    65 years and over","145","±56","45","±32","31.0%","±21.9","378","±108","35","±49","9.3%","±12.0"
"SEX","","","","","","","","","","","",""
"    Male","806","±166","224","±121","27.8%","±13.8","2,194","±328","284","±165","12.9%","±7.1"
"    Female","1,015","±163","393","±136","38.7%","±12.5","1,984","±247","209","±126","10.5%","±6.2"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","",""
"    One race","1,821","±234","617","±213","33.9%","±10.8","4,096","±386","489","±239","11.9%","±5.5"
"        White","60","±56","0","±13","0.0%","±41.1","1,787","±311","16","±25","0.9%","±1.4"
"        Black or African American","1,581","±249","568","±197","35.9%","±11.4","1,876","±336","473","±242","25.2%","±11.7"
"        American Indian and Alaska Native","0","±13","0","±13","-","**","41","±44","0","±13","0.0%","±49.7"
"        Asian","180","±180","49","±71","27.2%","±35.2","346","±163","0","±13","0.0%","±10.3"
"        Native Hawaiian and Other Pacific Islander","0","±13","0","±13","-","**","0","±13","0","±13","-","**"
"        Some other race","0","±13","0","±13","-","**","46","±58","0","±13","0.0%","±47.0"
"    Two or more races","0","±13","0","±13","-","**","82","±89","4","±9","4.9%","±11.9"
"Hispanic or Latino origin (of any race)","0","±13","0","±13","-","**","337","±183","14","±24","4.2%","±7.1"
"White alone, not Hispanic or Latino","60","±56","0","±13","0.0%","±41.1","1,556","±294","16","±25","1.0%","±1.6"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 25 years and over","1,192","±141","343","±99","28.8%","±8.0","3,410","±306","391","±197","11.5%","±5.6"
"    Less than high school graduate","315","±109","107","±65","34.0%","±15.9","208","±102","115","±88","55.3%","±26.5"
"    High school graduate (includes equivalency)","383","±126","144","±68","37.6%","±15.1","708","±286","183","±153","25.8%","±18.8"
"    Some college, associate's degree","277","±105","64","±44","23.1%","±14.2","526","±180","47","±57","8.9%","±10.3"
"    Bachelor's degree or higher","217","±95","28","±32","12.9%","±13.7","1,968","±262","46","±53","2.3%","±2.7"
"EMPLOYMENT STATUS","","","","","","","","","","","",""
"    Civilian labor force 16 years and over","712","±134","90","±57","12.6%","±7.5","3,111","±349","119","±78","3.8%","±2.5"
"    Employed","609","±130","60","±49","9.9%","±7.5","2,889","±331","46","±52","1.6%","±1.8"
"        Male","285","±86","10","±15","3.5%","±5.0","1,376","±238","18","±27","1.3%","±2.0"
"        Female","324","±102","50","±48","15.4%","±13.6","1,513","±241","28","±43","1.9%","±2.9"
"    Unemployed","103","±75","30","±29","29.1%","±25.5","222","±119","73","±58","32.9%","±21.8"
"        Male","40","±38","11","±19","27.5%","±43.1","123","±99","28","±37","22.8%","±27.5"
"        Female","63","±60","19","±22","30.2%","±41.4","99","±66","45","±46","45.5%","±35.3"
"WORK EXPERIENCE","","","","","","","","","","","",""
"    Population 16 years and over","1,330","±153","386","±119","29.0%","±8.5","3,980","±367","435","±217","10.9%","±5.2"
"    Worked full-time, year-round in the past 12 months","537","±110","10","±15","1.9%","±2.9","2,336","±300","18","±27","0.8%","±1.2"
"    Worked part-time or part-year in the past 12 months","212","±105","61","±51","28.8%","±18.9","643","±212","40","±49","6.2%","±7.5"
"    Did not work","581","±156","315","±114","54.2%","±14.6","1,001","±217","377","±192","37.7%","±14.9"
"All Individuals below:","","","","","","","","","","","",""
"    50 percent of poverty level","232","±113","(X)","(X)","(X)","(X)","292","±180","(X)","(X)","(X)","(X)"
"    125 percent of poverty level","687","±225","(X)","(X)","(X)","(X)","643","±253","(X)","(X)","(X)","(X)"
"    150 percent of poverty level","994","±285","(X)","(X)","(X)","(X)","793","±289","(X)","(X)","(X)","(X)"
"    185 percent of poverty level","1,072","±281","(X)","(X)","(X)","(X)","843","±283","(X)","(X)","(X)","(X)"
"    200 percent of poverty level","1,224","±291","(X)","(X)","(X)","(X)","876","±275","(X)","(X)","(X)","(X)"
"Unrelated individuals for whom poverty status is determined","550","±108","194","±82","35.3%","±12.4","2,262","±300","260","±165","11.5%","±6.9"
"Male","224","±85","71","±52","31.7%","±18.5","1,177","±245","199","±150","16.9%","±11.4"
"Female","326","±80","123","±66","37.7%","±18.0","1,085","±216","61","±58","5.6%","±5.5"
"Mean income deficit for unrelated individuals (dollars)","5,652","±1,623","(X)","(X)","(X)","(X)","6,567","±1,694","(X)","(X)","(X)","(X)"
"Worked full-time, year-round in the past 12 months","238","±76","0","±13","0.0%","±14.5","1,538","±298","18","±27","1.2%","±1.7"
"Worked less than full-time, year-round in the past 12 months","62","±42","21","±24","33.9%","±32.4","275","±125","12","±28","4.4%","±10.0"
"Did not work","250","±87","173","±81","69.2%","±18.6","449","±161","230","±154","51.2%","±22.5"
"PERCENT IMPUTED","","","","","","","","","","","",""
"    Poverty status for individuals","37.8%","(X)","(X)","(X)","(X)","(X)","17.2%","(X)","(X)","(X)","(X)","(X)"
