"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Margin of Error"
"Total:","1,784","±255","2,160","±257","1,619","±284","3,377","±491","2,285","±494","1,427","±179"
"    Less than high school graduate","520","±141","21","±31","78","±70","297","±156","141","±103","18","±27"
"    High school graduate (includes equivalency)","316","±111","9","±15","45","±44","257","±98","317","±338","104","±77"
"    Some college or associate's degree","200","±93","279","±158","289","±235","368","±163","190","±115","185","±106"
"    Bachelor's degree","494","±142","862","±219","579","±180","894","±294","758","±283","282","±102"
"    Graduate or professional degree","254","±98","989","±186","628","±164","1,561","±525","879","±286","838","±166"
"    Same house 1 year ago:","1,450","±265","1,733","±265","1,193","±287","2,535","±361","2,088","±506","1,210","±172"
"        Less than high school graduate","496","±142","20","±30","68","±61","297","±156","141","±103","18","±27"
"        High school graduate (includes equivalency)","293","±105","9","±15","45","±44","257","±98","317","±338","79","±70"
"        Some college or associate's degree","182","±91","235","±152","231","±231","264","±131","190","±115","148","±104"
"        Bachelor's degree","322","±142","668","±191","361","±159","754","±277","743","±288","254","±98"
"        Graduate or professional degree","157","±83","801","±186","488","±154","963","±246","697","±251","711","±180"
"    Moved within same county:","173","±105","212","±107","237","±112","594","±430","137","±146","147","±71"
"        Less than high school graduate","13","±19","0","±14","0","±14","0","±14","0","±14","0","±14"
"        High school graduate (includes equivalency)","23","±37","0","±14","0","±14","0","±14","0","±14","25","±30"
"        Some college or associate's degree","13","±20","21","±34","28","±36","41","±47","0","±14","21","±34"
"        Bachelor's degree","87","±53","160","±101","151","±93","87","±69","0","±14","14","±24"
"        Graduate or professional degree","37","±37","31","±35","58","±50","466","±423","137","±146","87","±26"
"    Moved from different county within same state:","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"        Less than high school graduate","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"        High school graduate (includes equivalency)","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"        Some college or associate's degree","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"        Bachelor's degree","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"        Graduate or professional degree","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"    Moved from different state:","150","±77","178","±92","177","±107","232","±145","38","±46","70","±62"
"        Less than high school graduate","0","±14","1","±3","10","±17","0","±14","0","±14","0","±14"
"        High school graduate (includes equivalency)","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"        Some college or associate's degree","5","±8","23","±29","30","±37","63","±100","0","±14","16","±25"
"        Bachelor's degree","85","±56","34","±38","64","±70","53","±54","15","±27","14","±21"
"        Graduate or professional degree","60","±50","120","±75","73","±71","116","±95","23","±36","40","±39"
"    Moved from abroad:","11","±16","37","±35","12","±16","16","±25","22","±32","0","±14"
"        Less than high school graduate","11","±16","0","±14","0","±14","0","±14","0","±14","0","±14"
"        High school graduate (includes equivalency)","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"        Some college or associate's degree","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"        Bachelor's degree","0","±14","0","±14","3","±9","0","±14","0","±14","0","±14"
"        Graduate or professional degree","0","±14","37","±35","9","±15","16","±25","22","±32","0","±14"
