"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","2,455","±302","1,100","±278","44.8%","±9.6","3,520","±332","611","±216","17.4%","±6.4"
"AGE","","","","","","","","","","","",""
"    Under 18 years","547","±162","343","±169","62.7%","±18.8","331","±153","121","±120","36.6%","±32.2"
"        Under 5 years","157","±74","86","±68","54.8%","±32.0","149","±95","27","±27","18.1%","±22.7"
"        5 to 17 years","390","±128","257","±123","65.9%","±19.1","182","±120","94","±93","51.6%","±36.5"
"        Related children of householder under 18 years","547","±162","343","±169","62.7%","±18.8","331","±153","121","±120","36.6%","±32.2"
"    18 to 64 years","1,647","±284","666","±203","40.4%","±10.7","2,851","±291","399","±138","14.0%","±5.3"
"        18 to 34 years","887","±225","364","±153","41.0%","±14.6","1,247","±204","170","±85","13.6%","±7.1"
"        35 to 64 years","760","±123","302","±82","39.7%","±9.7","1,604","±278","229","±100","14.3%","±6.8"
"    60 years and over","431","±102","159","±62","36.9%","±12.2","524","±126","174","±106","33.2%","±19.8"
"    65 years and over","261","±77","91","±55","34.9%","±16.4","338","±96","91","±82","26.9%","±24.6"
"SEX","","","","","","","","","","","",""
"    Male","1,020","±178","474","±149","46.5%","±10.4","1,784","±270","181","±108","10.1%","±6.4"
"    Female","1,435","±205","626","±182","43.6%","±11.0","1,736","±239","430","±165","24.8%","±9.1"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","",""
"    White alone","273","±105","8","±13","2.9%","±5.4","1,588","±241","84","±61","5.3%","±3.6"
"    Black or African American alone","2,101","±291","1,066","±279","50.7%","±10.5","1,386","±324","527","±207","38.0%","±13.1"
"    American Indian and Alaska Native alone","9","±16","9","±16","100.0%","±98.9","22","±28","0","±12","0.0%","±63.2"
"    Asian alone","43","±45","17","±30","39.5%","±38.9","314","±216","0","±12","0.0%","±9.8"
"    Native Hawaiian and Other Pacific Islander alone","0","±12","0","±12","-","**","22","±34","0","±12","0.0%","±63.2"
"    Some other race alone","14","±20","0","±12","0.0%","±79.3","56","±75","0","±12","0.0%","±39.6"
"    Two or more races","15","±22","0","±12","0.0%","±76.6","132","±113","0","±12","0.0%","±21.6"
"Hispanic or Latino origin (of any race)","104","±57","8","±13","7.7%","±13.0","227","±167","0","±12","0.0%","±13.3"
"White alone, not Hispanic or Latino","226","±93","0","±12","0.0%","±13.4","1,530","±244","84","±61","5.5%","±3.8"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 25 years and over","1,592","±189","634","±151","39.8%","±8.2","2,905","±306","393","±127","13.5%","±4.8"
"        Less than high school graduate","382","±82","227","±76","59.4%","±15.0","168","±80","128","±73","76.2%","±26.4"
"        High school graduate (includes equivalency)","444","±107","218","±79","49.1%","±13.6","182","±118","45","±53","24.7%","±25.2"
"        Some college, associate's degree","392","±93","151","±68","38.5%","±14.4","454","±157","95","±84","20.9%","±17.1"
