"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","626","±173","47","±39","(X)","(X)","75","±62","61.7%","±41.8","720","±142","0","±13","(X)","(X)","0","±54","-","**","543","±209","0","±13","(X)","(X)","0","±71","-","**","1,374","±372","55","±49","(X)","(X)","40","±37","36.4%","±46.3","720","±334","0","±13","(X)","(X)","0","±54","-","**","539","±189","0","±13","(X)","(X)","0","±71","-","**"
"    15 to 19 years","36","±41","0","±13","0.0%","±48.0","0","±548","-","**","0","±13","0","±13","-","**","-","**","-","**","23","±34","0","±13","-","**","0","±686","-","**","51","±79","0","±13","0.0%","±44.4","0","±461","-","**","7","±14","0","±13","-","**","0","±1,000","-","**","0","±13","0","±13","-","**","-","**","-","**"
"    20 to 34 years","391","±140","37","±36","78.7%","±32.2","95","±95","78.4%","±38.7","500","±128","0","±13","-","**","0","±77","-","**","395","±212","0","±13","-","**","0","±96","-","**","713","±202","20","±33","36.4%","±46.3","28","±47","100.0%","±73.6","467","±274","0","±13","-","**","0","±82","-","**","163","±86","0","±13","-","**","0","±215","-","**"
"    35 to 50 years","199","±100","10","±14","21.3%","±32.2","50","±75","0.0%","±100.0","220","±102","0","±13","-","**","0","±166","-","**","125","±62","0","±13","-","**","0","±268","-","**","610","±267","35","±38","63.6%","±46.3","57","±64","0.0%","±55.6","246","±154","0","±13","-","**","0","±150","-","**","376","±182","0","±13","-","**","0","±101","-","**"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race","609","±172","47","±39","100.0%","±48.0","77","±64","61.7%","±41.8","672","±136","0","±13","-","**","0","±58","-","**","535","±208","0","±13","-","**","0","±72","-","**","1,327","±373","55","±49","100.0%","±44.4","41","±39","36.4%","±46.3","720","±334","0","±13","-","**","0","±54","-","**","456","±179","0","±13","-","**","0","±84","-","**"
"            White","165","±66","18","±19","38.3%","±41.8","109","±119","0.0%","±77.5","493","±141","0","±13","-","**","0","±78","-","**","340","±100","0","±13","-","**","0","±111","-","**","876","±301","26","±33","47.3%","±46.1","30","±37","0.0%","±64.5","596","±315","0","±13","-","**","0","±65","-","**","317","±158","0","±13","-","**","0","±118","-","**"
"            Black or African American","433","±152","29","±35","61.7%","±41.8","67","±80","100.0%","±61.1","95","±68","0","±13","-","**","0","±329","-","**","166","±188","0","±13","-","**","0","±212","-","**","340","±232","20","±33","36.4%","±46.3","59","±109","100.0%","±73.6","95","±117","0","±13","-","**","0","±329","-","**","109","±103","0","±13","-","**","0","±298","-","**"
"            American Indian and Alaska Native","0","±13","0","±13","0.0%","±48.0","-","**","-","**","0","±13","0","±13","-","**","-","**","-","**","0","±13","0","±13","-","**","-","**","-","**","0","±13","0","±13","0.0%","±44.4","-","**","-","**","0","±13","0","±13","-","**","-","**","-","**","0","±13","0","±13","-","**","-","**","-","**"
"            Asian","1","±2","0","±13","0.0%","±48.0","0","±1,000","-","**","46","±44","0","±13","-","**","0","±485","-","**","27","±37","0","±13","-","**","0","±633","-","**","103","±60","9","±18","16.4%","±32.2","87","±163","0.0%","±100.0","29","±33","0","±13","-","**","0","±611","-","**","16","±26","0","±13","-","**","0","±823","-","**"
"            Native Hawaiian and Other Pacific Islander","0","±13","0","±13","0.0%","±48.0","-","**","-","**","0","±13","0","±13","-","**","-","**","-","**","0","±13","0","±13","-","**","-","**","-","**","8","±14","0","±13","0.0%","±44.4","0","±1,000","-","**","0","±13","0","±13","-","**","-","**","-","**","0","±13","0","±13","-","**","-","**","-","**"
"            Some other race","10","±15","0","±13","0.0%","±48.0","0","±1,000","-","**","38","±57","0","±13","-","**","0","±534","-","**","2","±4","0","±13","-","**","0","±1,000","-","**","0","±13","0","±13","0.0%","±44.4","-","**","-","**","0","±13","0","±13","-","**","-","**","-","**","14","±23","0","±13","-","**","0","±879","-","**"
"        Two or more races","17","±21","0","±13","0.0%","±48.0","0","±798","-","**","48","±46","0","±13","-","**","0","±475","-","**","8","±13","0","±13","-","**","0","±1,000","-","**","47","±41","0","±13","0.0%","±44.4","0","±480","-","**","0","±13","0","±13","-","**","-","**","-","**","83","±96","0","±13","-","**","0","±359","-","**"
"        Hispanic or Latino origin (of any race)","37","±31","0","±13","0.0%","±48.0","0","±541","-","**","66","±73","0","±13","-","**","0","±405","-","**","43","±52","0","±13","-","**","0","±502","-","**","83","±70","0","±13","0.0%","±44.4","0","±359","-","**","217","±226","0","±13","-","**","0","±168","-","**","14","±23","0","±13","-","**","0","±879","-","**"
"        White alone, not Hispanic or Latino","138","±63","18","±19","38.3%","±41.8","130","±142","0.0%","±77.5","493","±141","0","±13","-","**","0","±78","-","**","299","±118","0","±13","-","**","0","±125","-","**","805","±288","26","±33","47.3%","±46.1","32","±40","0.0%","±64.5","379","±209","0","±13","-","**","0","±100","-","**","317","±158","0","±13","-","**","0","±118","-","**"
"    NATIVITY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Native","625","±172","47","±39","100.0%","±48.0","75","±62","61.7%","±41.8","574","±142","0","±13","-","**","0","±67","-","**","485","±208","0","±13","-","**","0","±79","-","**","1,101","±333","46","±45","83.6%","±32.2","42","±43","43.5%","±52.1","703","±335","0","±13","-","**","0","±55","-","**","507","±188","0","±13","-","**","0","±76","-","**"
"        Foreign born","1","±2","0","±13","0.0%","±48.0","0","±1,000","-","**","146","±90","0","±13","-","**","0","±236","-","**","58","±54","0","±13","-","**","0","±432","-","**","273","±148","9","±18","16.4%","±32.2","33","±71","0.0%","±100.0","17","±27","0","±13","-","**","0","±798","-","**","32","±37","0","±13","-","**","0","±582","-","**"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
