"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","696","±181","73","±52","(X)","(X)","105","±74","76.7%","±25.5","1,401","±234","22","±49","(X)","(X)","16","±35","95.5%","±95.5"
"    15 to 19 years","109","±77","0","±12","0.0%","±35.8","0","±269","-","**","50","±48","0","±12","0.0%","±65.6","0","±435","-","**"
"    20 to 34 years","430","±138","63","±49","86.3%","±19.9","147","±108","88.9%","±18.8","657","±155","21","±35","95.5%","±95.5","32","±54","100.0%","±67.2"
"    35 to 50 years","157","±66","10","±15","13.7%","±19.9","64","±95","0.0%","±97.3","694","±190","1","±22","4.5%","±95.5","1","±33","0.0%","±100.0"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","",""
"        One race","696","±181","73","±52","100.0%","±35.8","105","±74","76.7%","±25.5","1,401","±234","22","±49","100.0%","±65.6","16","±35","95.5%","±95.5"
"            White","202","±84","17","±18","23.3%","±25.5","84","±90","0.0%","±74.6","628","±162","1","±22","4.5%","±95.5","2","±35","0.0%","±100.0"
"            Black or African American","482","±165","56","±48","76.7%","±25.5","116","±97","100.0%","±41.1","630","±192","21","±35","95.5%","±95.5","33","±58","100.0%","±67.2"
"            American Indian and Alaska Native","0","±12","0","±12","0.0%","±35.8","-","**","-","**","0","±12","0","±12","0.0%","±65.6","-","**","-","**"
"            Asian","0","±12","0","±12","0.0%","±35.8","-","**","-","**","128","±88","0","±12","0.0%","±65.6","0","±236","-","**"
"            Native Hawaiian and Other Pacific Islander","0","±12","0","±12","0.0%","±35.8","-","**","-","**","15","±25","0","±12","0.0%","±65.6","0","±795","-","**"
"            Some other race","12","±15","0","±12","0.0%","±35.8","0","±888","-","**","0","±12","0","±12","0.0%","±65.6","-","**","-","**"
"        Two or more races","0","±12","0","±12","0.0%","±35.8","-","**","-","**","0","±12","0","±12","0.0%","±65.6","-","**","-","**"
"        Hispanic or Latino origin (of any race)","58","±42","0","±12","0.0%","±35.8","0","±404","-","**","58","±48","0","±12","0.0%","±65.6","0","±404","-","**"
"        White alone, not Hispanic or Latino","156","±73","17","±18","23.3%","±25.5","109","±116","0.0%","±74.6","570","±151","1","±22","4.5%","±95.5","2","±38","0.0%","±100.0"
"    NATIVITY","","","","","","","","","","","","","","","","","","","",""
"        Native","674","±179","73","±52","100.0%","±35.8","108","±76","76.7%","±25.5","1,165","±228","22","±49","100.0%","±65.6","19","±43","95.5%","±95.5"
"        Foreign born","22","±25","0","±12","0.0%","±35.8","0","±656","-","**","236","±116","0","±12","0.0%","±65.6","0","±138","-","**"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","",""
"        Less than high school graduate","194","±93","18","±29","24.7%","±34.1","93","±140","100.0%","±72.5","235","±159","21","±35","95.5%","±95.5","89","±194","100.0%","±67.2"
"        High school graduate (includes equivalency)","121","±103","19","±24","26.0%","±28.0","157","±233","100.0%","±70.6","82","±77","0","±12","0.0%","±65.6","0","±332","-","**"
"        Some college or associate's degree","160","±76","19","±29","26.0%","±34.9","119","±182","100.0%","±70.6","163","±146","0","±12","0.0%","±65.6","0","±192","-","**"
"        Bachelor's degree","178","±102","17","±18","23.3%","±25.5","96","±105","0.0%","±74.6","377","±119","0","±12","0.0%","±65.6","0","±89","-","**"
"        Graduate or professional degree","43","±34","0","±12","0.0%","±35.8","0","±469","-","**","544","±159","1","±22","4.5%","±95.5","2","±40","0.0%","±100.0"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","696","±181","73","±52","(X)","(X)","105","±74","76.7%","±25.5","1,401","±234","22","±49","(X)","(X)","16","±35","95.5%","±95.5"
"        Below 100 percent of poverty level","289","±113","27","±33","37.0%","±35.8","93","±107","100.0%","±59.2","345","±226","0","±12","0.0%","±65.6","0","±96","-","**"
"        100 to 199 percent of poverty level","134","±103","10","±17","13.7%","±21.2","75","±139","100.0%","±97.3","96","±109","0","±12","0.0%","±65.6","0","±297","-","**"
"        200 percent or more above poverty level","273","±115","36","±34","49.3%","±34.9","132","±121","52.8%","±52.8","960","±151","22","±49","100.0%","±65.6","23","±51","95.5%","±95.5"
"LABOR FORCE STATUS","","","","","","","","","","","","","","","","","","","",""
"    Women 16 to 50 years","696","±181","73","±52","(X)","(X)","105","±74","76.7%","±25.5","1,401","±234","22","±49","(X)","(X)","16","±35","95.5%","±95.5"
"        In labor force","434","±114","66","±51","90.4%","±16.2","152","±112","84.8%","±22.3","1,129","±174","21","±35","95.5%","±95.5","19","±30","100.0%","±67.2"
"PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"    Women 15 to 50 years","696","±181","73","±52","(X)","(X)","105","±74","76.7%","±25.5","1,401","±234","22","±49","(X)","(X)","16","±35","95.5%","±95.5"
"        Received public assistance income","126","±60","9","±16","12.3%","±22.3","71","±130","100.0%","±100.0","0","±12","0","±12","0.0%","±65.6","-","**","-","**"
