"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Margin of Error"
"Total:","2,469","±461","2,522","±419","1,960","±413","3,997","±611","2,353","±502","1,519","±183"
"    Male","1,167","±256","1,450","±345","881","±152","1,933","±374","1,076","±311","697","±151"
"    Female","1,302","±321","1,072","±222","1,079","±384","2,064","±339","1,277","±341","822","±120"
"    Same house 1 year ago:","2,045","±442","1,935","±414","1,473","±411","3,071","±511","2,156","±512","1,284","±176"
"        Male","918","±270","1,254","±343","681","±159","1,436","±312","961","±314","509","±129"
"        Female","1,127","±264","681","±203","792","±379","1,635","±270","1,195","±312","775","±126"
"    Moved within same county:","178","±107","275","±106","243","±112","640","±433","137","±146","147","±71"
"        Male","114","±89","146","±75","123","±91","277","±208","70","±84","125","±61"
"        Female","64","±45","129","±71","120","±62","363","±239","67","±110","22","±27"
"    Moved from different county within same state:","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"        Male","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"        Female","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"    Moved from different state:","187","±99","275","±117","214","±114","249","±149","38","±46","85","±67"
"        Male","135","±79","50","±35","65","±47","190","±134","23","±36","60","±50"
"        Female","52","±38","225","±104","149","±90","59","±49","15","±27","25","±26"
"    Moved from abroad:","59","±77","37","±35","30","±35","37","±41","22","±32","3","±8"
"        Male","0","±14","0","±14","12","±16","30","±35","22","±32","3","±8"
"        Female","59","±77","37","±35","18","±29","7","±11","0","±14","0","±14"
