"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","541","±112","31","±34","(X)","(X)","57","±64","48.4%","±51.6","1,194","±196","46","±73","(X)","(X)","39","±60","0.0%","±48.5"
"15 to 19 years","19","±30","0","±132","0.0%","±59.1","0","±755","-","**","31","±32","0","±132","0.0%","±48.5","0","±591","-","**"
"20 to 34 years","211","±105","16","±25","51.6%","±51.6","76","±114","0.0%","±82.3","734","±179","46","±73","100.0%","±48.5","63","±97","0.0%","±48.5"
"35 to 50 years","311","±99","15","±24","48.4%","±51.6","48","±79","100.0%","±84.9","429","±122","0","±132","0.0%","±48.5","0","±89","-","**"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","",""
"    One race","541","±112","31","±34","100.0%","±59.1","57","±64","48.4%","±51.6","1,185","±199","46","±73","100.0%","±48.5","39","±61","0.0%","±48.5"
"        White","37","±44","0","±132","0.0%","±59.1","0","±541","-","**","412","±120","0","±132","0.0%","±48.5","0","±92","-","**"
"        Black or African American","488","±124","15","±24","48.4%","±51.6","31","±49","100.0%","±84.9","539","±180","0","±132","0.0%","±48.5","0","±71","-","**"
"        American Indian and Alaska Native","0","±132","0","±132","0.0%","±59.1","-","**","-","**","0","±132","0","±132","0.0%","±48.5","-","**","-","**"
"        Asian","16","±25","16","±25","51.6%","±51.6","1,000","±822","0.0%","±82.3","170","±101","0","±132","0.0%","±48.5","0","±208","-","**"
"        Native Hawaiian and Other Pacific Islander","0","±132","0","±132","0.0%","±59.1","-","**","-","**","0","±132","0","±132","0.0%","±48.5","-","**","-","**"
"        Some other race","0","±132","0","±132","0.0%","±59.1","-","**","-","**","64","±78","46","±73","100.0%","±48.5","719","±533","0.0%","±48.5"
"    Two or more races","0","±132","0","±132","0.0%","±59.1","-","**","-","**","9","±15","0","±132","0.0%","±48.5","0","±1,000","-","**"
