"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","2,130","±280","943","±243","44.3%","±9.1","3,418","±312","416","±161","12.2%","±4.7"
"AGE","","","","","","","","","","","",""
"    Under 18 years","367","±157","218","±133","59.4%","±19.3","139","±84","21","±32","15.1%","±20.5"
"        Under 5 years","52","±40","32","±32","61.5%","±34.5","54","±44","4","±10","7.4%","±17.9"
"        5 to 17 years","315","±132","186","±109","59.0%","±20.0","85","±66","17","±28","20.0%","±31.5"
"        Related children of householder under 18 years","367","±157","218","±133","59.4%","±19.3","139","±84","21","±32","15.1%","±20.5"
"    18 to 64 years","1,498","±235","638","±189","42.6%","±10.8","2,915","±307","380","±135","13.0%","±4.8"
"        18 to 34 years","759","±181","332","±132","43.7%","±15.8","1,394","±218","189","±85","13.6%","±6.3"
"        35 to 64 years","739","±113","306","±91","41.4%","±10.4","1,521","±264","191","±99","12.6%","±6.9"
"    60 years and over","421","±103","151","±69","35.9%","±13.8","537","±116","63","±52","11.7%","±9.9"
"    65 years and over","265","±79","87","±54","32.8%","±16.0","364","±97","15","±24","4.1%","±6.9"
"SEX","","","","","","","","","","","",""
"    Male","826","±150","361","±128","43.7%","±11.1","1,649","±240","93","±68","5.6%","±4.2"
"    Female","1,304","±192","582","±170","44.6%","±10.7","1,769","±228","323","±140","18.3%","±7.5"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","",""
"    White alone","209","±102","0","±12","0.0%","±14.4","1,496","±232","53","±48","3.5%","±3.2"
"    Black or African American alone","1,849","±294","911","±244","49.3%","±10.0","1,552","±297","363","±146","23.4%","±9.2"
"    American Indian and Alaska Native alone","7","±14","7","±14","100.0%","±100.0","22","±31","0","±12","0.0%","±63.2"
"    Asian alone","53","±62","25","±42","47.2%","±32.8","188","±147","0","±12","0.0%","±15.8"
"    Native Hawaiian and Other Pacific Islander alone","0","±12","0","±12","-","**","23","±37","0","±12","0.0%","±61.8"
"    Some other race alone","12","±19","0","±12","0.0%","±85.6","50","±53","0","±12","0.0%","±41.9"
"    Two or more races","0","±12","0","±12","-","**","87","±76","0","±12","0.0%","±30.2"
"Hispanic or Latino origin (of any race)","86","±56","0","±12","0.0%","±30.5","169","±122","0","±12","0.0%","±17.4"
"White alone, not Hispanic or Latino","178","±87","0","±12","0.0%","±16.6","1,456","±231","53","±48","3.6%","±3.3"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 25 years and over","1,469","±161","610","±144","41.5%","±8.3","2,918","±268","291","±107","10.0%","±3.9"
"        Less than high school graduate","367","±87","205","±78","55.9%","±15.5","211","±115","162","±100","76.8%","±22.0"
"        High school graduate (includes equivalency)","425","±111","220","±81","51.8%","±14.5","291","±108","49","±58","16.8%","±20.1"
"        Some college, associate's degree","369","±103","147","±70","39.8%","±15.2","365","±151","0","±12","0.0%","±8.5"
"        Bachelor's degree or higher","308","±104","38","±28","12.3%","±9.5","2,051","±250","80","±65","3.9%","±3.1"
"EMPLOYMENT STATUS","","","","","","","","","","","",""
"    Civilian labor force 16 years and over","829","±147","224","±88","27.0%","±9.9","2,542","±274","118","±78","4.6%","±3.1"
"        Employed","672","±137","75","±44","11.2%","±6.6","2,306","±289","43","±46","1.9%","±2.0"
"            Male","307","±89","13","±15","4.2%","±4.8","1,207","±227","18","±30","1.5%","±2.5"
"            Female","365","±83","62","±39","17.0%","±10.6","1,099","±194","25","±35","2.3%","±3.1"
"        Unemployed","157","±78","149","±76","94.9%","±8.1","236","±100","75","±62","31.8%","±22.0"
"            Male","101","±65","101","±65","100.0%","±26.9","95","±78","28","±33","29.5%","±34.4"
"            Female","56","±45","48","±43","85.7%","±25.3","141","±71","47","±44","33.3%","±27.5"
"WORK EXPERIENCE","","","","","","","","","","","",""
"    Population 16 years and over","1,802","±229","753","±191","41.8%","±9.2","3,302","±293","412","±158","12.5%","±4.8"
"        Worked full-time, year-round in the past 12 months","531","±127","7","±12","1.3%","±2.3","1,904","±214","0","±12","0.0%","±1.7"
"        Worked part-time or part-year in the past 12 months","250","±80","129","±61","51.6%","±19.0","556","±187","61","±54","11.0%","±9.3"
"        Did not work","1,021","±220","617","±164","60.4%","±13.2","842","±235","351","±155","41.7%","±14.9"
"ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","",""
"    50 percent of poverty level","328","±141","(X)","(X)","(X)","(X)","317","±135","(X)","(X)","(X)","(X)"
"    125 percent of poverty level","1,112","±281","(X)","(X)","(X)","(X)","513","±182","(X)","(X)","(X)","(X)"
"    150 percent of poverty level","1,362","±297","(X)","(X)","(X)","(X)","571","±171","(X)","(X)","(X)","(X)"
"    185 percent of poverty level","1,446","±297","(X)","(X)","(X)","(X)","613","±184","(X)","(X)","(X)","(X)"
"    200 percent of poverty level","1,464","±294","(X)","(X)","(X)","(X)","676","±182","(X)","(X)","(X)","(X)"
"    300 percent of poverty level","1,676","±290","(X)","(X)","(X)","(X)","1,102","±332","(X)","(X)","(X)","(X)"
"    400 percent of poverty level","1,776","±287","(X)","(X)","(X)","(X)","1,405","±334","(X)","(X)","(X)","(X)"
"    500 percent of poverty level","1,870","±274","(X)","(X)","(X)","(X)","1,757","±342","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","596","±125","232","±74","38.9%","±10.3","2,011","±236","278","±116","13.8%","±5.8"
"    Male","276","±80","115","±56","41.7%","±16.1","993","±217","86","±66","8.7%","±7.1"
"    Female","320","±81","117","±53","36.6%","±14.4","1,018","±187","192","±93","18.9%","±8.4"
"15 years","0","±12","0","±12","-","**","0","±12","0","±12","-","**"
"16 to 17 years","0","±12","0","±12","-","**","0","±12","0","±12","-","**"
"18 to 24 years","23","±25","5","±8","21.7%","±37.0","240","±151","53","±52","22.1%","±22.9"
"25 to 34 years","80","±51","8","±13","10.0%","±16.5","670","±187","85","±67","12.7%","±9.1"
"35 to 44 years","83","±52","0","±12","0.0%","±31.3","411","±153","17","±28","4.1%","±7.3"
"45 to 54 years","128","±64","87","±53","68.0%","±23.3","147","±81","47","±51","32.0%","±25.6"
"55 to 64 years","150","±54","62","±40","41.3%","±23.8","314","±88","76","±54","24.2%","±16.4"
"65 to 74 years","48","±43","28","±38","58.3%","±44.8","128","±66","0","±12","0.0%","±22.2"
"75 years and over","84","±37","42","±31","50.0%","±26.5","101","±93","0","±12","0.0%","±26.9"
"Mean income deficit for unrelated individuals (dollars)","6,778","±1,421","(X)","(X)","(X)","(X)","9,043","±1,489","(X)","(X)","(X)","(X)"
"Worked full-time, year-round in the past 12 months","238","±89","0","±12","0.0%","±12.7","1,309","±232","0","±12","0.0%","±2.4"
"Worked less than full-time, year-round in the past 12 months","83","±43","35","±34","42.2%","±37.1","259","±119","61","±54","23.6%","±17.9"
"Did not work","275","±75","197","±71","71.6%","±14.0","443","±165","217","±118","49.0%","±20.0"
