state_abbr,state_fips,county_name,city_fips,stpl_fips,stcosub_fips,stcotr_fips,city_name,metric_name,metric_number,group_name,group_number,num,denom,est,lci,uci,data_yr_type,data_yr,geo_level,date_export,census_year,version,suggested_citation
DC,11,District of Columbia,1150000,1150000,-999,11001000100,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,8.6,-999,-999,"2018, 1 Year Modeled Estimate",2018,tract,2022-11-30,2010,16.0,"Department of Population Health, NYU Langone Health. City Health Dashboard. https://www.cityhealthdashboard.com/. Accessed [INSERT DATE OF ACCESS]."
DC,11,District of Columbia,1150000,1150000,-999,11001000201,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,8.6,-999,-999,"2018, 1 Year Modeled Estimate",2018,tract,2022-11-30,2010,16.0,
DC,11,District of Columbia,1150000,1150000,-999,11001000202,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,8.6,-999,-999,"2018, 1 Year Modeled Estimate",2018,tract,2022-11-30,2010,16.0,
DC,11,District of Columbia,1150000,1150000,-999,11001000300,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,"2018, 1 Year Modeled Estimate",2018,tract,2022-11-30,2010,16.0,
DC,11,District of Columbia,1150000,1150000,-999,11001000400,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,"2018, 1 Year Modeled Estimate",2018,tract,2022-11-30,2010,16.0,
DC,11,District of Columbia,1150000,1150000,-999,11001000501,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,"2018, 1 Year Modeled Estimate",2018,tract,2022-11-30,2010,16.0,
DC,11,District of Columbia,1150000,1150000,-999,11001000502,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,"2018, 1 Year Modeled Estimate",2018,tract,2022-11-30,2010,16.0,
DC,11,District of Columbia,1150000,1150000,-999,11001000600,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,"2018, 1 Year Modeled Estimate",2018,tract,2022-11-30,2010,16.0,
DC,11,District of Columbia,1150000,1150000,-999,11001000701,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,"2018, 1 Year Modeled Estimate",2018,tract,2022-11-30,2010,16.0,
DC,11,District of Columbia,1150000,1150000,-999,11001000702,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,"2018, 1 Year Modeled Estimate",2018,tract,2022-11-30,2010,16.0,
DC,11,District of Columbia,1150000,1150000,-999,11001000801,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,"2018, 1 Year Modeled Estimate",2018,tract,2022-11-30,2010,16.0,
DC,11,District of Columbia,1150000,1150000,-999,11001000802,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,"2018, 1 Year Modeled Estimate",2018,tract,2022-11-30,2010,16.0,
DC,11,District of Columbia,1150000,1150000,-999,11001000901,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,"2018, 1 Year Modeled Estimate",2018,tract,2022-11-30,2010,16.0,
DC,11,District of Columbia,1150000,1150000,-999,11001000902,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,"2018, 1 Year Modeled Estimate",2018,tract,2022-11-30,2010,16.0,
