"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Households receiving food stamps/SNAP!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent households receiving food stamps/SNAP!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Households not receiving food stamps/SNAP!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent households not receiving food stamps/SNAP!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Households receiving food stamps/SNAP!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent households receiving food stamps/SNAP!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Households not receiving food stamps/SNAP!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent households not receiving food stamps/SNAP!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Households receiving food stamps/SNAP!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent households receiving food stamps/SNAP!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Households not receiving food stamps/SNAP!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent households not receiving food stamps/SNAP!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Households receiving food stamps/SNAP!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent households receiving food stamps/SNAP!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Households not receiving food stamps/SNAP!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent households not receiving food stamps/SNAP!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Households receiving food stamps/SNAP!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent households receiving food stamps/SNAP!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Households not receiving food stamps/SNAP!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent households not receiving food stamps/SNAP!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Households receiving food stamps/SNAP!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent households receiving food stamps/SNAP!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Households not receiving food stamps/SNAP!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent households not receiving food stamps/SNAP!!Estimate"
"Households","1,163","(X)","544","46.8%","619","53.2%","1,556","(X)","38","2.4%","1,518","97.6%","870","(X)","111","12.8%","759","87.2%","2,153","(X)","132","6.1%","2,021","93.9%","1,395","(X)","45","3.2%","1,350","96.8%","1,205","(X)","18","1.5%","1,187","98.5%"
"    With one or more people in the household 60 years and over","367","31.6%","239","43.9%","128","20.7%","386","24.8%","17","44.7%","369","24.3%","395","45.4%","0","0.0%","395","52.0%","386","17.9%","12","9.1%","374","18.5%","487","34.9%","0","0.0%","487","36.1%","531","44.1%","18","100.0%","513","43.2%"
"    No people in the household 60 years and over","796","68.4%","305","56.1%","491","79.3%","1,170","75.2%","21","55.3%","1,149","75.7%","475","54.6%","111","100.0%","364","48.0%","1,767","82.1%","120","90.9%","1,647","81.5%","908","65.1%","45","100.0%","863","63.9%","674","55.9%","0","0.0%","674","56.8%"
"    HOUSEHOLD TYPE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Married-couple family","113","9.7%","19","3.5%","94","15.2%","256","16.5%","0","0.0%","256","16.9%","164","18.9%","0","0.0%","164","21.6%","484","22.5%","0","0.0%","484","23.9%","408","29.2%","0","0.0%","408","30.2%","293","24.3%","0","0.0%","293","24.7%"
"    Other family:","411","35.3%","308","56.6%","103","16.6%","0","0.0%","0","0.0%","0","0.0%","127","14.6%","111","100.0%","16","2.1%","135","6.3%","56","42.4%","79","3.9%","47","3.4%","28","62.2%","19","1.4%","17","1.4%","0","0.0%","17","1.4%"
"        Male householder, no spouse present","70","6.0%","70","12.9%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","2","0.1%","0","0.0%","2","0.1%","0","0.0%","0","0.0%","0","0.0%","17","1.4%","0","0.0%","17","1.4%"
"        Female householder, no spouse present","341","29.3%","238","43.8%","103","16.6%","0","0.0%","0","0.0%","0","0.0%","127","14.6%","111","100.0%","16","2.1%","133","6.2%","56","42.4%","77","3.8%","47","3.4%","28","62.2%","19","1.4%","0","0.0%","0","0.0%","0","0.0%"
"    Nonfamily households","639","54.9%","217","39.9%","422","68.2%","1,300","83.5%","38","100.0%","1,262","83.1%","579","66.6%","0","0.0%","579","76.3%","1,534","71.2%","76","57.6%","1,458","72.1%","940","67.4%","17","37.8%","923","68.4%","895","74.3%","18","100.0%","877","73.9%"
"    With children under 18 years","292","25.1%","216","39.7%","76","12.3%","57","3.7%","0","0.0%","57","3.8%","158","18.2%","111","100.0%","47","6.2%","205","9.5%","6","4.5%","199","9.8%","27","1.9%","0","0.0%","27","2.0%","0","0.0%","0","0.0%","0","0.0%"
"        Married-couple family","19","1.6%","0","0.0%","19","3.1%","57","3.7%","0","0.0%","57","3.8%","47","5.4%","0","0.0%","47","6.2%","164","7.6%","0","0.0%","164","8.1%","17","1.2%","0","0.0%","17","1.3%","0","0.0%","0","0.0%","0","0.0%"
"        Other family:","273","23.5%","216","39.7%","57","9.2%","0","0.0%","0","0.0%","0","0.0%","111","12.8%","111","100.0%","0","0.0%","41","1.9%","6","4.5%","35","1.7%","10","0.7%","0","0.0%","10","0.7%","0","0.0%","0","0.0%","0","0.0%"
"            Male householder, no spouse present","70","6.0%","70","12.9%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"            Female householder, no spouse present","203","17.5%","146","26.8%","57","9.2%","0","0.0%","0","0.0%","0","0.0%","111","12.8%","111","100.0%","0","0.0%","41","1.9%","6","4.5%","35","1.7%","10","0.7%","0","0.0%","10","0.7%","0","0.0%","0","0.0%","0","0.0%"
"        Nonfamily households","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"    No children under 18 years","871","74.9%","328","60.3%","543","87.7%","1,499","96.3%","38","100.0%","1,461","96.2%","712","81.8%","0","0.0%","712","93.8%","1,948","90.5%","126","95.5%","1,822","90.2%","1,368","98.1%","45","100.0%","1,323","98.0%","1,205","100.0%","18","100.0%","1,187","100.0%"
"        Married-couple family","94","8.1%","19","3.5%","75","12.1%","199","12.8%","0","0.0%","199","13.1%","117","13.4%","0","0.0%","117","15.4%","320","14.9%","0","0.0%","320","15.8%","391","28.0%","0","0.0%","391","29.0%","293","24.3%","0","0.0%","293","24.7%"
"        Other family:","138","11.9%","92","16.9%","46","7.4%","0","0.0%","0","0.0%","0","0.0%","16","1.8%","0","0.0%","16","2.1%","94","4.4%","50","37.9%","44","2.2%","37","2.7%","28","62.2%","9","0.7%","17","1.4%","0","0.0%","17","1.4%"
"            Male householder, no spouse present","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","2","0.1%","0","0.0%","2","0.1%","0","0.0%","0","0.0%","0","0.0%","17","1.4%","0","0.0%","17","1.4%"
"            Female householder, no spouse present","138","11.9%","92","16.9%","76","7.4%","0","0.0%","0","0.0%","57","0.0%","16","1.8%","0","0.0%","47","2.1%","92","4.3%","50","37.9%","199","2.1%","37","2.7%","28","62.2%","27","0.7%","0","0.0%","0","0.0%","0","0.0%"
"        Nonfamily households","639","54.9%","217","39.9%","422","68.2%","1,300","83.5%","38","100.0%","1,262","83.1%","579","66.6%","0","0.0%","579","76.3%","1,534","71.2%","76","57.6%","1,458","72.1%","940","67.4%","17","37.8%","923","68.4%","895","74.3%","18","100.0%","877","73.9%"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Below poverty level","500","43.0%","369","67.8%","131","21.2%","82","5.3%","21","55.3%","61","4.0%","31","3.6%","0","0.0%","31","4.1%","376","17.5%","120","90.9%","256","12.7%","112","8.0%","0","0.0%","112","8.3%","119","9.9%","0","0.0%","119","10.0%"
"        At or above  poverty level","663","57.0%","175","32.2%","488","78.8%","1,474","94.7%","17","44.7%","1,457","96.0%","839","96.4%","111","100.0%","728","95.9%","1,777","82.5%","12","9.1%","1,765","87.3%","1,283","92.0%","45","100.0%","1,238","91.7%","1,086","90.1%","18","100.0%","1,068","90.0%"
"    DISABILITY STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With one or more people with a disability","378","32.5%","261","48.0%","117","18.9%","213","13.7%","0","0.0%","213","14.0%","180","20.7%","0","0.0%","180","23.7%","420","19.5%","38","28.8%","382","18.9%","273","19.6%","28","62.2%","245","18.1%","314","26.1%","18","100.0%","296","24.9%"
"        With no persons with a disability","785","67.5%","283","52.0%","502","81.1%","1,343","86.3%","38","100.0%","1,305","86.0%","690","79.3%","111","100.0%","579","76.3%","1,733","80.5%","94","71.2%","1,639","81.1%","1,122","80.4%","17","37.8%","1,105","81.9%","891","73.9%","0","0.0%","891","75.1%"
"    RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","261","22.4%","16","2.9%","245","39.6%","956","61.4%","0","0.0%","956","63.0%","492","56.6%","0","0.0%","492","64.8%","1,275","59.2%","0","0.0%","1,275","63.1%","788","56.5%","0","0.0%","788","58.4%","853","70.8%","18","100.0%","835","70.3%"
"        Black or African American alone","831","71.5%","509","93.6%","322","52.0%","363","23.3%","38","100.0%","325","21.4%","325","37.4%","111","100.0%","214","28.2%","642","29.8%","132","100.0%","510","25.2%","526","37.7%","45","100.0%","481","35.6%","269","22.3%","0","0.0%","269","22.7%"
"        American Indian and Alaska Native alone","0","0.0%","0","0.0%","0","0.0%","10","0.6%","0","0.0%","10","0.7%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
