"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Households receiving food stamps/SNAP!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent households receiving food stamps/SNAP!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Households not receiving food stamps/SNAP!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent households not receiving food stamps/SNAP!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Households receiving food stamps/SNAP!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent households receiving food stamps/SNAP!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Households not receiving food stamps/SNAP!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent households not receiving food stamps/SNAP!!Estimate"
"Households","1,126","(X)","572","50.8%","554","49.2%","2,227","(X)","140","6.3%","2,087","93.7%"
"With one or more people in the household 60 years and over","367","32.6%","195","34.1%","172","31.0%","481","21.6%","0","0.0%","481","23.0%"
"No people in the household 60 years and over","759","67.4%","377","65.9%","382","69.0%","1,746","78.4%","140","100.0%","1,606","77.0%"
"HOUSEHOLD TYPE","","","","","","","","","","","",""
"    Married-couple family","121","10.7%","5","0.9%","116","20.9%","526","23.6%","0","0.0%","526","25.2%"
"    Other family:","467","41.5%","344","60.1%","123","22.2%","83","3.7%","29","20.7%","54","2.6%"
"        Male householder, no wife present","26","2.3%","21","3.7%","5","0.9%","6","0.3%","6","4.3%","0","0.0%"
"        Female householder, no husband present","441","39.2%","323","56.5%","118","21.3%","77","3.5%","23","16.4%","54","2.6%"
"    Nonfamily households","538","47.8%","223","39.0%","315","56.9%","1,618","72.7%","111","79.3%","1,507","72.2%"
"    With children under 18 years","276","24.5%","202","35.3%","74","13.4%","147","6.6%","29","20.7%","118","5.7%"
"        Married-couple family","15","1.3%","5","0.9%","10","1.8%","118","5.3%","0","0.0%","118","5.7%"
"        Other family:","261","23.2%","197","34.4%","64","11.6%","29","1.3%","29","20.7%","0","0.0%"
"            Male householder, no wife present","5","0.4%","0","0.0%","5","0.9%","6","0.3%","6","4.3%","0","0.0%"
"            Female householder, no husband present","256","22.7%","197","34.4%","59","10.6%","23","1.0%","23","16.4%","0","0.0%"
"        Nonfamily households","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"    No children under 18 years","850","75.5%","370","64.7%","480","86.6%","2,080","93.4%","111","79.3%","1,969","94.3%"
"        Married-couple family","106","9.4%","0","0.0%","106","19.1%","408","18.3%","0","0.0%","408","19.5%"
"        Other family:","206","18.3%","147","25.7%","59","10.6%","54","2.4%","0","0.0%","54","2.6%"
"            Male householder, no wife present","21","1.9%","21","3.7%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"            Female householder, no husband present","185","16.4%","126","22.0%","74","10.6%","54","2.4%","0","0.0%","118","2.6%"
"        Nonfamily households","538","47.8%","223","39.0%","315","56.9%","1,618","72.7%","111","79.3%","1,507","72.2%"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","",""
"    Below poverty level","465","41.3%","385","67.3%","80","14.4%","374","16.8%","108","77.1%","266","12.7%"
"    At or above poverty level","661","58.7%","187","32.7%","474","85.6%","1,853","83.2%","32","22.9%","1,821","87.3%"
"DISABILITY STATUS","","","","","","","","","","","",""
"    With one or more people with a disability","412","36.6%","267","46.7%","145","26.2%","467","21.0%","77","55.0%","390","18.7%"
"    With no persons with a disability","714","63.4%","305","53.3%","409","73.8%","1,760","79.0%","63","45.0%","1,697","81.3%"
"RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","",""
"    White alone","148","13.1%","11","1.9%","137","24.7%","1,095","49.2%","15","10.7%","1,080","51.7%"
"    Black or African American alone","937","83.2%","561","98.1%","376","67.9%","878","39.4%","119","85.0%","759","36.4%"
"    American Indian and Alaska Native alone","0","0.0%","0","0.0%","0","0.0%","22","1.0%","6","4.3%","16","0.8%"
"    Asian alone","17","1.5%","0","0.0%","17","3.1%","120","5.4%","0","0.0%","120","5.7%"
"    Native Hawaiian and Other Pacific Islander alone","0","0.0%","0","0.0%","0","0.0%","22","1.0%","0","0.0%","22","1.1%"
"    Some other race alone","9","0.8%","0","0.0%","9","1.6%","11","0.5%","0","0.0%","11","0.5%"
"    Two or more races","15","1.3%","0","0.0%","15","2.7%","79","3.5%","0","0.0%","79","3.8%"
"Hispanic or Latino origin (of any race)","81","7.2%","0","0.0%","81","14.6%","141","6.3%","0","0.0%","141","6.8%"
"White alone, not Hispanic or Latino","112","9.9%","11","1.9%","101","18.2%","1,037","46.6%","15","10.7%","1,022","49.0%"
"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Median income (dollars)","23,485","(X)","9,699","(X)","45,227","(X)","71,985","(X)","-","(X)","81,325","(X)"
"WORK STATUS","","","","","","","","","","","",""
"    Families","588","(X)","349","(X)","239","(X)","609","(X)","29","(X)","580","(X)"
"        No workers in past 12 months","246","41.8%","175","50.1%","71","29.7%","57","9.4%","0","0.0%","57","9.8%"
"        1 worker in past 12 months","190","32.3%","106","30.4%","84","35.1%","118","19.4%","29","100.0%","89","15.3%"
"        2 or more workers in past 12 months","152","25.9%","68","19.5%","84","35.1%","434","71.3%","0","0.0%","434","74.8%"
