"Label (Grouping)","Block Group 1, Census Tract 64, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 64, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 102.01, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 102.01, District of Columbia, District of Columbia!!Estimate","Block Group 3, Census Tract 102.01, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 102.02, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 102.02, District of Columbia, District of Columbia!!Estimate","Block Group 3, Census Tract 102.02, District of Columbia, District of Columbia!!Estimate","Block Group 4, Census Tract 102.02, District of Columbia, District of Columbia!!Estimate","Block Group 5, Census Tract 102.02, District of Columbia, District of Columbia!!Estimate","Block Group 6, Census Tract 102.02, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 3, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 4, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 5, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 110.01, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 110.01, District of Columbia, District of Columbia!!Estimate","Block Group 3, Census Tract 110.01, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 110.02, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 110.02, District of Columbia, District of Columbia!!Estimate"
"Total:","928","603","860","719","496","0","765","0","28","576","0","0","1,957","906","0","459","326","1,233","500","647","351"
"    Income in the past 12 months below poverty level:","246","306","59","28","38","0","75","0","28","9","0","0","151","356","0","71","0","22","20","41","0"
"        With a disability:","82","126","0","0","17","0","0","0","0","0","0","0","63","54","0","19","0","22","0","41","0"
"            In labor force:","13","29","0","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","41","0"
"                In Armed Forces","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"                Civilian:","13","29","0","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","41","0"
"                    Employed","13","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"                    Unemployed","0","11","0","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","41","0"
"            Not in labor force","69","97","0","0","17","0","0","0","0","0","0","0","63","19","0","19","0","22","0","0","0"
"        No disability:","164","180","59","28","21","0","75","0","28","9","0","0","88","302","0","52","0","0","20","0","0"
"            In labor force:","112","122","25","28","0","0","29","0","0","0","0","0","88","66","0","0","0","0","20","0","0"
"                In Armed Forces","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"                Civilian:","112","122","25","28","0","0","29","0","0","0","0","0","88","66","0","0","0","0","20","0","0"
"                    Employed","59","116","25","28","0","0","29","0","0","0","0","0","88","66","0","0","0","0","20","0","0"
"                    Unemployed","53","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"            Not in labor force","52","58","34","0","21","0","46","0","28","9","0","0","0","236","0","52","0","0","0","0","0"
"    Income in the past 12 months at or above poverty level:","682","297","801","691","458","0","690","0","0","567","0","0","1,806","550","0","388","326","1,211","480","606","351"
"        With a disability:","95","68","34","36","0","0","14","0","0","64","0","0","27","63","0","33","40","0","0","63","0"
"            In labor force:","19","35","34","36","0","0","11","0","0","64","0","0","27","63","0","33","0","0","0","63","0"
"                In Armed Forces","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"                Civilian:","19","35","34","36","0","0","11","0","0","64","0","0","27","63","0","33","0","0","0","63","0"
"                    Employed","19","35","34","36","0","0","11","0","0","43","0","0","27","63","0","33","0","0","0","63","0"
"                    Unemployed","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0"
"            Not in labor force","76","33","0","0","0","0","3","0","0","0","0","0","0","0","0","0","40","0","0","0","0"
"        No disability:","587","229","767","655","458","0","676","0","0","503","0","0","1,779","487","0","355","286","1,211","480","543","351"
"            In labor force:","556","200","718","646","458","0","642","0","0","493","0","0","1,749","487","0","332","251","1,197","445","484","351"
"                In Armed Forces","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","52","0","0"
"                Civilian:","533","200","718","646","458","0","642","0","0","493","0","0","1,749","487","0","332","251","1,174","393","484","351"
"                    Employed","486","200","648","646","438","0","642","0","0","493","0","0","1,732","487","0","297","251","1,174","384","484","329"
"                    Unemployed","47","0","70","0","20","0","0","0","0","0","0","0","17","0","0","35","0","0","9","0","22"
"            Not in labor force","31","29","49","9","0","0","34","0","0","10","0","0","30","0","0","23","35","14","35","59","0"
