"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","2,418","±380","1,046","±315","43.3%","±9.8","2,522","±419","153","±91","6.1%","±3.7","1,930","±411","138","±80","7.2%","±4.2","4,027","±613","841","±394","20.9%","±9.1","2,385","±506","64","±64","2.7%","±2.8","1,469","±183","90","±82","6.1%","±5.4"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 18 years","466","±223","317","±193","68.0%","±18.2","211","±239","0","±14","0.0%","±19.1","207","±157","14","±23","6.8%","±15.7","373","±213","157","±211","42.1%","±40.3","65","±72","0","±14","0.0%","±43.3","40","±4","0","±14","0.0%","±55.2"
"            Under 5 years","164","±161","96","±151","58.5%","±49.1","0","±14","0","±14","-","**","163","±159","0","±14","0.0%","±23.8","210","±129","49","±67","23.3%","±31.2","54","±70","0","±14","0.0%","±47.5","40","±4","0","±14","0.0%","±55.2"
"            5 to 17 years","302","±148","221","±127","73.2%","±19.3","211","±239","0","±14","0.0%","±19.1","44","±49","14","±23","31.8%","±38.3","163","±148","108","±144","66.3%","±43.7","11","±21","0","±14","0.0%","±100.0","0","±14","0","±14","-","**"
"            Related children of householder under 18 years","466","±223","317","±193","68.0%","±18.2","211","±239","0","±14","0.0%","±19.1","193","±161","0","±14","0.0%","±20.6","373","±213","157","±211","42.1%","±40.3","65","±72","0","±14","0.0%","±43.3","40","±4","0","±14","0.0%","±55.2"
"        18 to 64 years","1,595","±240","591","±173","37.1%","±9.6","2,076","±292","125","±77","6.0%","±3.8","1,379","±281","112","±74","8.1%","±5.1","3,367","±549","623","±261","18.5%","±7.5","2,059","±536","42","±50","2.0%","±2.5","998","±154","41","±66","4.1%","±6.4"
"            18 to 34 years","782","±192","253","±106","32.4%","±11.9","1,200","±226","107","±76","8.9%","±6.4","671","±284","90","±75","13.4%","±10.5","1,554","±343","340","±212","21.9%","±11.6","941","±377","0","±14","0.0%","±4.7","282","±140","0","±14","0.0%","±14.7"
"            35 to 64 years","813","±189","338","±135","41.6%","±13.6","876","±262","18","±28","2.1%","±3.3","708","±142","22","±26","3.1%","±3.7","1,813","±477","283","±127","15.6%","±8.2","1,118","±404","42","±50","3.8%","±4.9","716","±145","41","±66","5.7%","±8.8"
"        60 years and over","457","±125","153","±63","33.5%","±14.9","309","±141","45","±53","14.6%","±17.0","474","±152","12","±18","2.5%","±3.8","464","±151","61","±65","13.1%","±14.6","451","±167","42","±50","9.3%","±10.9","523","±115","49","±44","9.4%","±8.4"
