"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","630","±196","50","±52","(X)","(X)","79","±79","58.0%","±54.8","765","±177","0","±14","(X)","(X)","0","±57","-","**","612","±251","0","±14","(X)","(X)","0","±71","-","**","1,508","±339","38","±40","(X)","(X)","25","±26","50.0%","±50.0","690","±330","9","±15","(X)","(X)","13","±23","0.0%","±100.0","381","±123","0","±14","(X)","(X)","0","±111","-","**"
"    15 to 19 years","88","±86","0","±14","0.0%","±49.4","0","±371","-","**","0","±14","0","±14","-","**","-","**","-","**","26","±32","0","±14","-","**","0","±684","-","**","25","±33","0","±14","0.0%","±56.6","0","±698","-","**","4","±14","0","±14","0.0%","±100.0","0","±1,000","-","**","0","±14","0","±14","-","**","-","**","-","**"
"    20 to 34 years","340","±137","39","±49","78.0%","±40.3","115","±138","74.4%","±52.3","567","±154","0","±14","-","**","0","±76","-","**","456","±250","0","±14","-","**","0","±94","-","**","743","±232","19","±32","50.0%","±50.0","26","±42","100.0%","±80.1","411","±238","0","±14","0.0%","±100.0","0","±104","-","**","91","±69","0","±14","-","**","0","±364","-","**"
"    35 to 50 years","202","±88","11","±16","22.0%","±40.3","54","±83","0.0%","±100.0","198","±91","0","±14","-","**","0","±202","-","**","130","±66","0","±14","-","**","0","±285","-","**","740","±297","19","±25","50.0%","±50.0","26","±35","0.0%","±80.1","275","±184","9","±15","100.0%","±100.0","33","±57","0.0%","±100.0","290","±127","0","±14","-","**","0","±143","-","**"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race","608","±194","50","±52","100.0%","±49.3","82","±82","58.0%","±54.8","720","±167","0","±14","-","**","0","±61","-","**","576","±246","0","±14","-","**","0","±75","-","**","1,426","±334","38","±40","100.0%","±56.6","27","±28","50.0%","±50.0","690","±330","9","±15","100.0%","±100.0","13","±23","0.0%","±100.0","327","±103","0","±14","-","**","0","±128","-","**"
"            White","153","±66","21","±23","42.0%","±54.8","137","±145","0.0%","±76.1","520","±164","0","±14","-","**","0","±83","-","**","291","±96","0","±14","-","**","0","±143","-","**","861","±292","7","±11","18.4%","±34.7","8","±14","0.0%","±100.0","562","±299","0","±14","0.0%","±100.0","0","±77","-","**","236","±109","0","±14","-","**","0","±173","-","**"
"            Black or African American","433","±186","29","±46","58.0%","±54.8","67","±105","100.0%","±64.8","134","±88","0","±14","-","**","0","±279","-","**","231","±236","0","±14","-","**","0","±176","-","**","429","±174","19","±32","50.0%","±50.0","44","±76","100.0%","±80.1","102","±125","0","±14","0.0%","±100.0","0","±339","-","**","57","±54","0","±14","-","**","0","±462","-","**"
"            American Indian and Alaska Native","0","±14","0","±14","0.0%","±49.4","-","**","-","**","0","±14","0","±14","-","**","-","**","-","**","0","±14","0","±14","-","**","-","**","-","**","0","±14","0","±14","0.0%","±56.6","-","**","-","**","0","±14","0","±14","0.0%","±100.0","-","**","-","**","0","±14","0","±14","-","**","-","**","-","**"
"            Asian","1","±2","0","±14","0.0%","±49.4","0","±1,000","-","**","29","±35","0","±14","-","**","0","±648","-","**","22","±26","0","±14","-","**","0","±744","-","**","103","±60","12","±22","31.6%","±49.0","117","±187","0.0%","±100.0","26","±31","9","±15","100.0%","±100.0","346","±624","0.0%","±100.0","23","±33","0","±14","-","**","0","±728","-","**"
"            Native Hawaiian and Other Pacific Islander","0","±14","0","±14","0.0%","±49.4","-","**","-","**","0","±14","0","±14","-","**","-","**","-","**","0","±14","0","±14","-","**","-","**","-","**","14","±25","0","±14","0.0%","±56.6","0","±933","-","**","0","±14","0","±14","0.0%","±100.0","-","**","-","**","0","±14","0","±14","-","**","-","**","-","**"
"            Some other race","21","±26","0","±14","0.0%","±49.4","0","±761","-","**","37","±58","0","±14","-","**","0","±574","-","**","32","±30","0","±14","-","**","0","±617","-","**","19","±30","0","±14","0.0%","±56.6","0","±801","-","**","0","±14","0","±14","0.0%","±100.0","-","**","-","**","11","±16","0","±14","-","**","0","±1,000","-","**"
"        Two or more races","22","±25","0","±14","0.0%","±49.4","0","±744","-","**","45","±45","0","±14","-","**","0","±520","-","**","36","±49","0","±14","-","**","0","±582","-","**","82","±76","0","±14","0.0%","±56.6","0","±385","-","**","0","±14","0","±14","0.0%","±100.0","-","**","-","**","54","±79","0","±14","-","**","0","±475","-","**"
"        Hispanic or Latino origin (of any race)","21","±26","0","±14","0.0%","±49.4","0","±761","-","**","63","±67","0","±14","-","**","0","±440","-","**","61","±53","0","±14","-","**","0","±447","-","**","130","±113","0","±14","0.0%","±56.6","0","±285","-","**","220","±230","0","±14","0.0%","±100.0","0","±184","-","**","11","±16","0","±14","-","**","0","±1,000","-","**"
"        White alone, not Hispanic or Latino","153","±66","21","±23","42.0%","±54.8","137","±145","0.0%","±76.1","520","±164","0","±14","-","**","0","±83","-","**","262","±109","0","±14","-","**","0","±157","-","**","784","±283","7","±11","18.4%","±34.7","9","±15","0.0%","±100.0","342","±170","0","±14","0.0%","±100.0","0","±123","-","**","236","±109","0","±14","-","**","0","±173","-","**"
"    NATIVITY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Native","629","±196","50","±52","100.0%","±49.3","79","±80","58.0%","±54.8","613","±171","0","±14","-","**","0","±71","-","**","494","±245","0","±14","-","**","0","±87","-","**","1,149","±315","26","±34","68.4%","±49.0","23","±30","73.1%","±52.8","664","±329","0","±14","0.0%","±100.0","0","±65","-","**","340","±119","0","±14","-","**","0","±124","-","**"
