"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","615","±141","33","±33","(X)","(X)","54","±52","100.0%","±51.6","1,263","±215","15","±20","(X)","(X)","12","±16","80.0%","±41.4"
"15 to 19 years","141","±59","0","±12","0.0%","±51.6","0","±204","-","**","40","±61","0","±12","0.0%","±76.6","0","±469","-","**"
"20 to 34 years","328","±83","33","±33","100.0%","±51.6","101","±98","100.0%","±51.6","780","±159","12","±17","80.0%","±41.4","15","±23","100.0%","±85.6"
"35 to 50 years","146","±72","0","±12","0.0%","±51.6","0","±198","-","**","443","±154","3","±8","20.0%","±41.4","7","±17","0.0%","±100.0"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","",""
"    One race","615","±141","33","±33","100.0%","±51.6","54","±52","100.0%","±51.6","1,247","±216","15","±20","100.0%","±76.6","12","±16","80.0%","±41.4"
"        White","94","±48","0","±12","0.0%","±51.6","0","±285","-","**","557","±143","3","±8","20.0%","±41.4","5","±14","0.0%","±100.0"
"        Black or African American","505","±136","33","±33","100.0%","±51.6","65","±63","100.0%","±51.6","629","±216","12","±17","80.0%","±41.4","19","±27","100.0%","±85.6"
"        American Indian and Alaska Native","0","±12","0","±12","0.0%","±51.6","-","**","-","**","0","±12","0","±12","0.0%","±76.6","-","**","-","**"
"        Asian","11","±13","0","±12","0.0%","±51.6","0","±894","-","**","57","±50","0","±12","0.0%","±76.6","0","±393","-","**"
"        Native Hawaiian and Other Pacific Islander","0","±12","0","±12","0.0%","±51.6","-","**","-","**","0","±12","0","±12","0.0%","±76.6","-","**","-","**"
"        Some other race","5","±9","0","±12","0.0%","±51.6","0","±1,000","-","**","4","±7","0","±12","0.0%","±76.6","0","±1,000","-","**"
"    Two or more races","0","±12","0","±12","0.0%","±51.6","-","**","-","**","16","±24","0","±12","0.0%","±76.6","0","±741","-","**"
"Hispanic or Latino origin (of any race)","36","±35","0","±12","0.0%","±51.6","0","±494","-","**","32","±42","0","±12","0.0%","±76.6","0","±524","-","**"
"White alone, not Hispanic or Latino","63","±38","0","±12","0.0%","±51.6","0","±373","-","**","533","±133","3","±8","20.0%","±41.4","6","±15","0.0%","±100.0"
"NATIVITY","","","","","","","","","","","","","","","","","","","",""
"    Native","583","±138","33","±33","100.0%","±51.6","57","±54","100.0%","±51.6","1,043","±186","15","±20","100.0%","±76.6","14","±19","80.0%","±41.4"
"    Foreign born","32","±21","0","±12","0.0%","±51.6","0","±524","-","**","220","±121","0","±12","0.0%","±76.6","0","±137","-","**"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","130","±59","0","±12","0.0%","±51.6","0","±219","-","**","125","±112","8","±16","53.3%","±53.3","64","±139","100.0%","±100.0"
"    High school graduate (includes equivalency)","175","±123","19","±21","57.6%","±49.6","109","±129","100.0%","±68.0","142","±76","4","±8","26.7%","±50.2","28","±61","100.0%","±100.0"
"    Some college or associate's degree","226","±77","14","±24","42.4%","±49.6","62","±101","100.0%","±79.3","134","±121","0","±12","0.0%","±76.6","0","±213","-","**"
"    Bachelor's degree","70","±41","0","±12","0.0%","±51.6","0","±351","-","**","484","±141","3","±8","20.0%","±41.4","6","±16","0.0%","±100.0"
"    Graduate or professional degree","14","±19","0","±12","0.0%","±51.6","0","±793","-","**","378","±148","0","±12","0.0%","±76.6","0","±82","-","**"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","615","±141","33","±33","(X)","(X)","54","±52","100.0%","±51.6","1,263","±215","15","±20","(X)","(X)","12","±16","80.0%","±41.4"
"        Below 100 percent of poverty level","236","±75","33","±33","100.0%","±51.6","140","±126","100.0%","±51.6","237","±119","4","±8","26.7%","±50.2","17","±31","100.0%","±100.0"
"        100 to 199 percent of poverty level","248","±126","0","±12","0.0%","±51.6","0","±123","-","**","62","±49","8","±16","53.3%","±53.3","129","±343","100.0%","±100.0"
"        200 percent or more above poverty level","131","±61","0","±12","0.0%","±51.6","0","±217","-","**","964","±187","3","±8","20.0%","±41.4","3","±8","0.0%","±100.0"
"LABOR FORCE STATUS","","","","","","","","","","","","","","","","","","","",""
"    Women 16 to 50 years","573","±140","33","±33","(X)","(X)","58","±55","100.0%","±51.6","1,263","±215","15","±20","(X)","(X)","12","±16","80.0%","±41.4"
"        In labor force","284","±80","19","±21","57.6%","±49.6","67","±74","100.0%","±68.0","1,038","±187","3","±8","20.0%","±41.4","3","±7","0.0%","±100.0"
"PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"    Women 15 to 50 years","615","±141","33","±33","(X)","(X)","54","±52","100.0%","±51.6","1,263","±215","15","±20","(X)","(X)","12","±16","80.0%","±41.4"
"        Received public assistance income","147","±71","33","±33","100.0%","±51.6","224","±208","100.0%","±51.6","7","±18","0","±12","0.0%","±76.6","0","±1,000","-","**"
"        Did not receive public assistance income","468","±134","0","±12","0.0%","±51.6","0","±67","-","**","1,256","±212","15","±20","100.0%","±76.6","12","±16","80.0%","±41.4"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","",""
"    Marital status","7.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","6.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Fertility","9.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","7.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
