"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","2,569","±306","898","±264","35.0%","±9.0","3,730","±335","903","±458","24.2%","±12.5"
"    AGE","","","","","","","","","","","",""
"        Under 18 years","448","±161","278","±161","62.1%","±21.0","388","±128","234","±224","60.3%","±52.3"
"            Under 5 years","190","±111","72","±82","37.9%","±32.0","146","±105","59","±57","40.4%","±59.6"
"            5 to 17 years","258","±111","206","±118","79.8%","±20.9","242","±129","175","±167","72.3%","±41.5"
"            Related children of householder under 18 years","448","±161","278","±161","62.1%","±21.0","388","±128","234","±224","60.3%","±52.3"
"        18 to 64 years","1,791","±264","513","±183","28.6%","±9.4","3,034","±340","569","±272","18.8%","±9.1"
"            18 to 34 years","848","±197","252","±119","29.7%","±12.6","1,283","±264","295","±199","23.0%","±12.6"
"            35 to 64 years","943","±196","261","±100","27.7%","±10.5","1,751","±372","274","±125","15.6%","±9.2"
"        60 years and over","508","±108","143","±77","28.1%","±14.4","439","±158","177","±121","40.3%","±21.8"
"        65 years and over","330","±69","107","±67","32.4%","±18.7","308","±148","100","±107","32.5%","±27.8"
"    SEX","","","","","","","","","","","",""
"        Male","1,161","±218","352","±143","30.3%","±9.9","1,828","±313","306","±187","16.7%","±11.0"
"        Female","1,408","±213","546","±190","38.8%","±11.2","1,902","±275","597","±343","31.4%","±15.3"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","",""
"        White alone","548","±168","47","±40","8.6%","±7.5","1,505","±270","50","±50","3.3%","±3.2"
"        Black or African American alone","1,950","±294","842","±275","43.2%","±11.5","1,782","±288","757","±460","42.5%","±23.0"
"        American Indian and Alaska Native alone","0","±12","0","±12","-","**","0","±12","0","±12","-","**"
"        Asian alone","30","±44","0","±12","0.0%","±56.2","189","±180","0","±12","0.0%","±16.8"
"        Native Hawaiian and Other Pacific Islander alone","0","±12","0","±12","-","**","37","±32","0","±12","0.0%","±50.6"
"        Some other race alone","23","±26","9","±14","39.1%","±59.3","49","±63","0","±12","0.0%","±44.0"
"        Two or more races","18","±30","0","±12","0.0%","±72.5","168","±125","96","±112","57.1%","±38.7"
"        Hispanic or Latino origin (of any race)","109","±52","21","±24","19.3%","±21.7","235","±115","0","±12","0.0%","±13.8"
"        White alone, not Hispanic or Latino","502","±159","35","±34","7.0%","±6.8","1,409","±258","50","±50","3.5%","±3.4"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"        Population 25 years and over","1,889","±226","570","±150","30.2%","±8.0","3,101","±311","494","±177","15.9%","±6.4"
"            Less than high school graduate","448","±107","290","±107","64.7%","±13.6","246","±113","153","±100","62.2%","±26.2"
"            High school graduate (includes equivalency)","469","±110","166","±94","35.4%","±17.9","260","±163","40","±46","15.4%","±20.6"
"            Some college, associate's degree","296","±95","77","±54","26.0%","±15.5","442","±178","105","±107","23.8%","±24.9"
"            Bachelor's degree or higher","676","±197","37","±36","5.5%","±5.6","2,153","±265","196","±133","9.1%","±6.0"
"    EMPLOYMENT STATUS","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","1,311","±211","258","±96","19.7%","±7.4","2,628","±364","230","±132","8.8%","±5.2"
"            Employed","1,096","±202","125","±57","11.4%","±5.1","2,402","±319","182","±125","7.6%","±5.2"
"                Male","541","±147","49","±47","9.1%","±8.0","1,301","±290","121","±122","9.3%","±9.2"
"                Female","555","±136","76","±46","13.7%","±8.0","1,101","±160","61","±25","5.5%","±2.3"
"            Unemployed","215","±112","133","±83","61.9%","±31.0","226","±122","48","±47","21.2%","±23.4"
"                Male","122","±102","63","±66","51.6%","±47.2","54","±66","0","±12","0.0%","±41.9"
"                Female","93","±58","70","±53","75.3%","±26.7","172","±112","48","±47","27.9%","±34.7"
"    WORK EXPERIENCE","","","","","","","","","","","",""
"        Population 16 years and over","2,152","±258","641","±174","29.8%","±8.0","3,410","±285","719","±313","21.1%","±9.4"
"            Worked full-time, year-round in the past 12 months","808","±185","19","±24","2.4%","±3.0","2,122","±283","86","±79","4.1%","±3.8"
"            Worked part-time or part-year in the past 12 months","384","±127","175","±78","45.6%","±16.9","502","±238","104","±105","20.7%","±19.0"
"            Did not work","960","±224","447","±144","46.6%","±14.6","786","±277","529","±283","67.3%","±20.2"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","",""
"        50 percent of poverty level","513","±226","(X)","(X)","(X)","(X)","306","±193","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","1,108","±300","(X)","(X)","(X)","(X)","903","±458","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","1,145","±309","(X)","(X)","(X)","(X)","999","±369","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","1,228","±316","(X)","(X)","(X)","(X)","1,056","±377","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","1,334","±314","(X)","(X)","(X)","(X)","1,157","±295","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","1,655","±329","(X)","(X)","(X)","(X)","1,371","±320","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","1,854","±336","(X)","(X)","(X)","(X)","1,685","±325","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","1,992","±324","(X)","(X)","(X)","(X)","1,958","±343","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","922","±195","250","±88","27.1%","±9.5","2,081","±241","440","±164","21.1%","±7.9"
"    Male","441","±153","100","±61","22.7%","±12.6","1,136","±244","231","±159","20.3%","±13.1"
"    Female","481","±124","150","±77","31.2%","±13.9","945","±168","209","±97","22.1%","±8.9"
"    15 years","0","±12","0","±12","-","**","0","±12","0","±12","-","**"
"    16 to 17 years","0","±12","0","±12","-","**","0","±12","0","±12","-","**"
"    18 to 24 years","31","±29","10","±15","32.3%","±51.1","73","±51","33","±34","45.2%","±32.2"
"    25 to 34 years","279","±123","40","±38","14.3%","±13.1","695","±177","120","±118","17.3%","±15.2"
"    35 to 44 years","185","±142","56","±54","30.3%","±32.6","536","±243","20","±30","3.7%","±6.1"
"    45 to 54 years","102","±72","21","±26","20.6%","±24.7","223","±123","48","±54","21.5%","±21.2"
"    55 to 64 years","150","±66","28","±33","18.7%","±20.8","279","±124","119","±80","42.7%","±20.9"
"    65 to 74 years","76","±52","41","±47","53.9%","±37.4","146","±84","37","±44","25.3%","±25.4"
"    75 years and over","99","±49","54","±44","54.5%","±30.9","129","±123","63","±97","48.8%","±51.2"
"    Mean income deficit for unrelated individuals (dollars)","6,122","±1,830","(X)","(X)","(X)","(X)","5,735","±1,439","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","466","±156","12","±21","2.6%","±4.5","1,318","±246","44","±62","3.3%","±4.6"
"    Worked less than full-time, year-round in the past 12 months","195","±85","94","±53","48.2%","±22.9","331","±175","104","±105","31.4%","±26.5"
"    Did not work","261","±85","144","±70","55.2%","±20.9","432","±162","292","±138","67.6%","±19.7"
