"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Margin of Error"
"Total:","2,395","±375","2,522","±419","1,930","±411","3,997","±611","2,353","±502","1,469","±183"
"    Below 100 percent of the poverty level","1,046","±315","153","±91","138","±80","841","±394","64","±64","90","±82"
"    100 to 149 percent of the poverty level","224","±111","75","±50","287","±375","71","±63","0","±14","40","±36"
"    At or above 150 percent of the poverty level","1,125","±272","2,294","±427","1,505","±213","3,085","±572","2,289","±504","1,339","±177"
"    Same house 1 year ago:","1,971","±363","1,935","±414","1,443","±413","3,071","±511","2,156","±512","1,252","±177"
"        Below 100 percent of the poverty level","975","±274","81","±66","57","±69","757","±376","64","±64","90","±82"
"        100 to 149 percent of the poverty level","224","±111","45","±51","287","±375","62","±64","0","±14","40","±36"
"        At or above 150 percent of the poverty level","772","±257","1,809","±417","1,099","±218","2,252","±407","2,092","±512","1,122","±175"
"    Moved within same county:","178","±107","275","±106","243","±112","640","±433","137","±146","147","±71"
"        Below 100 percent of the poverty level","0","±14","6","±9","29","±44","0","±14","0","±14","0","±14"
"        100 to 149 percent of the poverty level","0","±14","15","±23","0","±14","0","±14","0","±14","0","±14"
"        At or above 150 percent of the poverty level","178","±107","254","±102","214","±108","640","±433","137","±146","147","±71"
"    Moved from different county within same state:","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"        Below 100 percent of the poverty level","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"        100 to 149 percent of the poverty level","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"        At or above 150 percent of the poverty level","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"    Moved from different state:","187","±99","275","±117","214","±114","249","±149","38","±46","70","±62"
"        Below 100 percent of the poverty level","12","±20","66","±57","25","±25","63","±100","0","±14","0","±14"
"        100 to 149 percent of the poverty level","0","±14","15","±17","0","±14","9","±15","0","±14","0","±14"
"        At or above 150 percent of the poverty level","175","±97","194","±118","189","±122","177","±110","38","±46","70","±62"
"    Moved from abroad:","59","±77","37","±35","30","±35","37","±41","22","±32","0","±14"
"        Below 100 percent of the poverty level","59","±77","0","±14","27","±33","21","±31","0","±14","0","±14"
"        100 to 149 percent of the poverty level","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"        At or above 150 percent of the poverty level","0","±14","37","±35","3","±9","16","±25","22","±32","0","±14"
