"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","564","±118","31","±34","(X)","(X)","55","±61","100.0%","±55.3","1,209","±202","14","±18","(X)","(X)","12","±14","42.9%","±57.1"
"15 to 19 years","101","±54","0","±12","0.0%","±55.3","0","±285","-","**","21","±34","0","±12","0.0%","±82.3","0","±672","-","**"
"20 to 34 years","265","±87","31","±34","100.0%","±55.3","117","±129","100.0%","±55.3","836","±152","6","±10","42.9%","±57.1","7","±12","100.0%","±100.0"
"35 to 50 years","198","±88","0","±12","0.0%","±55.3","0","±161","-","**","352","±144","8","±13","57.1%","±57.1","23","±37","0.0%","±100.0"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","",""
"    One race","564","±118","31","±34","100.0%","±55.3","55","±61","100.0%","±55.3","1,191","±200","14","±18","100.0%","±82.2","12","±14","42.9%","±57.1"
"        White","42","±40","0","±12","0.0%","±55.3","0","±475","-","**","614","±167","8","±13","57.1%","±57.1","13","±22","0.0%","±100.0"
"        Black or African American","503","±108","31","±34","100.0%","±55.3","62","±68","100.0%","±55.3","509","±179","6","±10","42.9%","±57.1","12","±17","100.0%","±100.0"
"        American Indian and Alaska Native","0","±12","0","±12","0.0%","±55.3","-","**","-","**","0","±12","0","±12","0.0%","±82.3","-","**","-","**"
"        Asian","11","±13","0","±12","0.0%","±55.3","0","±928","-","**","62","±50","0","±12","0.0%","±82.3","0","±391","-","**"
"        Native Hawaiian and Other Pacific Islander","0","±12","0","±12","0.0%","±55.3","-","**","-","**","0","±12","0","±12","0.0%","±82.3","-","**","-","**"
"        Some other race","8","±13","0","±12","0.0%","±55.3","0","±1,000","-","**","6","±9","0","±12","0.0%","±82.3","0","±1,000","-","**"
"    Two or more races","0","±12","0","±12","0.0%","±55.3","-","**","-","**","18","±30","0","±12","0.0%","±82.3","0","±725","-","**"
"Hispanic or Latino origin (of any race)","30","±35","0","±12","0.0%","±55.3","0","±562","-","**","51","±49","0","±12","0.0%","±82.3","0","±431","-","**"
"White alone, not Hispanic or Latino","20","±22","0","±12","0.0%","±55.3","0","±688","-","**","587","±165","8","±13","57.1%","±57.1","14","±23","0.0%","±100.0"
"NATIVITY","","","","","","","","","","","","","","","","","","","",""
"    Native","551","±119","31","±34","100.0%","±55.3","56","±62","100.0%","±55.3","1,002","±212","14","±18","100.0%","±82.2","14","±17","42.9%","±57.1"
"    Foreign born","13","±14","0","±12","0.0%","±55.3","0","±854","-","**","207","±134","0","±12","0.0%","±82.3","0","±155","-","**"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","116","±60","0","±12","0.0%","±55.3","0","±256","-","**","96","±80","3","±8","21.4%","±49.1","31","±87","100.0%","±100.0"
"    High school graduate (includes equivalency)","169","±69","15","±20","48.4%","±51.6","89","±114","100.0%","±79.5","143","±66","3","±7","21.4%","±48.7","21","±48","100.0%","±100.0"
"    Some college or associate's degree","226","±90","16","±27","51.6%","±51.6","71","±121","100.0%","±76.9","67","±65","0","±12","0.0%","±82.3","0","±376","-","**"
"    Bachelor's degree","42","±34","0","±12","0.0%","±55.3","0","±475","-","**","523","±166","8","±13","57.1%","±57.1","15","±25","0.0%","±100.0"
"    Graduate or professional degree","11","±18","0","±12","0.0%","±55.3","0","±928","-","**","380","±123","0","±12","0.0%","±82.3","0","±88","-","**"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","564","±118","31","±34","(X)","(X)","55","±61","100.0%","±55.3","1,209","±202","14","±18","(X)","(X)","12","±14","42.9%","±57.1"
"        Below 100 percent of poverty level","227","±79","31","±34","100.0%","±55.3","137","±133","100.0%","±55.3","191","±91","3","±7","21.4%","±48.7","16","±35","100.0%","±100.0"
"        100 to 199 percent of poverty level","246","±91","0","±12","0.0%","±55.3","0","±132","-","**","44","±48","3","±8","21.4%","±49.1","68","±191","100.0%","±100.0"
"        200 percent or more above poverty level","91","±64","0","±12","0.0%","±55.3","0","±309","-","**","974","±193","8","±13","57.1%","±57.1","8","±13","0.0%","±100.0"
"LABOR FORCE STATUS","","","","","","","","","","","","","","","","","","","",""
"    Women 16 to 50 years","519","±106","31","±34","(X)","(X)","60","±66","100.0%","±55.3","1,209","±202","14","±18","(X)","(X)","12","±14","42.9%","±57.1"
"        In labor force","332","±97","15","±20","48.4%","±51.6","45","±62","100.0%","±79.5","1,033","±199","8","±13","57.1%","±57.1","8","±13","0.0%","±100.0"
