"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Margin of Error"
"Total:","2,469","±461","2,522","±419","1,960","±413","3,997","±611","2,353","±502","1,519","±183"
"    Native","2,382","±463","2,170","±423","1,609","±417","3,419","±599","2,227","±516","1,320","±181"
"    Foreign born:","87","±88","352","±145","351","±158","578","±222","126","±92","199","±91"
"        Naturalized U.S. citizen","30","±34","198","±106","183","±132","208","±93","117","±93","167","±87"
"        Not a U.S. citizen","57","±84","154","±103","168","±90","370","±214","9","±14","32","±44"
"    Same house 1 year ago:","2,045","±442","1,935","±414","1,473","±411","3,071","±511","2,156","±512","1,284","±176"
"        Native","1,958","±442","1,627","±396","1,241","±419","2,550","±483","2,030","±527","1,099","±172"
"        Foreign born:","87","±88","308","±135","232","±136","521","±225","126","±92","185","±87"
"            Naturalized U.S. citizen","30","±34","166","±99","93","±105","174","±90","117","±93","153","±83"
"            Not a U.S. citizen","57","±84","142","±96","139","±84","347","±214","9","±14","32","±44"
"    Moved within same county:","178","±107","275","±106","243","±112","640","±433","137","±146","147","±71"
"        Native","178","±107","255","±109","214","±105","606","±427","137","±146","133","±58"
"        Foreign born:","0","±14","20","±34","29","±33","34","±40","0","±14","14","±24"
"            Naturalized U.S. citizen","0","±14","20","±34","12","±21","34","±40","0","±14","14","±24"
"            Not a U.S. citizen","0","±14","0","±14","17","±27","0","±14","0","±14","0","±14"
"    Moved from different county within same state:","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"        Native","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"        Foreign born:","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"            Naturalized U.S. citizen","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"            Not a U.S. citizen","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"    Moved from different state:","187","±99","275","±117","214","±114","249","±149","38","±46","85","±67"
"        Native","187","±99","251","±116","136","±74","235","±147","38","±46","85","±67"
"        Foreign born:","0","±14","24","±28","78","±85","14","±23","0","±14","0","±14"
"            Naturalized U.S. citizen","0","±14","12","±20","78","±85","0","±14","0","±14","0","±14"
"            Not a U.S. citizen","0","±14","12","±19","0","±14","14","±23","0","±14","0","±14"
"    Moved from abroad:","59","±77","37","±35","30","±35","37","±41","22","±32","3","±8"
"        Native","59","±77","37","±35","18","±29","28","±34","22","±32","3","±8"
"        Foreign born:","0","±14","0","±14","12","±16","9","±14","0","±14","0","±14"
"            Naturalized U.S. citizen","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"            Not a U.S. citizen","0","±14","0","±14","12","±16","9","±14","0","±14","0","±14"
