"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","2,488","±265","1,229","±281","49.4%","±8.9","3,624","±298","781","±264","21.6%","±6.7"
"    AGE","","","","","","","","","","","",""
"        Under 18 years","491","±166","372","±170","75.8%","±16.2","346","±169","164","±169","47.4%","±35.5"
"            Under 5 years","164","±110","107","±98","65.2%","±34.5","152","±81","38","±40","25.0%","±27.5"
"            5 to 17 years","327","±111","265","±116","81.0%","±16.2","194","±146","126","±129","64.9%","±39.8"
"            Related children of householder under 18 years","491","±166","372","±170","75.8%","±16.2","346","±169","164","±169","47.4%","±35.5"
"        18 to 64 years","1,710","±232","753","±198","44.0%","±10.2","2,951","±239","528","±171","17.9%","±5.8"
"            18 to 34 years","928","±209","405","±149","43.6%","±13.4","1,319","±196","308","±143","23.4%","±10.0"
"            35 to 64 years","782","±120","348","±94","44.5%","±10.5","1,632","±258","220","±87","13.5%","±5.7"
"        60 years and over","457","±97","172","±69","37.6%","±13.1","479","±127","165","±96","34.4%","±18.7"
"        65 years and over","287","±74","104","±60","36.2%","±16.2","327","±101","89","±77","27.2%","±23.7"
"    SEX","","","","","","","","","","","",""
"        Male","1,038","±204","547","±183","52.7%","±11.5","1,860","±225","279","±144","15.0%","±7.4"
"        Female","1,450","±165","682","±170","47.0%","±9.1","1,764","±230","502","±198","28.5%","±9.9"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","",""
"        White alone","338","±118","47","±39","13.9%","±12.0","1,594","±244","63","±52","4.0%","±3.1"
"        Black or African American alone","2,128","±272","1,173","±283","55.1%","±10.2","1,488","±340","628","±251","42.2%","±13.7"
"        American Indian and Alaska Native alone","9","±15","9","±15","100.0%","±100.0","0","±12","0","±12","-","**"
"        Asian alone","0","±12","0","±12","-","**","198","±221","0","±12","0.0%","±16.1"
"        Native Hawaiian and Other Pacific Islander alone","0","±12","0","±12","-","**","36","±40","0","±12","0.0%","±51.3"
"        Some other race alone","13","±21","0","±12","0.0%","±85.4","60","±84","0","±12","0.0%","±39.7"
"        Two or more races","0","±12","0","±12","-","**","248","±171","90","±103","36.3%","±34.5"
"        Hispanic or Latino origin (of any race)","121","±54","9","±16","7.4%","±13.0","269","±158","0","±12","0.0%","±12.2"
"        White alone, not Hispanic or Latino","290","±105","38","±35","13.1%","±11.8","1,515","±232","63","±52","4.2%","±3.2"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"        Population 25 years and over","1,678","±169","718","±147","42.8%","±7.7","3,062","±227","480","±152","15.7%","±4.9"
"            Less than high school graduate","443","±95","315","±98","71.1%","±12.2","254","±110","136","±71","53.5%","±24.6"
"            High school graduate (includes equivalency)","468","±113","228","±79","48.7%","±13.5","198","±123","54","±63","27.3%","±27.1"
"            Some college, associate's degree","319","±100","115","±63","36.1%","±14.5","376","±165","94","±81","25.0%","±19.1"
"            Bachelor's degree or higher","448","±128","60","±40","13.4%","±9.2","2,234","±245","196","±116","8.8%","±5.2"
"    EMPLOYMENT STATUS","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","1,025","±176","312","±96","30.4%","±8.4","2,521","±243","218","±110","8.6%","±4.3"
"            Employed","817","±149","148","±59","18.1%","±7.3","2,308","±259","162","±111","7.0%","±4.7"
"                Male","324","±87","37","±37","11.4%","±10.6","1,269","±212","105","±107","8.3%","±7.9"
"                Female","493","±113","111","±51","22.5%","±10.1","1,039","±210","57","±33","5.5%","±3.3"
"            Unemployed","208","±104","164","±83","78.8%","±24.4","213","±107","56","±41","26.3%","±20.9"
"                Male","140","±89","103","±68","73.6%","±33.9","61","±64","6","±10","9.8%","±25.8"
"                Female","68","±48","61","±47","89.7%","±18.2","152","±90","50","±40","32.9%","±27.2"
"    WORK EXPERIENCE","","","","","","","","","","","",""
"        Population 16 years and over","2,035","±220","885","±198","43.5%","±8.7","3,311","±225","650","±187","19.6%","±5.6"
"            Worked full-time, year-round in the past 12 months","605","±144","16","±21","2.6%","±3.5","1,988","±272","64","±60","3.2%","±2.9"
"            Worked part-time or part-year in the past 12 months","299","±82","196","±69","65.6%","±14.4","533","±183","112","±101","21.0%","±17.2"
"            Did not work","1,131","±215","673","±184","59.5%","±13.7","790","±194","474","±161","60.0%","±14.7"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","",""
"        50 percent of poverty level","558","±205","(X)","(X)","(X)","(X)","310","±135","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","1,426","±285","(X)","(X)","(X)","(X)","781","±264","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","1,546","±267","(X)","(X)","(X)","(X)","813","±253","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","1,640","±275","(X)","(X)","(X)","(X)","865","±257","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","1,717","±274","(X)","(X)","(X)","(X)","899","±255","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","1,925","±263","(X)","(X)","(X)","(X)","1,135","±326","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","2,021","±271","(X)","(X)","(X)","(X)","1,416","±329","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","2,125","±279","(X)","(X)","(X)","(X)","1,716","±384","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","691","±147","272","±83","39.4%","±11.6","1,906","±247","460","±162","24.1%","±7.5"
"    Male","301","±107","136","±63","45.2%","±17.0","1,047","±209","227","±139","21.7%","±11.9"
"    Female","390","±105","136","±62","34.9%","±12.8","859","±179","233","±104","27.1%","±10.3"
"    15 years","0","±12","0","±12","-","**","0","±12","0","±12","-","**"
"    16 to 17 years","0","±12","0","±12","-","**","0","±12","0","±12","-","**"
"    18 to 24 years","20","±18","9","±13","45.0%","±55.0","96","±57","44","±39","45.8%","±30.2"
"    25 to 34 years","218","±101","39","±38","17.9%","±17.5","702","±189","171","±123","24.4%","±14.5"
"    35 to 44 years","69","±56","26","±30","37.7%","±38.2","318","±123","0","±12","0.0%","±10.4"
"    45 to 54 years","87","±48","48","±36","55.2%","±36.0","219","±100","37","±44","16.9%","±18.9"
"    55 to 64 years","158","±68","75","±48","47.5%","±22.4","315","±90","119","±69","37.8%","±20.0"
"    65 to 74 years","67","±50","41","±45","61.2%","±34.9","137","±80","34","±39","24.8%","±27.1"
"    75 years and over","72","±42","34","±32","47.2%","±28.8","119","±107","55","±76","46.2%","±50.2"
"    Mean income deficit for unrelated individuals (dollars)","6,425","±1,256","(X)","(X)","(X)","(X)","6,653","±1,640","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","289","±125","9","±16","3.1%","±5.7","1,189","±227","34","±51","2.9%","±4.1"
"    Worked less than full-time, year-round in the past 12 months","113","±62","68","±49","60.2%","±27.5","269","±128","112","±101","41.6%","±25.7"
"    Did not work","289","±79","195","±65","67.5%","±14.1","448","±138","314","±123","70.1%","±18.9"
