"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","2,165","±252","1,034","±318","47.8%","±12.4","3,660","±401","373","±171","10.2%","±4.7"
"AGE","","","","","","","","","","","",""
"    Under 18 years","571","±146","337","±166","59.0%","±22.0","111","±84","45","±52","40.5%","±35.0"
"        Related children under 18 years","571","±146","337","±166","59.0%","±22.0","111","±84","45","±52","40.5%","±35.0"
"    18 to 64 years","1,465","±250","642","±237","43.8%","±12.6","3,154","±380","293","±138","9.3%","±4.5"
"    65 years and over","129","±56","55","±38","42.6%","±21.2","395","±99","35","±45","8.9%","±11.0"
"SEX","","","","","","","","","","","",""
"    Male","985","±180","413","±166","41.9%","±15.5","1,818","±316","183","±101","10.1%","±5.5"
"    Female","1,180","±169","621","±192","52.6%","±12.8","1,842","±248","190","±103","10.3%","±5.3"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","",""
"    One race","2,165","±252","1,034","±318","47.8%","±12.4","3,544","±395","373","±171","10.5%","±4.8"
"        White","83","±62","0","±12","0.0%","±32.9","1,748","±332","27","±31","1.5%","±1.8"
"        Black or African American","1,928","±281","996","±317","51.7%","±13.3","1,405","±399","346","±176","24.6%","±11.0"
"        American Indian and Alaska Native","12","±19","12","±19","100.0%","±88.8","30","±37","0","±12","0.0%","±56.2"
"        Asian","142","±157","26","±40","18.3%","±29.3","310","±144","0","±12","0.0%","±10.7"
"        Native Hawaiian and Other Pacific Islander","0","±12","0","±12","-","**","0","±12","0","±12","-","**"
"        Some other race","0","±12","0","±12","-","**","51","±57","0","±12","0.0%","±43.1"
"    Two or more races","0","±12","0","±12","-","**","116","±88","0","±12","0.0%","±25.6"
"Hispanic or Latino origin (of any race)","11","±17","0","±12","0.0%","±92.8","242","±130","13","±22","5.4%","±8.8"
"White alone, not Hispanic or Latino","83","±62","0","±12","0.0%","±32.9","1,641","±292","27","±31","1.6%","±1.9"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 25 years and over","1,364","±184","566","±176","41.5%","±11.3","3,091","±316","283","±131","9.2%","±4.3"
"        Less than high school graduate","365","±110","177","±84","48.5%","±14.5","141","±90","99","±76","70.2%","±27.1"
"        High school graduate (includes equivalency)","441","±109","231","±98","52.4%","±16.5","477","±188","128","±111","26.8%","±21.7"
"        Some college, associate's degree","301","±110","106","±55","35.2%","±16.6","399","±129","40","±52","10.0%","±12.3"
"        Bachelor's degree or higher","257","±104","52","±42","20.2%","±16.5","2,074","±312","16","±25","0.8%","±1.2"
"EMPLOYMENT STATUS","","","","","","","","","","","",""
