"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","756","±178","75","±61","(X)","(X)","99","±79","80.0%","±24.2","1,298","±291","46","±51","(X)","(X)","35","±40","50.0%","±50.0"
"    15 to 19 years","56","±47","0","±12","0.0%","±35.2","0","±411","-","**","77","±76","0","±12","0.0%","±45.4","0","±346","-","**"
"    20 to 34 years","469","±149","66","±58","88.0%","±17.5","141","±115","90.9%","±19.5","646","±168","23","±37","50.0%","±50.0","36","±56","100.0%","±64.2"
"    35 to 50 years","231","±108","9","±13","12.0%","±17.5","39","±60","0.0%","±100.0","575","±174","23","±35","50.0%","±50.0","40","±61","0.0%","±64.2"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","",""
"        One race","736","±180","75","±61","100.0%","±35.2","102","±80","80.0%","±24.2","1,260","±287","46","±51","100.0%","±45.4","37","±41","50.0%","±50.0"
"            White","218","±71","15","±17","20.0%","±24.2","69","±77","0.0%","±79.5","648","±161","23","±35","50.0%","±50.0","35","±51","0.0%","±64.2"
"            Black or African American","508","±163","60","±57","80.0%","±24.2","118","±111","100.0%","±39.7","484","±245","23","±37","50.0%","±50.0","48","±80","100.0%","±64.2"
"            American Indian and Alaska Native","0","±12","0","±12","0.0%","±35.2","-","**","-","**","0","±12","0","±12","0.0%","±45.4","-","**","-","**"
"            Asian","0","±12","0","±12","0.0%","±35.2","-","**","-","**","120","±71","0","±12","0.0%","±45.4","0","±249","-","**"
"            Native Hawaiian and Other Pacific Islander","0","±12","0","±12","0.0%","±35.2","-","**","-","**","8","±14","0","±12","0.0%","±45.4","0","±1,000","-","**"
"            Some other race","10","±15","0","±12","0.0%","±35.2","0","±973","-","**","0","±12","0","±12","0.0%","±45.4","-","**","-","**"
"        Two or more races","20","±24","0","±12","0.0%","±35.2","0","±688","-","**","38","±38","0","±12","0.0%","±45.4","0","±499","-","**"
"        Hispanic or Latino origin (of any race)","42","±34","0","±12","0.0%","±35.2","0","±475","-","**","50","±44","0","±12","0.0%","±45.4","0","±435","-","**"
"        White alone, not Hispanic or Latino","186","±67","15","±17","20.0%","±24.2","81","±90","0.0%","±79.5","598","±151","23","±35","50.0%","±50.0","38","±55","0.0%","±64.2"
"    NATIVITY","","","","","","","","","","","","","","","","","","","",""
"        Native","747","±176","75","±61","100.0%","±35.2","100","±79","80.0%","±24.2","1,085","±264","46","±51","100.0%","±45.4","42","±49","50.0%","±50.0"
"        Foreign born","9","±15","0","±12","0.0%","±35.2","0","±1,000","-","**","213","±103","0","±12","0.0%","±45.4","0","±151","-","**"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","",""
"        Less than high school graduate","196","±103","18","±28","24.0%","±36.2","92","±150","100.0%","±72.5","228","±159","23","±37","50.0%","±50.0","101","±169","100.0%","±64.2"
"        High school graduate (includes equivalency)","128","±91","14","±23","18.7%","±26.5","109","±200","100.0%","±82.2","96","±73","0","±12","0.0%","±45.4","0","±297","-","**"
"        Some college or associate's degree","176","±96","28","±42","37.3%","±46.4","159","±240","100.0%","±58.2","70","±87","0","±12","0.0%","±45.4","0","±367","-","**"
"        Bachelor's degree","177","±109","15","±17","20.0%","±24.2","85","±110","0.0%","±79.5","432","±115","0","±12","0.0%","±45.4","0","±78","-","**"
"        Graduate or professional degree","79","±49","0","±12","0.0%","±35.2","0","±340","-","**","472","±135","23","±35","50.0%","±50.0","49","±75","0.0%","±64.2"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","756","±178","75","±61","(X)","(X)","99","±79","80.0%","±24.2","1,298","±291","46","±51","(X)","(X)","35","±40","50.0%","±50.0"
"        Below 100 percent of poverty level","318","±122","18","±28","24.0%","±36.2","57","±89","100.0%","±72.5","347","±210","0","±12","0.0%","±45.4","0","±96","-","**"
"        100 to 199 percent of poverty level","110","±89","14","±23","18.7%","±26.5","127","±224","100.0%","±82.2","14","±22","0","±12","0.0%","±45.4","0","±823","-","**"
"        200 percent or more above poverty level","328","±134","43","±45","57.3%","±39.6","131","±131","65.1%","±53.0","937","±198","46","±51","100.0%","±45.4","49","±54","50.0%","±50.0"
"LABOR FORCE STATUS","","","","","","","","","","","","","","","","","","","",""
"    Women 16 to 50 years","756","±178","75","±61","(X)","(X)","99","±79","80.0%","±24.2","1,298","±291","46","±51","(X)","(X)","35","±40","50.0%","±50.0"
"        In labor force","464","±134","69","±61","92.0%","±17.2","149","±117","87.0%","±19.6","1,025","±209","23","±37","50.0%","±50.0","22","±36","100.0%","±64.2"
"PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"    Women 15 to 50 years","756","±178","75","±61","(X)","(X)","99","±79","80.0%","±24.2","1,298","±291","46","±51","(X)","(X)","35","±40","50.0%","±50.0"
"        Received public assistance income","126","±69","0","±12","0.0%","±35.2","0","±239","-","**","0","±12","0","±12","0.0%","±45.4","-","**","-","**"
"        Did not receive public assistance income","630","±180","75","±61","100.0%","±35.2","119","±93","80.0%","±24.2","1,298","±291","46","±51","100.0%","±45.4","35","±40","50.0%","±50.0"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","",""
"    Marital status","14.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","4.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Fertility","12.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","6.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
