"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate"
"Occupied housing units","1,319","1,319","260","260","1,059","1,059","1,728","1,728","136","136","1,592","1,592","1,158","1,158","578","578","580","580","2,402","2,402","793","793","1,609","1,609","1,459","1,459","673","673","786","786","1,077","1,077","806","806","271","271"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $5,000","144","10.9%","0","0.0%","144","13.6%","67","3.9%","0","0.0%","67","4.2%","19","1.6%","0","0.0%","19","3.3%","69","2.9%","0","0.0%","69","4.3%","22","1.5%","0","0.0%","22","2.8%","59","5.5%","18","2.2%","41","15.1%"
"        $5,000 to $9,999","163","12.4%","0","0.0%","163","15.4%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","77","3.2%","21","2.6%","56","3.5%","20","1.4%","0","0.0%","20","2.5%","31","2.9%","0","0.0%","31","11.4%"
"        $10,000 to $14,999","210","15.9%","18","6.9%","192","18.1%","90","5.2%","0","0.0%","90","5.7%","2","0.2%","2","0.3%","0","0.0%","130","5.4%","0","0.0%","130","8.1%","22","1.5%","22","3.3%","0","0.0%","14","1.3%","14","1.7%","0","0.0%"
"        $15,000 to $19,999","58","4.4%","9","3.5%","49","4.6%","24","1.4%","0","0.0%","24","1.5%","0","0.0%","0","0.0%","0","0.0%","75","3.1%","0","0.0%","75","4.7%","0","0.0%","0","0.0%","0","0.0%","26","2.4%","26","3.2%","0","0.0%"
"        $20,000 to $24,999","55","4.2%","0","0.0%","55","5.2%","15","0.9%","0","0.0%","15","0.9%","226","19.5%","71","12.3%","155","26.7%","16","0.7%","16","2.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"        $25,000 to $34,999","68","5.2%","7","2.7%","61","5.8%","57","3.3%","0","0.0%","57","3.6%","32","2.8%","9","1.6%","23","4.0%","38","1.6%","0","0.0%","38","2.4%","94","6.4%","0","0.0%","94","12.0%","25","2.3%","13","1.6%","12","4.4%"
"        $35,000 to $49,999","68","5.2%","20","7.7%","48","4.5%","126","7.3%","0","0.0%","126","7.9%","3","0.3%","3","0.5%","0","0.0%","208","8.7%","15","1.9%","193","12.0%","75","5.1%","23","3.4%","52","6.6%","30","2.8%","10","1.2%","20","7.4%"
"        $50,000 to $74,999","118","8.9%","58","22.3%","60","5.7%","315","18.2%","0","0.0%","315","19.8%","167","14.4%","94","16.3%","73","12.6%","316","13.2%","79","10.0%","237","14.7%","235","16.1%","116","17.2%","119","15.1%","185","17.2%","107","13.3%","78","28.8%"
"        $75,000 to $99,999","143","10.8%","11","4.2%","132","12.5%","276","16.0%","57","41.9%","219","13.8%","74","6.4%","39","6.7%","35","6.0%","328","13.7%","146","18.4%","182","11.3%","93","6.4%","70","10.4%","23","2.9%","137","12.7%","137","17.0%","0","0.0%"
