"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","483","±106","33","±35","(X)","(X)","68","±71","48.5%","±51.5","1,287","±190","24","±27","(X)","(X)","19","±21","62.5%","±43.7"
"15 to 19 years","18","±29","0","±95","0.0%","±55.5","0","±751","-","**","54","±51","0","±95","0.0%","±65.0","0","±433","-","**"
"20 to 34 years","146","±83","17","±26","51.5%","±51.5","116","±162","0.0%","±77.3","834","±181","15","±20","62.5%","±43.7","18","±25","100.0%","±82.2"
"35 to 50 years","319","±82","16","±24","48.5%","±51.5","50","±74","100.0%","±79.6","399","±130","9","±15","37.5%","±43.7","23","±38","0.0%","±100.0"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","",""
"    One race","483","±106","33","±35","100.0%","±55.5","68","±71","48.5%","±51.5","1,287","±190","24","±27","100.0%","±65.0","19","±21","62.5%","±43.7"
"        White","30","±37","0","±95","0.0%","±55.5","0","±582","-","**","536","±149","9","±15","37.5%","±43.7","17","±27","0.0%","±100.0"
"        Black or African American","436","±106","16","±24","48.5%","±51.5","37","±53","100.0%","±79.6","544","±175","15","±20","62.5%","±43.7","28","±38","100.0%","±82.2"
"        American Indian and Alaska Native","0","±95","0","±95","0.0%","±55.5","-","**","-","**","0","±95","0","±95","0.0%","±65.0","-","**","-","**"
"        Asian","17","±26","17","±26","51.5%","±51.5","1,000","±773","0.0%","±77.3","201","±118","0","±95","0.0%","±65.0","0","±169","-","**"
"        Native Hawaiian and Other Pacific Islander","0","±95","0","±95","0.0%","±55.5","-","**","-","**","0","±95","0","±95","0.0%","±65.0","-","**","-","**"
"        Some other race","0","±95","0","±95","0.0%","±55.5","-","**","-","**","6","±10","0","±95","0.0%","±65.0","0","±1,000","-","**"
"    Two or more races","0","±95","0","±95","0.0%","±55.5","-","**","-","**","0","±95","0","±95","0.0%","±65.0","-","**","-","**"
"Hispanic or Latino origin (of any race)","0","±95","0","±95","0.0%","±55.5","-","**","-","**","67","±42","0","±95","0.0%","±65.0","0","±389","-","**"
"White alone, not Hispanic or Latino","30","±37","0","±95","0.0%","±55.5","0","±582","-","**","488","±149","9","±15","37.5%","±43.7","18","±30","0.0%","±100.0"
"NATIVITY","","","","","","","","","","","","","","","","","","","",""
"    Native","466","±106","16","±24","48.5%","±51.5","34","±50","100.0%","±79.6","1,049","±199","24","±27","100.0%","±65.0","23","±26","62.5%","±43.7"
"    Foreign born","17","±26","17","±26","51.5%","±51.5","1,000","±773","0.0%","±77.3","238","±143","0","±95","0.0%","±65.0","0","±145","-","**"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","124","±63","16","±24","48.5%","±51.5","129","±184","100.0%","±79.6","96","±100","9","±18","37.5%","±49.8","94","±179","100.0%","±100.0"
"    High school graduate (includes equivalency)","223","±85","0","±95","0.0%","±55.5","0","±154","-","**","219","±109","6","±11","25.0%","±48.3","27","±50","100.0%","±100.0"
"    Some college or associate's degree","76","±68","0","±95","0.0%","±55.5","0","±364","-","**","87","±73","0","±95","0.0%","±65.0","0","±334","-","**"
"    Bachelor's degree","0","±95","0","±95","0.0%","±55.5","-","**","-","**","551","±196","9","±15","37.5%","±43.7","16","±27","0.0%","±100.0"
"    Graduate or professional degree","60","±52","17","±26","51.5%","±51.5","283","±369","0.0%","±77.3","334","±136","0","±95","0.0%","±65.0","0","±106","-","**"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","483","±106","33","±35","(X)","(X)","68","±71","48.5%","±51.5","1,287","±190","24","±27","(X)","(X)","19","±21","62.5%","±43.7"
"    Below 100 percent of poverty level","207","±88","0","±95","0.0%","±55.5","0","±165","-","**","253","±113","6","±11","25.0%","±48.3","24","±44","100.0%","±100.0"
"    100 to 199 percent of poverty level","127","±83","0","±95","0.0%","±55.5","0","±251","-","**","61","±60","9","±18","37.5%","±49.8","148","±316","100.0%","±100.0"
"    200 percent or more above poverty level","149","±78","33","±35","100.0%","±55.5","221","±234","48.5%","±51.5","973","±207","9","±15","37.5%","±43.7","9","±15","0.0%","±100.0"
"LABOR FORCE STATUS","","","","","","","","","","","","","","","","","","","",""
"    Women 16 to 50 years","465","±100","33","±35","(X)","(X)","71","±74","48.5%","±51.5","1,267","±189","24","±27","(X)","(X)","19","±22","62.5%","±43.7"
"    In labor force","330","±102","33","±35","100.0%","±55.5","100","±108","48.5%","±51.5","1,140","±203","9","±15","37.5%","±43.7","8","±13","0.0%","±100.0"
"PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"    Women 15 to 50 years","483","±106","33","±35","(X)","(X)","68","±71","48.5%","±51.5","1,287","±190","24","±27","(X)","(X)","19","±21","62.5%","±43.7"
"    Received public assistance income","124","±75","0","±95","0.0%","±55.5","0","±256","-","**","24","±24","0","±95","0.0%","±65.0","0","±650","-","**"
"    Did not receive public assistance income","359","±121","33","±35","100.0%","±55.5","92","±98","48.5%","±51.5","1,263","±186","24","±27","100.0%","±65.0","19","±22","62.5%","±43.7"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","",""
"    Marital status","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Fertility","5.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","3.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
