"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","582","±107","33","±26","(X)","(X)","57","±46","66.7%","±56.7","1,216","±244","14","±24","(X)","(X)","12","±18","50.0%","±50.0"
"15 to 19 years","93","±52","0","±12","0.0%","±53.6","0","±304","-","**","24","±40","0","±12","0.0%","±82.3","0","±628","-","**"
"20 to 34 years","222","±82","33","±26","100.0%","±53.6","149","±118","66.7%","±56.7","886","±215","7","±19","50.0%","±50.0","8","±20","100.0%","±100.0"
"35 to 50 years","267","±82","0","±12","0.0%","±53.6","0","±123","-","**","306","±137","7","±12","50.0%","±50.0","23","±41","0.0%","±100.0"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","",""
"    One race","582","±107","33","±26","100.0%","±53.6","57","±46","66.7%","±56.7","1,192","±245","14","±24","100.0%","±82.2","12","±19","50.0%","±50.0"
"        White","42","±44","0","±12","0.0%","±53.6","0","±475","-","**","615","±165","7","±12","50.0%","±50.0","11","±20","0.0%","±100.0"
"        Black or African American","517","±114","22","±26","66.7%","±56.7","43","±52","100.0%","±65.6","443","±190","7","±19","50.0%","±50.0","16","±36","100.0%","±100.0"
"        American Indian and Alaska Native","0","±12","0","±12","0.0%","±53.6","-","**","-","**","0","±12","0","±12","0.0%","±82.3","-","**","-","**"
"        Asian","23","±22","11","±18","33.3%","±56.7","478","±499","0.0%","±92.8","127","±97","0","±12","0.0%","±82.3","0","±238","-","**"
"        Native Hawaiian and Other Pacific Islander","0","±12","0","±12","0.0%","±53.6","-","**","-","**","0","±12","0","±12","0.0%","±82.3","-","**","-","**"
"        Some other race","0","±12","0","±12","0.0%","±53.6","-","**","-","**","7","±11","0","±12","0.0%","±82.3","0","±1,000","-","**"
"    Two or more races","0","±12","0","±12","0.0%","±53.6","-","**","-","**","24","±30","0","±12","0.0%","±82.3","0","±628","-","**"
"Hispanic or Latino origin (of any race)","0","±12","0","±12","0.0%","±53.6","-","**","-","**","51","±43","0","±12","0.0%","±82.3","0","±431","-","**"
"White alone, not Hispanic or Latino","42","±44","0","±12","0.0%","±53.6","0","±475","-","**","591","±161","7","±12","50.0%","±50.0","12","±21","0.0%","±100.0"
"NATIVITY","","","","","","","","","","","","","","","","","","","",""
"    Native","559","±110","22","±26","66.7%","±56.7","39","±48","100.0%","±65.6","984","±214","14","±24","100.0%","±82.2","14","±22","50.0%","±50.0"
"    Foreign born","23","±22","11","±18","33.3%","±56.7","478","±499","0.0%","±92.8","232","±142","0","±12","0.0%","±82.3","0","±140","-","**"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","156","±65","0","±12","0.0%","±53.6","0","±199","-","**","85","±84","3","±13","21.4%","±78.6","35","±132","100.0%","±100.0"
"    High school graduate (includes equivalency)","196","±80","7","±11","21.2%","±29.2","36","±62","100.0%","±100.0","147","±58","4","±10","28.6%","±55.2","27","±66","100.0%","±100.0"
"    Some college or associate's degree","166","±75","15","±23","45.5%","±54.5","90","±137","100.0%","±79.5","47","±48","0","±12","0.0%","±82.3","0","±449","-","**"
"    Bachelor's degree","16","±20","0","±12","0.0%","±53.6","0","±769","-","**","577","±178","7","±12","50.0%","±50.0","12","±21","0.0%","±100.0"
"    Graduate or professional degree","48","±47","11","±18","33.3%","±56.7","229","±391","0.0%","±92.8","360","±164","0","±12","0.0%","±82.3","0","±93","-","**"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","582","±107","33","±26","(X)","(X)","57","±46","66.7%","±56.7","1,216","±244","14","±24","(X)","(X)","12","±18","50.0%","±50.0"
"        Below 100 percent of poverty level","299","±106","22","±26","66.7%","±56.7","74","±87","100.0%","±65.6","138","±83","4","±10","28.6%","±55.2","29","±67","100.0%","±100.0"
"        100 to 199 percent of poverty level","190","±92","0","±12","0.0%","±53.6","0","±168","-","**","23","±30","3","±13","21.4%","±78.6","130","±437","100.0%","±100.0"
"        200 percent or more above poverty level","93","±52","11","±18","33.3%","±56.7","118","±181","0.0%","±92.8","1,055","±226","7","±12","50.0%","±50.0","7","±11","0.0%","±100.0"
"LABOR FORCE STATUS","","","","","","","","","","","","","","","","","","","",""
"    Women 16 to 50 years","509","±96","33","±26","(X)","(X)","65","±53","66.7%","±56.7","1,216","±244","14","±24","(X)","(X)","12","±18","50.0%","±50.0"
"        In labor force","316","±81","18","±21","54.5%","±54.5","57","±67","38.9%","±58.4","1,066","±231","7","±12","50.0%","±50.0","7","±11","0.0%","±100.0"
"PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"    Women 15 to 50 years","582","±107","33","±26","(X)","(X)","57","±46","66.7%","±56.7","1,216","±244","14","±24","(X)","(X)","12","±18","50.0%","±50.0"
"        Received public assistance income","148","±63","22","±26","66.7%","±56.7","149","±158","100.0%","±65.6","12","±22","0","±12","0.0%","±82.3","0","±888","-","**"
"        Did not receive public assistance income","434","±114","11","±18","33.3%","±56.7","25","±41","0.0%","±92.8","1,204","±242","14","±24","100.0%","±82.2","12","±19","50.0%","±50.0"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","",""
"    Marital status","1.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","8.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Fertility","5.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","10.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
