"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Number!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","736","±148","43","±36","(X)","(X)","58","±48","100.0%","±46.9","1,267","±173","10","±18","(X)","(X)","8","±14","0.0%","±97.3"
"    15 to 19 years","119","±59","0","±12","0.0%","±46.9","0","±251","-","**","33","±34","0","±12","0.0%","±97.3","0","±536","-","**"
"    20 to 34 years","442","±115","43","±36","100.0%","±46.9","97","±78","100.0%","±46.9","707","±139","0","±12","0.0%","±97.3","0","±48","-","**"
"    35 to 50 years","175","±70","0","±12","0.0%","±46.9","0","±180","-","**","527","±159","10","±18","100.0%","±97.3","19","±33","0.0%","±97.3"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","",""
"        One race","736","±148","43","±36","100.0%","±46.9","58","±48","100.0%","±46.9","1,245","±175","10","±18","100.0%","±97.3","8","±14","0.0%","±97.3"
"            White","172","±67","0","±12","0.0%","±46.9","0","±183","-","**","572","±160","10","±18","100.0%","±97.3","17","±31","0.0%","±97.3"
"            Black or African American","560","±136","43","±36","100.0%","±46.9","77","±63","100.0%","±46.9","538","±179","0","±12","0.0%","±97.3","0","±63","-","**"
"            American Indian and Alaska Native","0","±12","0","±12","0.0%","±46.9","-","**","-","**","0","±12","0","±12","0.0%","±97.3","-","**","-","**"
"            Asian","0","±12","0","±12","0.0%","±46.9","-","**","-","**","121","±111","0","±12","0.0%","±97.3","0","±247","-","**"
"            Native Hawaiian and Other Pacific Islander","0","±12","0","±12","0.0%","±46.9","-","**","-","**","14","±23","0","±12","0.0%","±97.3","0","±823","-","**"
"            Some other race","4","±7","0","±12","0.0%","±46.9","0","±1,000","-","**","0","±12","0","±12","0.0%","±97.3","-","**","-","**"
"        Two or more races","0","±12","0","±12","0.0%","±46.9","-","**","-","**","22","±36","0","±12","0.0%","±97.3","0","±656","-","**"
"        Hispanic or Latino origin (of any race)","52","±36","0","±12","0.0%","±46.9","0","±427","-","**","81","±59","0","±12","0.0%","±97.3","0","±335","-","**"
"        White alone, not Hispanic or Latino","124","±53","0","±12","0.0%","±46.9","0","±242","-","**","513","±139","10","±18","100.0%","±97.3","19","±34","0.0%","±97.3"
"    NATIVITY","","","","","","","","","","","","","","","","","","","",""
"        Native","715","±148","43","±36","100.0%","±46.9","60","±49","100.0%","±46.9","917","±173","10","±18","100.0%","±97.3","11","±19","0.0%","±97.3"
"        Foreign born","21","±25","0","±12","0.0%","±46.9","0","±672","-","**","350","±134","0","±12","0.0%","±97.3","0","±95","-","**"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","",""
"        Less than high school graduate","221","±99","19","±30","44.2%","±51.8","86","±135","100.0%","±70.6","176","±125","0","±12","0.0%","±97.3","0","±179","-","**"
"        High school graduate (includes equivalency)","180","±122","24","±23","55.8%","±51.8","133","±156","100.0%","±62.8","90","±73","0","±12","0.0%","±97.3","0","±311","-","**"
