Label (Grouping),HOUSEHOLD INCOME,All households,With earnings,With wages or salary income,With self-employment income,"With interest, dividends, or net rental income",With Social Security income,With Supplemental Security Income (SSI),With cash public assistance income or Food Stamps/SNAP,With cash public assistance,With retirement income,With other types of income,FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY,All families,No workers,1 worker,"2 workers, husband and wife worked","2 workers, other","3 or more workers, husband and wife worked","3 or more workers, other",PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN,Total population,One race--,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino"
2010 Census Tract 105 Mean Income,,77633.00,85845.00,,,5237.00,12982.00,9470.00,,2084.00,19933.00,,,100372.00,N,N,N,N,N,N,,47236.00,,69855.00,28974.00,-,66206.00,-,21092.00,43028.00,40177.00,76722.00
2011 Census Tract 105 Mean Income,,81546.00,91663.00,,,5234.00,12128.00,8616.00,,3661.00,21875.00,,,108576.00,N,N,N,N,N,N,,50540.00,,78338.00,26723.00,-,70398.00,-,35193.00,36271.00,64273.00,80585.00
2012 Census Tract 105 Mean Income,,84809.00,95391.00,,,6495.00,12612.00,7267.00,,8130.00,23775.00,,,109101.00,N,N,N,N,N,N,,50829.00,,66199.00,29333.00,N,86025.00,-,38128.00,49773.00,59905.00,68007.00
2013 Census Tract 105 Mean Income,,85047.00,95244.00,,,4404.00,11822.00,7374.00,,10889.00,34277.00,,,122469.00,N,N,N,N,N,N,,54742.00,,64670.00,34757.00,N,87635.00,-,40020.00,56928.00,67630.00,64871.00
2014 Census Tract 105 Mean Income ,,89551.00,100420.00,,,4095.00,11388.00,6845.00,,13674.00,45632.00,,,136790.00,N,N,N,N,N,N,,60020.00,,66555.00,45819.00,N,92212.00,-,39622.00,90563.00,73476.00,66808.00
2015 Census Tract 105 Mean Income,,87647.00,96469.00,,,7814.00,13943.00,5920.00,,N,53861.00,,,117652.00,N,N,N,N,N,N,,58591.00,,66504.00,44869.00,N,94428.00,N,49588.00,88557.00,53927.00,66316.00
2016 Census Tract 105 Mean Income,,92305.00,104909.00,,,7577.00,11409.00,6752.00,,N,57972.00,,,132386.00,N,N,N,N,N,N,,59308.00,,70486.00,44245.00,N,59059.00,N,N,69180.00,63018.00,70198.00
2017 Census Tract 105 Mean Income,,95779.00,108073.00,104967.00,38279.00,7736.00,11246.00,6664.00,(X),-,51556.00,7320.00,,130572.00,N,N,N,N,N,N,,60293.00,,80435.00,42731.00,-,49406.00,N,N,37277.00,59788.00,79701.00
2018 Census Tract 105 Mean Income,,98048.00,112710.00,112050.00,22350.00,8450.00,10408.00,6838.00,(X),-,39131.00,5685.00,,138894.00,N,N,N,N,N,N,,60935.00,,88252.00,39626.00,-,54681.00,N,79569.00,39682.00,70283.00,87238.00
2019 Census Tract 105 Mean Income,,100920.00,114153.00,112502.00,21887.00,12347.00,11721.00,7952.00,(X),N,33866.00,5158.00,,128631.00,N,N,N,N,N,N,,58713.00,,79739.00,33496.00,-,82557.00,N,75666.00,28125.00,70828.00,78162.00
2020 Census Tract 105 Mean Income,,111009.00,125183.00,123744.00,15483.00,7644.00,11679.00,7957.00,(X),N,20950.00,6432.00,,164225.00,N,N,N,N,N,N,,63984.00,,83170.00,31585.00,-,96640.00,N,N,24572.00,66782.00,81645.00
