"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","1,147","±75","1,147","±75","171","±64","171","±64","976","±90","976","±90","2,258","±120","2,258","±120","865","±157","865","±157","1,393","±190","1,393","±190"
"    RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race --","","","","","","","","","","","","","","","","","","","","","","","",""
"            White","196","±62","17.1%","±5.3","51","±42","29.8%","±19.5","145","±50","14.9%","±5.1","1,148","±157","50.8%","±7.1","572","±128","66.1%","±10.8","576","±137","41.3%","±8.7"
"            Black or African American","942","±89","82.1%","±5.5","120","±50","70.2%","±19.5","822","±92","84.2%","±5.4","870","±178","38.5%","±7.5","235","±103","27.2%","±10.3","635","±163","45.6%","±10.0"
"            American Indian and Alaska Native","0","±12","0.0%","±3.0","0","±12","0.0%","±18.4","0","±12","0.0%","±3.5","0","±12","0.0%","±1.5","0","±12","0.0%","±4.0","0","±12","0.0%","±2.5"
"            Asian","0","±12","0.0%","±3.0","0","±12","0.0%","±18.4","0","±12","0.0%","±3.5","67","±67","3.0%","±3.0","32","±36","3.7%","±4.1","35","±56","2.5%","±4.0"
"            Native Hawaiian and Other Pacific Islander","0","±12","0.0%","±3.0","0","±12","0.0%","±18.4","0","±12","0.0%","±3.5","36","±40","1.6%","±1.8","14","±23","1.6%","±2.6","22","±35","1.6%","±2.5"
"            Some other race","9","±15","0.8%","±1.3","0","±12","0.0%","±18.4","9","±15","0.9%","±1.5","12","±20","0.5%","±0.9","12","±20","1.4%","±2.3","0","±12","0.0%","±2.5"
"        Two or more races","0","±12","0.0%","±3.0","0","±12","0.0%","±18.4","0","±12","0.0%","±3.5","125","±109","5.5%","±4.7","0","±12","0.0%","±4.0","125","±109","9.0%","±7.4"
"        Hispanic or Latino origin","97","±45","8.5%","±3.8","30","±25","17.5%","±14.2","67","±39","6.9%","±3.9","146","±82","6.5%","±3.5","53","±49","6.1%","±5.3","93","±68","6.7%","±4.8"
