"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","1,163","±120","1,163","±120","218","±62","218","±62","945","±114","945","±114","1,556","±240","1,556","±240","196","±184","196","±184","1,360","±171","1,360","±171","870","±244","870","±244","511","±169","511","±169","359","±194","359","±194","2,153","±270","2,153","±270","768","±203","768","±203","1,385","±251","1,385","±251","1,395","±193","1,395","±193","612","±176","612","±176","783","±211","783","±211","1,205","±169","1,205","±169","812","±173","812","±173","393","±187","393","±187"
"    HOUSEHOLD SIZE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        1-person household","575","±112","49.4%","±8.1","141","±60","64.7%","±16.6","434","±90","45.9%","±8.5","1,054","±248","67.7%","±10.0","178","±183","90.8%","±17.7","876","±181","64.4%","±10.4","459","±175","52.8%","±15.7","350","±168","68.5%","±13.4","109","±51","30.4%","±19.5","1,226","±219","56.9%","±7.8","354","±144","46.1%","±14.0","872","±174","63.0%","±11.2","729","±188","52.3%","±13.5","369","±158","60.3%","±15.4","360","±158","46.0%","±20.3","795","±181","66.0%","±10.5","507","±133","62.4%","±11.0","288","±178","73.3%","±21.6"
"        2-person household","382","±88","32.8%","±8.0","58","±35","26.6%","±14.7","324","±87","34.3%","±9.2","418","±140","26.9%","±8.8","8","±15","4.1%","±10.3","410","±139","30.1%","±9.6","296","±190","34.0%","±16.9","106","±50","20.7%","±11.1","190","±188","52.9%","±27.6","677","±194","31.4%","±7.7","315","±138","41.0%","±14.9","362","±159","26.1%","±9.4","480","±199","34.4%","±12.4","207","±109","33.8%","±15.7","273","±176","34.9%","±18.4","382","±133","31.7%","±10.6","277","±116","34.1%","±11.3","105","±84","26.7%","±21.6"
"        3-person household","95","±57","8.2%","±4.9","18","±16","8.3%","±7.9","77","±55","8.1%","±5.8","49","±46","3.1%","±3.1","10","±20","5.1%","±12.4","39","±41","2.9%","±3.1","53","±49","6.1%","±6.2","19","±31","3.7%","±6.2","34","±37","9.5%","±12.0","170","±111","7.9%","±5.1","57","±58","7.4%","±7.4","113","±99","8.2%","±6.8","186","±165","13.3%","±11.8","36","±31","5.9%","±5.5","150","±155","19.2%","±19.0","28","±31","2.3%","±2.6","28","±31","3.4%","±3.9","0","±13","0.0%","±9.7"
"        4-or-more-person household","111","±84","9.5%","±6.8","1","±3","0.5%","±1.3","110","±84","11.6%","±8.2","35","±56","2.2%","±3.5","0","±13","0.0%","±18.4","35","±56","2.6%","±4.0","62","±29","7.1%","±3.8","36","±18","7.0%","±4.2","26","±26","7.2%","±8.9","80","±66","3.7%","±3.0","42","±38","5.5%","±4.8","38","±57","2.7%","±4.1","0","±13","0.0%","±2.8","0","±13","0.0%","±6.3","0","±13","0.0%","±5.0","0","±13","0.0%","±3.3","0","±13","0.0%","±4.8","0","±13","0.0%","±9.7"
"    OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        1.00 or less occupants per room","1,163","±120","100.0%","±3.4","218","±62","100.0%","±16.7","945","±114","100.0%","±4.1","1,542","±245","99.1%","±1.3","196","±184","100.0%","±18.4","1,346","±178","99.0%","±1.5","870","±244","100.0%","±4.5","511","±169","100.0%","±7.5","359","±194","100.0%","±10.5","2,105","±271","97.8%","±2.4","768","±203","100.0%","±5.1","1,337","±249","96.5%","±3.7","1,347","±204","96.6%","±5.5","564","±173","92.2%","±11.8","783","±211","100.0%","±5.0","1,205","±169","100.0%","±3.3","812","±173","100.0%","±4.8","393","±187","100.0%","±9.7"
"        1.01 to 1.50 occupants per room","0","±13","0.0%","±3.4","0","±13","0.0%","±16.7","0","±13","0.0%","±4.1","0","±13","0.0%","±2.5","0","±13","0.0%","±18.4","0","±13","0.0%","±2.9","0","±13","0.0%","±4.5","0","±13","0.0%","±7.5","0","±13","0.0%","±10.5","6","±31","0.3%","±1.4","0","±13","0.0%","±5.1","6","±31","0.4%","±2.2","0","±13","0.0%","±2.8","0","±13","0.0%","±6.3","0","±13","0.0%","±5.0","0","±13","0.0%","±3.3","0","±13","0.0%","±4.8","0","±13","0.0%","±9.7"
"        1.51 or more occupants per room","0","±13","0.0%","±3.4","0","±13","0.0%","±16.7","0","±13","0.0%","±4.1","14","±20","0.9%","±1.3","0","±13","0.0%","±18.4","14","±20","1.0%","±1.5","0","±13","0.0%","±4.5","0","±13","0.0%","±7.5","0","±13","0.0%","±10.5","42","±38","2.0%","±1.8","0","±13","0.0%","±5.1","42","±38","3.0%","±2.7","48","±76","3.4%","±5.5","48","±76","7.8%","±11.8","0","±13","0.0%","±5.0","0","±13","0.0%","±3.3","0","±13","0.0%","±4.8","0","±13","0.0%","±9.7"
"    HOUSEHOLD TYPE (INCLUDING LIVING ALONE) AND AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Family households","524","±113","45.1%","±8.1","77","±36","35.3%","±16.6","447","±108","47.3%","±8.4","256","±110","16.5%","±7.2","18","±26","9.2%","±17.7","238","±100","17.5%","±7.4","291","±192","33.4%","±16.9","127","±52","24.9%","±12.3","164","±187","45.7%","±30.9","619","±214","28.8%","±8.6","287","±130","37.4%","±13.2","332","±195","24.0%","±11.8","455","±193","32.6%","±13.4","230","±104","37.6%","±15.1","225","±172","28.7%","±20.9","310","±112","25.7%","±9.8","281","±109","34.6%","±11.4","29","±33","7.4%","±9.7"
