"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","1,317","±89","1,317","±89","196","±65","196","±65","1,121","±103","1,121","±103","2,242","±156","2,242","±156","767","±152","767","±152","1,475","±183","1,475","±183"
"    HOUSEHOLD SIZE","","","","","","","","","","","","","","","","","","","","","","","",""
"        1-person household","566","±119","43.0%","±7.8","117","±57","59.7%","±18.2","449","±110","40.1%","±8.3","1,340","±196","59.8%","±7.4","360","±121","46.9%","±14.0","980","±194","66.4%","±9.7"
"        2-person household","517","±121","39.3%","±9.3","58","±38","29.6%","±16.5","459","±115","40.9%","±10.4","692","±170","30.9%","±7.2","335","±132","43.7%","±14.0","357","±129","24.2%","±8.1"
"        3-person household","127","±70","9.6%","±5.3","21","±20","10.7%","±10.8","106","±66","9.5%","±5.8","115","±76","5.1%","±3.4","35","±41","4.6%","±5.2","80","±67","5.4%","±4.7"
"        4-or-more-person household","107","±64","8.1%","±4.8","0","±12","0.0%","±16.3","107","±64","9.5%","±5.6","95","±67","4.2%","±3.0","37","±42","4.8%","±5.6","58","±57","3.9%","±4.0"
"    OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","","","","","",""
"        1.00 or less occupants per room","1,317","±89","100.0%","±2.6","196","±65","100.0%","±16.3","1,121","±103","100.0%","±3.1","2,174","±163","97.0%","±2.1","767","±152","100.0%","±4.5","1,407","±183","95.4%","±3.2"
"        1.01 to 1.50 occupants per room","0","±12","0.0%","±2.6","0","±12","0.0%","±16.3","0","±12","0.0%","±3.1","28","±32","1.2%","±1.4","0","±12","0.0%","±4.5","28","±32","1.9%","±2.2"
"        1.51 or more occupants per room","0","±12","0.0%","±2.6","0","±12","0.0%","±16.3","0","±12","0.0%","±3.1","40","±35","1.8%","±1.6","0","±12","0.0%","±4.5","40","±35","2.7%","±2.3"
"    HOUSEHOLD TYPE (INCLUDING LIVING ALONE) AND AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","",""
"        Family households","637","±93","48.4%","±7.3","79","±41","40.3%","±18.2","558","±93","49.8%","±7.7","591","±163","26.4%","±7.1","282","±128","36.8%","±13.1","309","±129","20.9%","±8.7"
"            Married-couple family","134","±54","10.2%","±4.2","74","±39","37.8%","±17.0","60","±44","5.4%","±3.9","422","±148","18.8%","±6.4","254","±124","33.1%","±13.0","168","±112","11.4%","±7.3"
"                Householder 15 to 34 years","33","±30","2.5%","±2.3","25","±27","12.8%","±13.7","8","±13","0.7%","±1.1","135","±93","6.0%","±4.2","37","±42","4.8%","±5.4","98","±79","6.6%","±5.4"
"                Householder 35 to 64 years","43","±35","3.3%","±2.6","24","±18","12.2%","±9.1","19","±31","1.7%","±2.7","263","±118","11.7%","±5.1","193","±102","25.2%","±11.3","70","±81","4.7%","±5.3"
"                Householder 65 years and over","58","±51","4.4%","±3.9","25","±32","12.8%","±15.3","33","±35","2.9%","±3.1","24","±36","1.1%","±1.6","24","±36","3.1%","±4.4","0","±12","0.0%","±2.3"
"            Other family","503","±82","38.2%","±6.1","5","±7","2.6%","±3.9","498","±82","44.4%","±7.0","169","±92","7.5%","±4.2","28","±33","3.7%","±4.2","141","±85","9.6%","±6.0"
"                Male householder, no spouse present","35","±34","2.7%","±2.6","5","±7","2.6%","±3.9","30","±34","2.7%","±3.0","1","±4","0.0%","±0.2","0","±12","0.0%","±4.5","1","±4","0.1%","±0.2"
"                    Householder 15 to 34 years","0","±12","0.0%","±2.6","0","±12","0.0%","±16.3","0","±12","0.0%","±3.1","1","±4","0.0%","±0.2","0","±12","0.0%","±4.5","1","±4","0.1%","±0.2"
"                    Householder 35 to 64 years","35","±34","2.7%","±2.6","5","±7","2.6%","±3.9","30","±34","2.7%","±3.0","0","±12","0.0%","±1.5","0","±12","0.0%","±4.5","0","±12","0.0%","±2.3"
"                    Householder 65 years and over","0","±12","0.0%","±2.6","0","±12","0.0%","±16.3","0","±12","0.0%","±3.1","0","±12","0.0%","±1.5","0","±12","0.0%","±4.5","0","±12","0.0%","±2.3"
"                Female householder, no spouse present","468","±85","35.5%","±6.4","0","±12","0.0%","±16.3","468","±85","41.7%","±7.3","168","±92","7.5%","±4.2","28","±33","3.7%","±4.2","140","±85","9.5%","±6.0"
"                    Householder 15 to 34 years","111","±66","8.4%","±5.1","0","±12","0.0%","±16.3","111","±66","9.9%","±5.9","12","±20","0.5%","±0.9","0","±12","0.0%","±4.5","12","±20","0.8%","±1.4"
"                    Householder 35 to 64 years","321","±96","24.4%","±7.0","0","±12","0.0%","±16.3","321","±96","28.6%","±8.2","120","±74","5.4%","±3.3","13","±23","1.7%","±3.0","107","±72","7.3%","±5.1"
"                    Householder 65 years and over","36","±45","2.7%","±3.4","0","±12","0.0%","±16.3","36","±45","3.2%","±4.0","36","±42","1.6%","±1.9","15","±24","2.0%","±3.1","21","±35","1.4%","±2.4"
"        Nonfamily households","680","±118","51.6%","±7.3","117","±57","59.7%","±18.2","563","±108","50.2%","±7.7","1,651","±201","73.6%","±7.1","485","±119","63.2%","±13.1","1,166","±205","79.1%","±8.7"
"            Householder living alone","566","±119","43.0%","±7.8","117","±57","59.7%","±18.2","449","±110","40.1%","±8.3","1,340","±196","59.8%","±7.4","360","±121","46.9%","±14.0","980","±194","66.4%","±9.7"
"                Householder 15 to 34 years","142","±68","10.8%","±5.1","0","±12","0.0%","±16.3","142","±68","12.7%","±6.0","451","±151","20.1%","±6.4","161","±81","21.0%","±10.0","290","±145","19.7%","±9.1"
"                Householder 35 to 64 years","223","±86","16.9%","±6.1","94","±55","48.0%","±19.1","129","±70","11.5%","±5.8","654","±162","29.2%","±6.9","164","±91","21.4%","±11.2","490","±153","33.2%","±9.9"
"                Householder 65 years and over","201","±73","15.3%","±5.4","23","±17","11.7%","±8.6","178","±71","15.9%","±6.2","235","±104","10.5%","±4.7","35","±41","4.6%","±5.3","200","±105","13.6%","±7.0"
"            Householder not living alone","114","±53","8.7%","±4.0","0","±12","0.0%","±16.3","114","±53","10.2%","±4.7","311","±101","13.9%","±4.5","125","±70","16.3%","±9.4","186","±85","12.6%","±5.5"
