"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","1,319","±124","1,319","±124","260","±96","260","±96","1,059","±117","1,059","±117","1,728","±204","1,728","±204","136","±77","136","±77","1,592","±213","1,592","±213","1,158","±246","1,158","±246","578","±157","578","±157","580","±247","580","±247","2,402","±291","2,402","±291","793","±181","793","±181","1,609","±281","1,609","±281","1,459","±215","1,459","±215","673","±186","673","±186","786","±242","786","±242","1,077","±117","1,077","±117","806","±117","806","±117","271","±111","271","±111"
"    RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race --","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            White","334","±79","25.3%","±6.5","82","±51","31.5%","±17.8","252","±68","23.8%","±6.9","942","±196","54.5%","±10.6","111","±76","81.6%","±21.4","831","±188","52.2%","±11.2","600","±162","51.8%","±14.9","338","±142","58.5%","±13.7","262","±93","45.2%","±22.3","1,213","±239","50.5%","±7.7","522","±140","65.8%","±12.2","691","±217","42.9%","±10.1","830","±203","56.9%","±8.8","413","±111","61.4%","±15.2","417","±228","53.1%","±19.5","753","±155","69.9%","±11.8","520","±125","64.5%","±13.0","233","±114","86.0%","±18.9"
"            Black or African American","923","±149","70.0%","±6.9","161","±89","61.9%","±19.7","762","±132","72.0%","±7.3","555","±222","32.1%","±11.4","14","±22","10.3%","±16.3","541","±220","34.0%","±12.0","412","±237","35.6%","±15.4","164","±41","28.4%","±9.7","248","±235","42.8%","±26.1","825","±194","34.3%","±7.3","172","±97","21.7%","±10.4","653","±186","40.6%","±10.0","516","±160","35.4%","±10.1","221","±154","32.8%","±16.4","295","±145","37.5%","±18.2","197","±101","18.3%","±9.4","159","±88","19.7%","±10.8","38","±48","14.0%","±18.9"
"            American Indian and Alaska Native","0","±14","0.0%","±3.4","0","±14","0.0%","±15.8","0","±14","0.0%","±4.2","0","±14","0.0%","±2.6","0","±14","0.0%","±27.5","0","±14","0.0%","±2.8","0","±14","0.0%","±3.8","0","±14","0.0%","±7.5","0","±14","0.0%","±7.5","0","±14","0.0%","±1.9","0","±14","0.0%","±5.5","0","±14","0.0%","±2.8","0","±14","0.0%","±3.0","0","±14","0.0%","±6.5","0","±14","0.0%","±5.6","0","±14","0.0%","±4.1","0","±14","0.0%","±5.4","0","±14","0.0%","±15.3"
"            Asian","18","±18","1.4%","±1.4","17","±19","6.5%","±7.9","1","±2","0.1%","±0.2","94","±56","5.4%","±3.4","11","±18","8.1%","±13.1","83","±53","5.2%","±3.4","64","±63","5.5%","±5.5","35","±57","6.1%","±9.2","29","±29","5.0%","±5.7","99","±60","4.1%","±2.5","61","±48","7.7%","±5.8","38","±38","2.4%","±2.4","17","±28","1.2%","±1.9","17","±28","2.5%","±4.1","0","±14","0.0%","±5.6","37","±38","3.4%","±3.6","37","±38","4.6%","±4.6","0","±14","0.0%","±15.3"
"            Native Hawaiian and Other Pacific Islander","0","±14","0.0%","±3.4","0","±14","0.0%","±15.8","0","±14","0.0%","±4.2","0","±14","0.0%","±2.6","0","±14","0.0%","±27.5","0","±14","0.0%","±2.8","0","±14","0.0%","±3.8","0","±14","0.0%","±7.5","0","±14","0.0%","±7.5","14","±25","0.6%","±1.0","14","±25","1.8%","±3.1","0","±14","0.0%","±2.8","0","±14","0.0%","±3.0","0","±14","0.0%","±6.5","0","±14","0.0%","±5.6","0","±14","0.0%","±4.1","0","±14","0.0%","±5.4","0","±14","0.0%","±15.3"
"            Some other race","11","±19","0.8%","±1.4","0","±14","0.0%","±15.8","11","±19","1.0%","±1.8","37","±58","2.1%","±3.3","0","±14","0.0%","±27.5","37","±58","2.3%","±3.6","32","±30","2.8%","±2.7","30","±30","5.2%","±5.1","2","±4","0.3%","±0.8","38","±45","1.6%","±1.9","0","±14","0.0%","±5.5","38","±45","2.4%","±2.8","0","±14","0.0%","±3.0","0","±14","0.0%","±6.5","0","±14","0.0%","±5.6","11","±16","1.0%","±1.5","11","±16","1.4%","±2.0","0","±14","0.0%","±15.3"
"        Two or more races","33","±31","2.5%","±2.3","0","±14","0.0%","±15.8","33","±31","3.1%","±2.9","100","±72","5.8%","±4.0","0","±14","0.0%","±27.5","100","±72","6.3%","±4.4","50","±49","4.3%","±4.4","11","±17","1.9%","±3.2","39","±46","6.7%","±8.3","213","±128","8.9%","±5.1","24","±38","3.0%","±4.7","189","±122","11.7%","±7.2","96","±98","6.6%","±7.0","22","±35","3.3%","±5.4","74","±90","9.4%","±11.6","79","±85","7.3%","±7.8","79","±85","9.8%","±10.2","0","±14","0.0%","±15.3"
"        Hispanic or Latino origin","11","±19","0.8%","±1.4","0","±14","0.0%","±15.8","11","±19","1.0%","±1.8","180","±131","10.4%","±7.5","0","±14","0.0%","±27.5","180","±131","11.3%","±8.1","56","±46","4.8%","±4.2","30","±30","5.2%","±5.1","26","±40","4.5%","±7.3","295","±148","12.3%","±6.1","154","±111","19.4%","±13.4","141","±98","8.8%","±6.1","231","±208","15.8%","±13.4","42","±50","6.2%","±7.7","189","±202","24.0%","±22.4","43","±41","4.0%","±3.7","11","±16","1.4%","±2.0","32","±44","11.8%","±16.7"
"        White alone, not Hispanic or Latino","334","±79","25.3%","±6.5","82","±51","31.5%","±17.8","252","±68","23.8%","±6.9","825","±187","47.7%","±10.2","111","±76","81.6%","±21.4","714","±173","44.8%","±10.5","600","±162","51.8%","±14.9","338","±142","58.5%","±13.7","262","±93","45.2%","±22.3","1,090","±258","45.4%","±8.7","432","±151","54.5%","±15.9","658","±214","40.9%","±10.4","599","±158","41.1%","±10.3","371","±121","55.1%","±16.6","228","±125","29.0%","±15.2","721","±149","66.9%","±11.4","520","±125","64.5%","±13.0","201","±103","74.2%","±15.1"
"    AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
