"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","1,319","±124","1,319","±124","260","±96","260","±96","1,059","±117","1,059","±117","1,728","±204","1,728","±204","136","±77","136","±77","1,592","±213","1,592","±213","1,158","±246","1,158","±246","578","±157","578","±157","580","±247","580","±247","2,402","±291","2,402","±291","793","±181","793","±181","1,609","±281","1,609","±281","1,459","±215","1,459","±215","673","±186","673","±186","786","±242","786","±242","1,077","±117","1,077","±117","806","±117","806","±117","271","±111","271","±111"
"    HOUSEHOLD SIZE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        1-person household","670","±131","50.8%","±9.1","171","±76","65.8%","±11.7","499","±112","47.1%","±10.4","1,142","±232","66.1%","±9.4","125","±77","91.9%","±13.1","1,017","±231","63.9%","±10.0","609","±163","52.6%","±14.9","423","±155","73.2%","±11.1","186","±92","32.1%","±18.3","1,355","±238","56.4%","±8.3","467","±155","58.9%","±13.5","888","±184","55.2%","±10.5","717","±191","49.1%","±14.5","405","±183","60.2%","±16.9","312","±149","39.7%","±20.8","763","±136","70.8%","±9.4","581","±116","72.1%","±8.8","182","±110","67.2%","±27.1"
"        2-person household","481","±130","36.5%","±9.2","71","±41","27.3%","±13.0","410","±120","38.7%","±10.7","502","±162","29.1%","±9.3","11","±18","8.1%","±13.1","491","±161","30.8%","±10.0","395","±242","34.1%","±16.2","91","±54","15.7%","±9.8","304","±238","52.4%","±22.5","794","±229","33.1%","±7.8","248","±117","31.3%","±13.6","546","±221","33.9%","±10.7","486","±201","33.3%","±12.7","219","±125","32.5%","±17.4","267","±174","34.0%","±20.1","261","±103","24.2%","±9.2","172","±73","21.3%","±8.2","89","±72","32.8%","±27.1"
"        3-person household","66","±49","5.0%","±3.6","17","±20","6.5%","±7.9","49","±45","4.6%","±4.0","38","±37","2.2%","±2.2","0","±14","0.0%","±27.5","38","±37","2.4%","±2.4","62","±66","5.4%","±5.9","13","±22","2.2%","±4.0","49","±64","8.4%","±11.6","173","±110","7.2%","±4.5","51","±51","6.4%","±6.2","122","±104","7.6%","±6.1","243","±219","16.7%","±14.0","36","±36","5.3%","±5.9","207","±206","26.3%","±22.2","53","±22","4.9%","±2.3","53","±22","6.6%","±3.0","0","±14","0.0%","±15.3"
"        4-or-more-person household","102","±77","7.7%","±5.7","1","±2","0.4%","±0.8","101","±77","9.5%","±7.0","46","±71","2.7%","±4.1","0","±14","0.0%","±27.5","46","±71","2.9%","±4.4","92","±38","7.9%","±3.6","51","±20","8.8%","±3.7","41","±36","7.1%","±7.1","80","±56","3.3%","±2.3","27","±31","3.4%","±3.8","53","±50","3.3%","±3.2","13","±23","0.9%","±1.6","13","±23","1.9%","±3.6","0","±14","0.0%","±5.6","0","±14","0.0%","±4.1","0","±14","0.0%","±5.4","0","±14","0.0%","±15.3"
"    OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        1.00 or less occupants per room","1,319","±124","100.0%","±3.4","260","±96","100.0%","±15.8","1,059","±117","100.0%","±4.2","1,712","±207","99.1%","±1.1","136","±77","100.0%","±27.5","1,576","±216","99.0%","±1.2","1,158","±246","100.0%","±3.8","578","±157","100.0%","±7.5","580","±247","100.0%","±7.5","2,302","±294","95.8%","±3.2","793","±181","100.0%","±5.5","1,509","±278","93.8%","±4.7","1,393","±219","95.5%","±5.6","607","±184","90.2%","±11.8","786","±242","100.0%","±5.6","1,077","±117","100.0%","±4.1","806","±117","100.0%","±5.4","271","±111","100.0%","±15.3"
"        1.01 to 1.50 occupants per room","0","±14","0.0%","±3.4","0","±14","0.0%","±15.8","0","±14","0.0%","±4.2","0","±14","0.0%","±2.6","0","±14","0.0%","±27.5","0","±14","0.0%","±2.8","0","±14","0.0%","±3.8","0","±14","0.0%","±7.5","0","±14","0.0%","±7.5","32","±44","1.3%","±1.8","0","±14","0.0%","±5.5","32","±44","2.0%","±2.7","0","±14","0.0%","±3.0","0","±14","0.0%","±6.5","0","±14","0.0%","±5.6","0","±14","0.0%","±4.1","0","±14","0.0%","±5.4","0","±14","0.0%","±15.3"
"        1.51 or more occupants per room","0","±14","0.0%","±3.4","0","±14","0.0%","±15.8","0","±14","0.0%","±4.2","16","±18","0.9%","±1.1","0","±14","0.0%","±27.5","16","±18","1.0%","±1.2","0","±14","0.0%","±3.8","0","±14","0.0%","±7.5","0","±14","0.0%","±7.5","68","±55","2.8%","±2.3","0","±14","0.0%","±5.5","68","±55","4.2%","±3.4","66","±82","4.5%","±5.6","66","±82","9.8%","±11.8","0","±14","0.0%","±5.6","0","±14","0.0%","±4.1","0","±14","0.0%","±5.4","0","±14","0.0%","±15.3"
"    HOUSEHOLD TYPE (INCLUDING LIVING ALONE) AND AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Family households","565","±139","42.8%","±9.2","78","±36","30.0%","±11.4","487","±138","46.0%","±10.6","303","±137","17.5%","±7.9","11","±18","8.1%","±13.1","292","±135","18.3%","±8.5","387","±243","33.4%","±16.1","116","±59","20.1%","±9.6","271","±235","46.7%","±24.3","673","±274","28.0%","±9.7","271","±128","34.2%","±13.6","402","±241","25.0%","±12.7","557","±252","38.2%","±14.7","255","±117","37.9%","±17.1","302","±225","38.4%","±22.6","239","±77","22.2%","±7.3","218","±74","27.0%","±8.8","21","±31","7.7%","±11.5"
