"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","1,147","±75","1,147","±75","171","±64","171","±64","976","±90","976","±90","2,258","±120","2,258","±120","865","±157","865","±157","1,393","±190","1,393","±190"
"    HOUSEHOLD SIZE","","","","","","","","","","","","","","","","","","","","","","","",""
"        1-person household","483","±101","42.1%","±7.9","118","±57","69.0%","±20.4","365","±96","37.4%","±8.9","1,360","±190","60.2%","±7.0","513","±135","59.3%","±11.8","847","±192","60.8%","±10.4"
"        2-person household","447","±100","39.0%","±8.7","38","±33","22.2%","±17.8","409","±100","41.9%","±9.6","725","±169","32.1%","±7.5","284","±112","32.8%","±11.8","441","±157","31.7%","±10.4"
"        3-person household","87","±50","7.6%","±4.4","15","±20","8.8%","±11.1","72","±46","7.4%","±4.7","112","±80","5.0%","±3.6","37","±42","4.3%","±4.7","75","±70","5.4%","±5.0"
"        4-or-more-person household","130","±63","11.3%","±5.4","0","±12","0.0%","±18.4","130","±63","13.3%","±6.5","61","±46","2.7%","±2.1","31","±37","3.6%","±4.2","30","±31","2.2%","±2.3"
"    OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","","","","","",""
"        1.00 or less occupants per room","1,147","±75","100.0%","±3.0","171","±64","100.0%","±18.4","976","±90","100.0%","±3.5","2,228","±123","98.7%","±1.4","865","±157","100.0%","±4.0","1,363","±196","97.8%","±2.3"
"        1.01 to 1.50 occupants per room","0","±12","0.0%","±3.0","0","±12","0.0%","±18.4","0","±12","0.0%","±3.5","30","±31","1.3%","±1.4","0","±12","0.0%","±4.0","30","±31","2.2%","±2.3"
"        1.51 or more occupants per room","0","±12","0.0%","±3.0","0","±12","0.0%","±18.4","0","±12","0.0%","±3.5","0","±12","0.0%","±1.5","0","±12","0.0%","±4.0","0","±12","0.0%","±2.5"
"    HOUSEHOLD TYPE (INCLUDING LIVING ALONE) AND AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","",""
"        Family households","591","±94","51.5%","±8.2","53","±39","31.0%","±20.4","538","±100","55.1%","±9.1","655","±161","29.0%","±7.1","261","±110","30.2%","±10.2","394","±153","28.3%","±10.3"
"            Married-couple family","121","±56","10.5%","±4.8","48","±36","28.1%","±19.0","73","±47","7.5%","±4.8","543","±159","24.0%","±7.1","249","±108","28.8%","±10.1","294","±134","21.1%","±9.3"
"                Householder 15 to 34 years","38","±35","3.3%","±3.1","20","±23","11.7%","±12.7","18","±27","1.8%","±2.8","144","±98","6.4%","±4.3","16","±27","1.8%","±3.1","128","±95","9.2%","±6.7"
"                Householder 35 to 64 years","44","±34","3.8%","±2.9","17","±21","9.9%","±11.8","27","±26","2.8%","±2.6","379","±145","16.8%","±6.4","213","±99","24.6%","±9.7","166","±114","11.9%","±8.1"
"                Householder 65 years and over","39","±33","3.4%","±2.8","11","±12","6.4%","±6.2","28","±32","2.9%","±3.2","20","±32","0.9%","±1.4","20","±32","2.3%","±3.6","0","±12","0.0%","±2.5"
"            Other family","470","±92","41.0%","±8.2","5","±9","2.9%","±5.1","465","±94","47.6%","±8.8","112","±65","5.0%","±2.8","12","±20","1.4%","±2.3","100","±62","7.2%","±4.3"
"                Male householder, no wife present","34","±35","3.0%","±3.1","0","±12","0.0%","±18.4","34","±35","3.5%","±3.7","0","±12","0.0%","±1.5","0","±12","0.0%","±4.0","0","±12","0.0%","±2.5"
"                    Householder 15 to 34 years","0","±12","0.0%","±3.0","0","±12","0.0%","±18.4","0","±12","0.0%","±3.5","0","±12","0.0%","±1.5","0","±12","0.0%","±4.0","0","±12","0.0%","±2.5"
"                    Householder 35 to 64 years","34","±35","3.0%","±3.1","0","±12","0.0%","±18.4","34","±35","3.5%","±3.7","0","±12","0.0%","±1.5","0","±12","0.0%","±4.0","0","±12","0.0%","±2.5"
"                    Householder 65 years and over","0","±12","0.0%","±3.0","0","±12","0.0%","±18.4","0","±12","0.0%","±3.5","0","±12","0.0%","±1.5","0","±12","0.0%","±4.0","0","±12","0.0%","±2.5"
"                Female householder, no husband present","436","±89","38.0%","±7.9","5","±9","2.9%","±5.1","431","±91","44.2%","±8.5","112","±65","5.0%","±2.8","12","±20","1.4%","±2.3","100","±62","7.2%","±4.3"
"                    Householder 15 to 34 years","115","±57","10.0%","±5.0","0","±12","0.0%","±18.4","115","±57","11.8%","±6.0","14","±23","0.6%","±1.0","0","±12","0.0%","±4.0","14","±23","1.0%","±1.6"
"                    Householder 35 to 64 years","266","±92","23.2%","±8.0","5","±9","2.9%","±5.1","261","±95","26.7%","±9.0","64","±53","2.8%","±2.3","0","±12","0.0%","±4.0","64","±53","4.6%","±3.8"
"                    Householder 65 years and over","55","±41","4.8%","±3.6","0","±12","0.0%","±18.4","55","±41","5.6%","±4.1","34","±37","1.5%","±1.6","12","±20","1.4%","±2.3","22","±32","1.6%","±2.3"
"        Nonfamily households","556","±107","48.5%","±8.2","118","±57","69.0%","±20.4","438","±99","44.9%","±9.1","1,603","±190","71.0%","±7.1","604","±121","69.8%","±10.2","999","±202","71.7%","±10.3"
"            Householder living alone","483","±101","42.1%","±7.9","118","±57","69.0%","±20.4","365","±96","37.4%","±8.9","1,360","±190","60.2%","±7.0","513","±135","59.3%","±11.8","847","±192","60.8%","±10.4"
"                Householder 15 to 34 years","77","±44","6.7%","±3.9","0","±12","0.0%","±18.4","77","±44","7.9%","±4.4","514","±167","22.8%","±7.1","142","±67","16.4%","±7.6","372","±158","26.7%","±10.4"
"                Householder 35 to 64 years","267","±84","23.3%","±6.8","112","±57","65.5%","±21.7","155","±70","15.9%","±6.8","608","±134","26.9%","±5.7","320","±118","37.0%","±11.7","288","±103","20.7%","±7.4"
"                Householder 65 years and over","139","±66","12.1%","±5.7","6","±9","3.5%","±5.2","133","±65","13.6%","±6.7","238","±106","10.5%","±4.6","51","±50","5.9%","±5.6","187","±106","13.4%","±7.2"
"            Householder not living alone","73","±40","6.4%","±3.4","0","±12","0.0%","±18.4","73","±40","7.5%","±4.1","243","±101","10.8%","±4.6","91","±59","10.5%","±7.3","152","±87","10.9%","±6.1"
