"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error"
"Population 16 years and over","2,035","±220","51.2%","±8.2","40.1%","±7.3","20.3%","±8.8","3,311","±225","77.0%","±5.4","69.7%","±6.1","8.4%","±4.3"
"    AGE","","","","","","","","","","","","","","","",""
"        16 to 19 years","148","±91","2.7%","±4.7","2.7%","±4.7","0.0%","±100.0","33","±34","0.0%","±53.6","0.0%","±53.6","-","**"
"        20 to 24 years","209","±87","56.5%","±28.3","43.5%","±26.9","22.9%","±23.3","216","±97","37.5%","±27.2","31.0%","±22.6","17.3%","±18.6"
"        25 to 29 years","302","±123","86.8%","±10.7","64.6%","±19.5","20.7%","±21.9","485","±169","92.2%","±12.3","73.2%","±15.5","18.0%","±16.1"
"        30 to 34 years","307","±92","64.8%","±17.5","51.8%","±20.3","20.1%","±18.3","618","±163","95.3%","±5.5","91.3%","±6.3","4.2%","±4.8"
"        35 to 44 years","228","±99","63.6%","±21.5","36.4%","±20.0","42.8%","±29.7","860","±202","94.7%","±6.0","89.4%","±8.2","4.0%","±5.9"
"        45 to 54 years","259","±97","68.0%","±14.0","57.1%","±16.5","15.9%","±16.6","440","±132","74.8%","±20.7","63.9%","±21.0","14.6%","±12.4"
"        55 to 59 years","125","±59","46.4%","±26.5","46.4%","±26.5","0.0%","±40.4","180","±77","76.1%","±26.7","76.1%","±26.7","0.0%","±22.3"
"        60 to 64 years","170","±57","30.0%","±23.7","30.0%","±23.7","0.0%","±43.1","152","±78","57.2%","±26.2","46.7%","±28.6","18.4%","±29.6"
"        65 to 74 years","152","±72","12.5%","±11.3","12.5%","±11.3","0.0%","±70.6","166","±82","38.6%","±24.9","38.6%","±24.9","0.0%","±38.5"
"        75 years and over","135","±59","6.7%","±11.2","6.7%","±11.2","0.0%","±100.0","161","±109","0.0%","±19.4","0.0%","±19.4","-","**"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","",""
"        White alone","324","±110","92.9%","±10.1","83.6%","±14.0","4.9%","±5.7","1,548","±237","85.6%","±7.4","76.1%","±9.3","9.2%","±6.9"
"        Black or African American alone","1,698","±235","42.8%","±8.7","31.4%","±7.0","26.7%","±11.5","1,314","±276","61.0%","±12.9","55.3%","±12.8","9.2%","±7.0"
"        American Indian and Alaska Native alone","0","±12","-","**","-","**","-","**","0","±12","-","**","-","**","-","**"
"        Asian alone","0","±12","-","**","-","**","-","**","156","±160","100.0%","±19.9","87.8%","±22.5","12.2%","±22.5"
"        Native Hawaiian and Other Pacific Islander alone","0","±12","-","**","-","**","-","**","36","±40","100.0%","±51.3","100.0%","±51.3","0.0%","±51.3"
"        Some other race alone","13","±21","100.0%","±85.4","100.0%","±85.4","0.0%","±85.4","35","±48","100.0%","±52.0","100.0%","±52.0","0.0%","±52.0"
"        Two or more races","0","±12","-","**","-","**","-","**","222","±166","87.8%","±15.1","87.8%","±15.1","0.0%","±16.4"
"        Hispanic or Latino origin (of any race)","121","±54","63.6%","±24.7","63.6%","±24.7","0.0%","±34.6","218","±143","87.6%","±14.6","87.6%","±14.6","0.0%","±16.7"
"        White alone, not Hispanic or Latino","276","±95","91.7%","±11.9","80.8%","±17.3","5.9%","±7.0","1,469","±222","84.8%","±7.7","74.8%","±9.7","9.8%","±7.4"
"Population 20 to 64 years","1,600","±210","63.1%","±9.5","49.1%","±8.8","20.9%","±9.0","2,951","±239","84.2%","±5.3","76.0%","±5.7","8.7%","±4.4"
"    SEX","","","","","","","","","","","","","","","",""
"        Male","667","±152","71.7%","±15.2","48.3%","±12.3","30.3%","±14.9","1,506","±222","87.0%","±7.3","82.0%","±8.4","4.7%","±5.0"
"        Female","933","±132","56.9%","±10.3","49.6%","±10.3","12.8%","±8.4","1,445","±173","81.2%","±8.4","69.8%","±10.3","13.1%","±8.1"
"            With own children under 18 years","231","±73","72.3%","±17.5","56.3%","±19.4","22.2%","±19.9","154","±79","93.5%","±12.5","93.5%","±12.5","0.0%","±21.4"
"                With own children under 6 years only","51","±42","82.4%","±30.9","68.6%","±39.1","16.7%","±33.5","80","±71","87.5%","±27.3","87.5%","±27.3","0.0%","±36.7"
"                With own children under 6 years and 6 to 17  years","67","±45","32.8%","±38.3","32.8%","±38.3","0.0%","±65.6","30","±31","100.0%","±56.2","100.0%","±56.2","0.0%","±56.2"
