"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","1,298","±87","1,298","±87","221","±77","221","±77","1,077","±97","1,077","±97","2,290","±155","2,290","±155","821","±141","821","±141","1,469","±155","1,469","±155"
"    RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race --","","","","","","","","","","","","","","","","","","","","","","","",""
"            White","283","±77","21.8%","±5.7","71","±44","32.1%","±17.9","212","±69","19.7%","±6.1","1,058","±153","46.2%","±6.4","513","±116","62.5%","±11.6","545","±122","37.1%","±8.3"
"            Black or African American","947","±106","73.0%","±6.9","120","±53","54.3%","±19.4","827","±100","76.8%","±6.5","1,002","±163","43.8%","±6.4","247","±106","30.1%","±11.0","755","±157","51.4%","±9.0"
"            American Indian and Alaska Native","0","±12","0.0%","±2.7","0","±12","0.0%","±14.6","0","±12","0.0%","±3.2","0","±12","0.0%","±1.5","0","±12","0.0%","±4.2","0","±12","0.0%","±2.4"
"            Asian","30","±44","2.3%","±3.4","30","±44","13.6%","±18.3","0","±12","0.0%","±3.2","73","±66","3.2%","±2.9","31","±35","3.8%","±4.2","42","±57","2.9%","±3.8"
"            Native Hawaiian and Other Pacific Islander","0","±12","0.0%","±2.7","0","±12","0.0%","±14.6","0","±12","0.0%","±3.2","37","±32","1.6%","±1.4","15","±25","1.8%","±2.9","22","±34","1.5%","±2.3"
"            Some other race","20","±22","1.5%","±1.7","0","±12","0.0%","±14.6","20","±22","1.9%","±2.1","28","±32","1.2%","±1.4","15","±24","1.8%","±2.9","13","±22","0.9%","±1.5"
"        Two or more races","18","±30","1.4%","±2.3","0","±12","0.0%","±14.6","18","±30","1.7%","±2.7","92","±99","4.0%","±4.3","0","±12","0.0%","±4.2","92","±99","6.3%","±6.6"
"        Hispanic or Latino origin","95","±46","7.3%","±3.6","23","±29","10.4%","±13.8","72","±45","6.7%","±4.1","190","±86","8.3%","±3.7","107","±65","13.0%","±7.6","83","±70","5.7%","±4.8"
